BOTTLES LEFT TO-DO,,,,,,,,
Timepoint,Month,colony_id,Date on Bottle,Titration Date,Tech,Mass (g),Salinity (psu),50 mL Falcon?
1,January,POC-377,20200106,,,,,
1,January,BK-6,20200106,,,,,
1,January,ACR-389,20200106,,,,,
1,January,POR-353,20200106,,,,,
1,January,POC-371,20200106,,,,,
1,January,ACR-393,20200106,,,,,
1,January,ACR-350,20200106,,,,,
1,January,POR-362,20200106,,,,,
1,January,POC-395,20200106,,,,,
1,January,POR-355,20200106,,,,,
1,January,POC-378,20200107,,,,,
1,January,POR-384,20200107,,,,,
1,January,POR-383,20200107,,,,,
1,January,BK-7,20200107,,,,,
1,January,POC-369,20200107,,,,,
1,January,ACR-379,20200107,,,,,
1,January,POC-358,20200107,,,,,
1,January,ACR-343,20200107,,,,,
1,January,ACR-345,20200107,,,,,
1,January,POR-340,20200107,,,,,
1,January,POC-373,20200107,20220309,ELS,,,No
1,January,POR-381,20200107,20220309,ELS,,,No
1,January,ACR-363,20200107,20220309,ELS,,,No
1,January,ACR-364,20200107,20220309,ELS,,,No
1,January,ACR-368,20200107,202203010,ELS,,,No
1,January,POC-391,20200107,202203010,ELS,,,No
1,January,POR-341,20200107,,,,,
1,January,POC-394,20200107,20220309,ELS,,,No
1,January,BK-8,20200107,20220309,ELS,,,No
1,January,POR-357,20200107,20220309,ELS,,,No
1,January,BK-9,20200108,,,,,
1,January,POR-354,20200108,,,,,
1,January,POR-387,20200108,,,,,
1,January,POC-366,20200108,,,,,
1,January,ACR-396,20200108,,,,,
1,January,POC-372,20200108,,,,,
1,January,ACR-390,20200108,,,,,
1,January,POC-346,20200108,,,,,
1,January,POR-365,20200108,,,,,
1,January,POR-349,20200108,,,,,
1,January,ACR-374,20200108,,,,,
1,January,POR-338,20200108,,,,,
1,January,BK-10,20200108,,,,,
1,January,POR-367,20200108,,,,,
1,January,POC-359,20200108,,,,,
1,January,POC-386,20200108,,,,,
1,January,POC-375,20200108,,,,,
1,January,ACR-351,20200108,,,,,
1,January,BK-11,20200109,,,,,
1,January,ACR-180,20200109,,,,,
1,January,ACR-150,20200109,,,,,
1,January,POC-40,20200109,,,,,
1,January,POR-80,20200109,,,,,
1,January,ACR-51,20200109,,,,,
1,January,POC-44,20200109,,,,,
1,January,POC-42,20200109,,,,,
1,January,POR-70,20200109,,,,,
1,January,POR-76,20200109,,,,,
1,January,ACR-176,20200110,,,,,
1,January,ACR-140,20200110,,,,,
1,January,POR-69,20200110,,,,,
1,January,POC-47,20200110,,,,,
1,January,BK-12,20200110,,,,,
1,January,POR-78,20200110,,,,,
1,January,POR-75,20200110,,,,,
1,January,ACR-193,20200110,,,,,
1,January,POC-56,20200110,,,,,
1,January,POC-48,20200110,,,,,
1,January,ACR-139,20200110,,,,,
1,January,POR-81,20200110,,,,,
1,January,POR-71,20200110,,,,,
1,January,BK-13,20200110,,,,,
1,January,POC-43,20200110,,,,,
1,January,POR-79,20200110,,,,,
1,January,ACR-187,20200110,,,,,
1,January,POC-52,20200110,,,,,
1,January,POC-41,20200110,,,,,
1,January,ACR-190,20200110,,,,,
1,January,POC-55,20200111,,,,,
1,January,POR-73,20200111,,,,,
1,January,BK-14,20200111,,,,,
1,January,ACR-145,20200111,,,,,
1,January,POC-53,20200111,,,,,
1,January,ACR-185,20200111,,,,,
1,January,POR-74,20200111,,,,,
1,January,ACR-165,20200111,,,,,
1,January,POC-57,20200111,,,,,
1,January,POR-82,20200111,,,,,
1,January,POR-83,20200111,,,,,
1,January,ACR-186,20200111,,,,,
1,January,POR-77,20200111,,,,,
1,January,POC-68,20200111,,,,,
1,January,POC-50,20200111,,,,,
1,January,POC-45,20200111,,,,,
1,January,ACR-173,20200111,,,,,
1,January,BK-15,20200111,,,,,
1,January,POR-72,20200111,,,,,
1,January,ACR-175,20200111,,,,,
1,January,Initial 1 Run 1,20200104,202203010,ELS,,,No
1,January,Initial 2 Run 1,20200104,202203010,ELS,,,No
1,January,Initial 1 Run 2,20200104,20220314,ES PH,,,No
1,January,Initial 2 Run 2,20200104,,,,,
1,January,Initial 1 Run 3,20200105,,,,,
1,January,Initial 2 Run 3,20200105,20220314,ES PH,,,No
1,January,Initial 1 Run 4,20200105,,,,,
1,January,Initial 2 Run 4,20200105,,,,,
1,January,Initial 1 Run 5,20200106,,,,,
1,January,Initial 2 Run 5,20200106,,,,,
1,January,Initial 1 Run 6,20200106,,,,,
1,January,Initial 2 Run 6,20200106,,,,,
1,January,Initial 1 Run 7,20200107,,,,,
1,January,Initial 2 Run 7,20200107,,,,,
1,January,Initial 1 Run 8,20200107,202203009,ELS,,,No
1,January,Initial 2 Run 8,20200107,202203009,ELS,,,No
1,January,Initial 1 Run 9,20200108,202203010,ELS,,,No
1,January,Initial 2 Run 9,20200108,202203010,ELS,,,No
1,January,Initial 1 Run 10,20200108,,,,,
1,January,Initial 2 Run 10,20200108,,,,,
1,January,Initial 1 Run 11,20200109,,,,,
1,January,Initial 2 Run 11,20200109,,,,,
1,January,Initial 1 Run 12,20200110,,,,,
1,January,Initial 2 Run 12,20200110,,,,,
1,January,Initial 1 Run 13,20200110,,,,,
1,January,Initial 2 Run 13,20200110,,,,,
1,January,Initial 1 Run 14,20200111,,,,,
1,January,Initial 2 Run 14,20200111,,,,,
1,January,Initial 1 Run 15,20200111,,,,,
1,January,Initial 2 Run 15,20200111,,,,,
