Bottle Labels Format:  Date; Timepoint Number; Run; Sample ID,,,,,,,,,,,,,,
Bottle Label Example: 20200909; TP3; Run #1; Initial1,,,,,,,,,,,,,,
Bottle Label Example: 20200909; TP3; Run #1; POC-386,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Total bottles in Mo'orea to bring back: 226,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Initial Samples for TP3 ,,,,,,,,,,,,,,
Date,Run.Number,Type,Timepoint,Location,,,,,,,,,,
20200914,7,Porites,POR-224,224,2,3,Mo'orea,,,,,,,
20200914,7,Porites,POR-216,216,2,3,Mo'orea,,,,,,,
20200914,7,Pocillopora,POC-259,259,2,3,Mo'orea,,,,,,,
20200914,7,Acropora,ACR-237,237,2,3,Mo'orea,,,,,,,
20200914,7,Acropora,ACR-225,225,2,3,Mo'orea,,,,,,,
20200914,7,Porites,POR-260,260,2,3,Mo'orea,,,,,,,
20200914,7,Pocillopora,POC-257,257,2,3,Mo'orea,,,,,,,
20200914,7,Acropora,ACR-210,210,2,3,Mo'orea,,,,,,,
20200914,8,BK-8,BK-8,BK-8,2,3,Mo'orea,,,,,,,
20200914,8,Acropora,ACR-175,175,1,3,Mo'orea,,,,,,,
20200914,8,Acropora,ACR-150,150,1,3,Mo'orea,,,,,,,
20200914,8,Pocillopora,POC-207,207,2,3,Mo'orea,,,,,,,
20200914,8,Pocillopora,POC-57,57,1,3,Mo'orea,,,,,,,
20200914,8,Pocillopora,POC-45,45,1,3,Mo'orea,,,,,,,
20200914,8,Porites,POR-80,80,1,3,Mo'orea,,,,,,,
20200914,8,Pocillopora,POC-254,254,2,3,Mo'orea,,,,,,,
20200914,8,Porites,POR-81,81,1,3,Mo'orea,,,,,,,
20200914,8,Porites,POR-76,76,1,3,Mo'orea,,,,,,,
20200915,9,BK-9,BK-9,BK-9,1,3,Mo'orea,,,,,,,
20200915,9,Pocillopora,POC-48,48,1,3,Mo'orea,,,,,,,
20200915,9,Pocillopora,POC-52,52,1,3,Mo'orea,,,,,,,
20200915,9,Pocillopora,POC-55,55,1,3,Mo'orea,,,,,,,
20200915,9,Pocillopora,POC-40,40,1,3,Mo'orea,,,,,,,
20200915,9,Pocillopora,POC-43,43,1,3,Mo'orea,,,,,,,
20200915,9,Pocillopora,POC-44,44,1,3,Mo'orea,,,,,,,
20200915,9,Pocillopora,POC-68,68,1,3,Mo'orea,,,,,,,
20200915,9,Pocillopora,POC-53,53,1,3,Mo'orea,,,,,,,
20200915,9,Pocillopora,POC-42,42,1,3,Mo'orea,,,,,,,
20200915,10,BK-10,BK-10,BK-10,1,3,Mo'orea,,,,,,,
20200915,10,Acropora,ACR-186,186,1,3,Mo'orea,,,,,,,
20200915,10,Acropora,ACR-178,178,1,3,Mo'orea,,,,,,,
20200915,10,Acropora,ACR-190,190,1,3,Mo'orea,,,,,,,
20200915,10,Acropora,ACR-139,139,1,3,Mo'orea,,,,,,,
20200915,10,Porites,POR-75,75,1,3,Mo'orea,,,,,,,
20200915,10,Porites,POR-72,72,1,3,Mo'orea,,,,,,,
20200915,10,Porites,POR-83,83,1,3,Mo'orea,,,,,,,
20200915,10,Porites,POR-79,79,1,3,Mo'orea,,,,,,,
20200915,10,Pocillopora,POC-47,47,1,3,Mo'orea,,,,,,,
20200916,11,Porites,POR-69,69,1,3,Mo'orea,,,,,,,
20200916,11,Porites,POR-73,73,1,3,Mo'orea,,,,,,,
20200916,11,Acropora,ACR-173,173,1,3,Mo'orea,,,,,,,
20200916,11,BK-11,BK-11,BK-11,1,3,Mo'orea,,,,,,,
20200916,11,Porites,POR-82,82,1,3,Mo'orea,,,,,,,
20200916,11,Porites,POR-74,74,1,3,Mo'orea,,,,,,,
20200916,11,Porites,POR-70,70,1,3,Mo'orea,,,,,,,
20200916,11,Porites,POR-71,71,1,3,Mo'orea,,,,,,,
20200916,11,Acropora,ACR-140,140,1,3,Mo'orea,,,,,,,
20200916,11,Acropora,ACR-143,143,1,3,Mo'orea,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Initial Samples for TP4 (bring all, n = 24) (bring back duplicates)",,,,,,,,,,,,,,
Date,Run.Number,Type,Timepoint,Location,,,,,,,,,,
20201102,1,Initial,4,Mo'orea,,,,,,,,,,
20201102,1,Initial,4,Mo'orea,,,,,,,,,,
20201102,2,Initial,4,Mo'orea,,,,,,,,,,
20201102,2,Initial,4,Mo'orea,,,,,,,,,,
20201103,3,Initial,4,Mo'orea,,,,,,,,,,
20201103,3,Initial,4,Mo'orea,,,,,,,,,,
20201103,4,Initial,4,Mo'orea,,,,,,,,,,
20201103,4,Initial,4,Mo'orea,,,,,,,,,,
20201104,5,Initial,4,Mo'orea,,,,,,,,,,
20201104,5,Initial,4,Mo'orea,,,,,,,,,,
20201104,6,Initial,4,Mo'orea,,,,,,,,,,
20201104,6,Initial,4,Mo'orea,,,,,,,,,,
20201105,7,Initial,4,Mo'orea,,,,,,,,,,
20201105,7,Initial,4,Mo'orea,,,,,,,,,,
20201105,8,Initial,4,Mo'orea,,,,,,,,,,
20201105,8,Initial,4,Mo'orea,,,,,,,,,,
20201106,9,Initial,4,Mo'orea,,,,,,,,,,
20201106,9,Initial,4,Mo'orea,,,,,,,,,,
20201106,10,Initial,4,Mo'orea,,,,,,,,,,
20201106,10,Initial,4,Mo'orea,,,,,,,,,,
20201107,11,Initial,4,Mo'orea,,,,,,,,,,
20201107,11,Initial,4,Mo'orea,,,,,,,,,,
20201107,12,Initial,4,Mo'orea,,,,,,,,,,
20201107,12,Initial,4,Mo'orea,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Samples Taken Per Each Run for TP4 (n = 119 samples to bring back, do not bring back duplicates)",,,,,,,,,,,,,,
Date,Run.Number,Species,Fragment.ID,Plug.ID,Site,Timepoint,Location,,,,,,,
20201102,1,Acropora,ACR-234,ACR-234,2,4,Mo'orea,,,,,,,
20201102,1,Acropora,ACR-237,ACR-237,2,4,Mo'orea,,,,,,,
20201102,1,Acropora,ACR-244,ACR-244,2,4,Mo'orea,,,,,,,
20201102,1,Pocillopora,POC-200,POC-200,2,4,Mo'orea,,,,,,,
20201102,1,Pocillopora,POC-205,POC-205,2,4,Mo'orea,,,,,,,
20201102,1,Pocillopora,POC-207,POC-207,2,4,Mo'orea,,,,,,,
20201102,1,Porites,POR-209,POR-209,2,4,Mo'orea,,,,,,,
20201102,1,Porites,POR-214,POR-214,2,4,Mo'orea,,,,,,,
20201102,1,Porites,POR-216,POR-216,2,4,Mo'orea,,,,,,,
20201102,1,NA,BLK-1,BLK-1,NA,4,Mo'orea,,,,,,,
20201102,2,Acropora,ACR-210,ACR-210,2,4,Mo'orea,,,,,,,
20201102,2,Acropora,ACR-213,ACR-213,2,4,Mo'orea,,,,,,,
20201102,2,Acropora,ACR-218,ACR-218,2,4,Mo'orea,,,,,,,
20201102,2,Pocillopora,POC-219,POC-219,2,4,Mo'orea,,,,,,,
20201102,2,Pocillopora,POC-222,POC-222,2,4,Mo'orea,,,,,,,
20201102,2,Pocillopora,POC-238,POC-238,2,4,Mo'orea,,,,,,,
20201102,2,Porites,POR-224,POR-224,2,4,Mo'orea,,,,,,,
20201102,2,Porites,POR-260,POR-260,2,4,Mo'orea,,,,,,,
20201102,2,Porites,POR-240,POR-240,2,4,Mo'orea,,,,,,,
20201102,2,NA,BLK-2,BLK-2,NA,4,Mo'orea,,,,,,,
20201103,3,Acropora,ACR-220,ACR-220,2,4,Mo'orea,,,,,,,
20201103,3,Acropora,ACR-225,ACR-225,2,4,Mo'orea,,,,,,,
20201103,3,Acropora,ACR-229,ACR-229,2,4,Mo'orea,,,,,,,
20201103,3,Pocillopora,POC-239,POC-239,2,4,Mo'orea,,,,,,,
20201103,3,Pocillopora,POC-248,POC-248,2,4,Mo'orea,,,,,,,
20201103,3,Pocillopora,POC-254,POC-254,2,4,Mo'orea,,,,,,,
20201103,3,Porites,POR-221,POR-221,2,4,Mo'orea,,,,,,,
20201103,3,Porites,POR-242,POR-242,2,4,Mo'orea,,,,,,,
20201103,3,Porites,POR-245,POR-245,2,4,Mo'orea,,,,,,,
20201103,3,NA,BLK-3,BLK-3,NA,4,Mo'orea,,,,,,,
20201103,4,Acropora,ACR-241,ACR-241,2,4,Mo'orea,,,,,,,
20201103,4,Acropora,ACR-256,ACR-256,2,4,Mo'orea,,,,,,,
20201103,4,Acropora,ACR-267,ACR-267,2,4,Mo'orea,,,,,,,
20201103,4,Pocillopora,POC-255,POC-255,2,4,Mo'orea,,,,,,,
20201103,4,Pocillopora,POC-257,POC-257,2,4,Mo'orea,,,,,,,
20201103,4,Pocillopora,POC-259,POC-259,2,4,Mo'orea,,,,,,,
20201103,4,Porites,POR-251,POR-251,2,4,Mo'orea,,,,,,,
20201103,4,Porites,POR-253,POR-253,2,4,Mo'orea,,,,,,,
20201103,4,Porites,POR-262,POR-262,2,4,Mo'orea,,,,,,,
20201103,4,NA,BLK-4,BLK-4,NA,4,Mo'orea,,,,,,,
20201104,5,Acropora,ACR-343,ACR-343,3,4,Mo'orea,,,,,,,
20201104,5,Acropora,ACR-368,ACR-368,3,4,Mo'orea,,,,,,,
20201104,5,Pocillopora,POC-358,POC-358,3,4,Mo'orea,,,,,,,
20201104,5,Pocillopora,POC-359,POC-359,3,4,Mo'orea,,,,,,,
20201104,5,Pocillopora,POC-366,POC-366,3,4,Mo'orea,,,,,,,
20201104,5,Pocillopora,POC-369,POC-369,3,4,Mo'orea,,,,,,,
20201104,5,Porites,POR-338,POR-338,3,4,Mo'orea,,,,,,,
20201104,5,Porites,POR-340,POR-340,3,4,Mo'orea,,,,,,,
20201104,5,Porites,POR-341,POR-341,3,4,Mo'orea,,,,,,,
20201104,5,NA,BLK-5,BLK-5,NA,4,Mo'orea,,,,,,,
20201104,6,Acropora,ACR-398,ACR-398,3,4,Mo'orea,,,,,,,
20201104,6,Acropora,ACR-389,ACR-389,3,4,Mo'orea,,,,,,,
20201104,6,Pocillopora,POC-371,POC-371,3,4,Mo'orea,,,,,,,
20201104,6,Pocillopora,POC-372,POC-372,3,4,Mo'orea,,,,,,,
20201104,6,Pocillopora,POC-373,POC-373,3,4,Mo'orea,,,,,,,
20201104,6,Porites,POR-349,POR-349,3,4,Mo'orea,,,,,,,
20201104,6,Porites,POR-353,POR-353,3,4,Mo'orea,,,,,,,
20201104,6,Porites,POR-354,POR-354,3,4,Mo'orea,,,,,,,
20201104,6,Porites,POR-355,POR-355,3,4,Mo'orea,,,,,,,
20201104,6,NA,BLK-6,BLK-6,NA,4,Mo'orea,,,,,,,
20201105,7,Acropora,ACR-390,ACR-390,3,4,Mo'orea,,,,,,,
20201105,7,Pocillopora,POC-375,POC-375,3,4,Mo'orea,,,,,,,
20201105,7,Pocillopora,POC-377,POC-377,3,4,Mo'orea,,,,,,,
20201105,7,Pocillopora,POC-378,POC-378,3,4,Mo'orea,,,,,,,
20201105,7,Pocillopora,POC-386,POC-386,3,4,Mo'orea,,,,,,,
20201105,7,Porites,POR-357,POR-357,3,4,Mo'orea,,,,,,,
20201105,7,Porites,POR-362,POR-362,3,4,Mo'orea,,,,,,,
20201105,7,Porites,POR-367,POR-367,3,4,Mo'orea,,,,,,,
20201105,7,NA,BLK-7,BLK-7,NA,4,Mo'orea,,,,,,,
20201105,8,Acropora,ACR-393,ACR-393,3,4,Mo'orea,,,,,,,
20201105,8,Pocillopora,POC-391,POC-391,3,4,Mo'orea,,,,,,,
20201105,8,Pocillopora,POC-395,POC-395,3,4,Mo'orea,,,,,,,
20201105,8,Pocillopora,POC-394,POC-394,3,4,Mo'orea,,,,,,,
20201105,8,Porites,POR-381,POR-381,3,4,Mo'orea,,,,,,,
20201105,8,Porites,POR-383,POR-383,3,4,Mo'orea,,,,,,,
20201105,8,Porites,POR-384,POR-384,3,4,Mo'orea,,,,,,,
20201105,8,Porites,POR-385,POR-385,3,4,Mo'orea,,,,,,,
20201105,8,NA,BLK-8,BLK-8,NA,4,Mo'orea,,,,,,,
20201105,8,Pocillopora,POC-346,POC-346,3,4,Mo'orea,,,,,,,
20201106,9,Acropora,ACR-139,ACR-139,1,4,Mo'orea,,,,,,,
20201106,9,Acropora,ACR-145,ACR-145,1,4,Mo'orea,,,,,,,
20201106,9,Acropora,ACR-150,ACR-150,1,4,Mo'orea,,,,,,,
20201106,9,Pocillopora,POC-40,POC-40,1,4,Mo'orea,,,,,,,
20201106,9,Pocillopora,POC-42,POC-42,1,4,Mo'orea,,,,,,,
20201106,9,Pocillopora,POC-43,POC-43,1,4,Mo'orea,,,,,,,
20201106,9,Porites,POR-69,POR-69,1,4,Mo'orea,,,,,,,
20201106,9,Porites,POR-70,POR-70,1,4,Mo'orea,,,,,,,
20201106,9,Porites,POR-71,POR-71,1,4,Mo'orea,,,,,,,
20201106,9,NA,BLK-9,BLK-9,NA,4,Mo'orea,,,,,,,
20201106,10,Acropora,ACR-173,ACR-173,1,4,Mo'orea,,,,,,,
20201106,10,Acropora,ACR-175,ACR-175,1,4,Mo'orea,,,,,,,
20201106,10,Acropora,ACR-176,ACR-176,1,4,Mo'orea,,,,,,,
20201106,10,Pocillopora,POC-44,POC-44,1,4,Mo'orea,,,,,,,
20201106,10,Pocillopora,POC-45,POC-45,1,4,Mo'orea,,,,,,,
20201106,10,Pocillopora,POC-47,POC-47,1,4,Mo'orea,,,,,,,
20201106,10,Porites,POR-72,POR-72,1,4,Mo'orea,,,,,,,
20201106,10,Porites,POR-73,POR-73,1,4,Mo'orea,,,,,,,
20201106,10,Porites,POR-74,POR-74,1,4,Mo'orea,,,,,,,
20201106,10,NA,BLK-10,BLK-10,NA,4,Mo'orea,,,,,,,
20201107,11,Acropora,ACR-178,ACR-178,1,4,Mo'orea,,,,,,,
20201107,11,Acropora,ACR-180,ACR-180,1,4,Mo'orea,,,,,,,
20201107,11,Acropora,ACR-185,ACR-185,1,4,Mo'orea,,,,,,,
20201107,11,Pocillopora,POC-52,POC-52,1,4,Mo'orea,,,,,,,
20201107,11,Pocillopora,POC-53,POC-53,1,4,Mo'orea,,,,,,,
20201107,11,Pocillopora,POC-55,POC-55,1,4,Mo'orea,,,,,,,
20201107,11,Porites,POR-75,POR-75,1,4,Mo'orea,,,,,,,
20201107,11,Porites,POR-76,POR-76,1,4,Mo'orea,,,,,,,
20201107,11,Porites,POR-79,POR-79,1,4,Mo'orea,,,,,,,
20201107,11,NA,BLK-11,BLK-11,NA,4,Mo'orea,,,,,,,
20201107,12,Acropora,ACR-186,ACR-186,1,4,Mo'orea,,,,,,,
20201107,12,Acropora,ACR-187,ACR-187,1,4,Mo'orea,,,,,,,
20201107,12,Pocillopora,POC-57,POC-57,1,4,Mo'orea,,,,,,,
20201107,12,Pocillopora,POC-68,POC-68,1,4,Mo'orea,,,,,,,
20201107,12,Pocillopora,POC-50,POC-50,1,4,Mo'orea,,,,,,,
20201107,12,Pocillopora,POC-48,POC-48,1,4,Mo'orea,,,,,,,
20201107,12,Porites,POR-81,POR-81,1,4,Mo'orea,,,,,,,
20201107,12,Porites,POR-82,POR-82,1,4,Mo'orea,,,,,,,
20201107,12,Porites,POR-83,POR-83,1,4,Mo'orea,,,,,,,
20201107,12,NA,BLK-12,BLK-12,NA,4,Mo'orea,,,,,,,
