"","colony_id","site","species","cells.cm2","timepoint"
"103","POR-74","site1","Porites",1802764.80960533,"timepoint2"
"104","POR-75","site1","Porites",1720312.49708297,"timepoint2"
"105","POR-76","site1","Porites",2932334.53349105,"timepoint2"
"106","POR-77","site1","Porites",2410921.11794039,"timepoint2"
"107","POR-78","site1","Porites",2899250.94664331,"timepoint2"
"108","POR-79","site1","Porites",1713894.79117171,"timepoint2"
"109","POR-80","site1","Porites",1485271.14484303,"timepoint2"
"110","POR-81","site1","Porites",1971538.24733551,"timepoint2"
"111","POR-82","site1","Porites",1599491.2627007,"timepoint2"
"112","POR-83","site1","Porites",2479909.7919082,"timepoint2"
"113","ACR-165","site1","Acropora",NA,"timepoint2"
"114","ACR-176","site1","Acropora",NA,"timepoint2"
"115","ACR-187","site1","Acropora",NA,"timepoint2"
"116","ACR-185","site1","Acropora",NA,"timepoint2"
"117","ACR-193","site1","Acropora",NA,"timepoint2"
"118","ACR-180","site1","Acropora",NA,"timepoint2"
"119","ACR-175","site1","Acropora",NA,"timepoint2"
"120","ACR-267","site2","Acropora",NA,"timepoint2"
"121","ACR-231","site2","Acropora",NA,"timepoint2"
"122","ACR-243","site2","Acropora",NA,"timepoint2"
"123","ACR-234","site2","Acropora",NA,"timepoint2"
"124","ACR-228","site2","Acropora",NA,"timepoint2"
"125","ACR-256","site2","Acropora",NA,"timepoint2"
"126","ACR-246","site2","Acropora",NA,"timepoint2"
"127","ACR-247","site2","Acropora",NA,"timepoint2"
"128","ACR-370","site3","Acropora",NA,"timepoint2"
"129","ACR-390","site3","Acropora",NA,"timepoint2"
"130","ACR-389","site3","Acropora",NA,"timepoint2"
"131","ACR-379","site3","Acropora",NA,"timepoint2"
"132","ACR-374","site3","Acropora",NA,"timepoint2"
"133","ACR-345","site3","Acropora",NA,"timepoint2"
"134","ACR-376","site3","Acropora",NA,"timepoint2"
"135","ACR-363","site3","Acropora",NA,"timepoint2"
"136","POC-232","site2","Pocillopora",NA,"timepoint2"
"137","POC-358","site3","Pocillopora",NA,"timepoint2"
"138","POR-251","site2","Porites",NA,"timepoint2"
"139","POR-362","site3","Porites",NA,"timepoint2"
