colony_id,cre.umol.L,cre.umol.mgprot
POC-238,125.71316905942136,0.20346182191090317
POC-373,-37.13265782315791,-0.06648937191961393
POC-378,212.60943351839126,0.22974942860350772
POC-378,92.29691149601943,0.09973763782332211
POC-238,110.583020307987,0.17897427097425683
POR-385,536.5480698058952,0.7834455859139196
POR-385,564.7108488710129,0.82456772610467155
POC-369,-29.57693428756582,-0.057777840699317386
POC-369,-38.638722462980176,-0.07547982930163707
POR-381,331.1927110141946,0.6396784846837907
POR-381,191.30758228857843,0.3694989058549437
POC-373,-41.64578685705195,-0.07457053638365199
POR-357,862.5695650097289,1.2269486462053412
POC-50,-18.927453554288345,-0.03489881105004527
POC-386,-41.64578685705195,-0.0817371785439823
POC-386,-50.626597054712725,-0.09936359749280603
POR-357,658.5574378438018,0.9367547727026483
POR-340,405.73777319101663,0.7242261914904454
