Date.Time,Hobo,site,timepoint
2020-03-04 10:00:00,29.388888888888893,site1,timepoint2
2020-03-04 10:10:00,29.413888888888888,site1,timepoint2
2020-03-04 10:20:00,29.413888888888888,site1,timepoint2
2020-03-04 10:30:00,29.46388888888889,site1,timepoint2
2020-03-04 10:40:00,29.46388888888889,site1,timepoint2
2020-03-04 10:50:00,29.49,site1,timepoint2
2020-03-04 11:00:00,29.49,site1,timepoint2
2020-03-04 11:10:00,29.46388888888889,site1,timepoint2
2020-03-04 11:20:00,29.438888888888886,site1,timepoint2
2020-03-04 11:30:00,29.59,site1,timepoint2
2020-03-04 11:40:00,29.665000000000003,site1,timepoint2
2020-03-04 11:50:00,29.665000000000003,site1,timepoint2
2020-03-04 12:00:00,29.615000000000002,site1,timepoint2
2020-03-04 12:10:00,29.715,site1,timepoint2
2020-03-04 12:20:00,29.615000000000002,site1,timepoint2
2020-03-04 12:30:00,29.59,site1,timepoint2
2020-03-04 12:40:00,29.689999999999998,site1,timepoint2
2020-03-04 12:50:00,29.615000000000002,site1,timepoint2
2020-03-04 13:00:00,29.54,site1,timepoint2
2020-03-04 13:10:00,29.615000000000002,site1,timepoint2
2020-03-04 13:20:00,29.615000000000002,site1,timepoint2
2020-03-04 13:30:00,29.49,site1,timepoint2
2020-03-04 13:40:00,29.565,site1,timepoint2
2020-03-04 13:50:00,29.615000000000002,site1,timepoint2
2020-03-04 14:00:00,29.640000000000004,site1,timepoint2
2020-03-04 14:10:00,29.59,site1,timepoint2
2020-03-04 14:20:00,29.689999999999998,site1,timepoint2
2020-03-04 14:30:00,29.74,site1,timepoint2
2020-03-04 14:40:00,29.715,site1,timepoint2
2020-03-04 14:50:00,29.665000000000003,site1,timepoint2
2020-03-04 15:00:00,29.59,site1,timepoint2
2020-03-04 15:10:00,29.640000000000004,site1,timepoint2
2020-03-04 15:20:00,29.640000000000004,site1,timepoint2
2020-03-04 15:30:00,29.59,site1,timepoint2
2020-03-04 15:40:00,29.640000000000004,site1,timepoint2
2020-03-04 15:50:00,29.615000000000002,site1,timepoint2
