colony_id,chla.ug.cm2,chlc2.ug.cm2,timepoint
ACR-178,1.1127833784893835,0.2884743268995779,timepoint2
POC-40,1.403390835050981,0.42951567181965944,timepoint2
POC-41,1.6212896944206578,0.4004991832290704,timepoint2
POC-43,1.0588203315503777,0.270835399684375,timepoint2
POC-44,1.7233260084175028,0.5365056746801052,timepoint2
POC-45,1.3631831144187605,0.360936874499701,timepoint2
POC-47,0.9292004988761261,0.2650134091041207,timepoint2
POC-56,2.1519400332250083,0.6226200194630228,timepoint2
POC-68,1.3155489521181447,0.34452231110081133,timepoint2
POR-69,3.943434126352673,1.232201573645103,timepoint2
POR-70,6.955862163525216,2.5293461631020335,timepoint2
POR-71,4.590010189614795,1.279867526252395,timepoint2
POR-77,4.028840391485184,1.060466839886328,timepoint2
POR-79,4.832541512203705,1.3673817302434137,timepoint2
POR-80,3.331485974252309,0.9504613044194076,timepoint2
POR-81,6.318077775094305,1.5425213708702528,timepoint2
