Pan.ID,colony_id,partner,initial.mass.g,dry.pan.mass.g,burnt.pan.mass.g
95,POC-217,Sym,1.1236,1.1349,1.1331
96,ACR-229,Host,1.1372,1.1845,1.1798
97,ACR-347,Host,1.136,1.1905,1.1839
98,POC-366,Host,1.1275,1.1716,1.166
99,POC-238,Host,1.1454,1.197,1.1877
100,POC-200,Host,1.1279,1.1859,1.1731
101,POC-341,Sym,1.139,1.1575,1.1524
102,POC-219,Host,1.1443,1.1953,1.186
103,ACR-225,Sym,1.1374,1.1484,1.1468
104,POC-394,Host,1.1408,1.2021,1.1895
105,POR-235,Sym,1.1424,1.1643,1.1556
106,POC-42,Host,1.1333,1.1917,1.1771
107,POC-50,Host,1.1396,1.189,1.1792
108,ACR-368,Sym,1.1265,1.1383,1.136
109,POC-377,Host,1.122,1.1763,1.1654
110,POR-381,Sym,1.13,1.1443,1.1406
111,POR-221,Host,1.1388,1.1935,1.1846
112,ACR-244,Host,1.1344,1.1903,1.1819
113,POC-248,Sym,1.1427,1.1588,1.1529
114,ACR-351,Host,1.1312,1.18,1.1749
115,ACR-350,Sym,1.1313,1.1443,1.142
