time_local,time_utc,air_temp_C,data_coverage_air_temp_C,wind_stress_pa,data_coverage_wind_stress_pa,wind_direction_degtrue,data_coverage_wind_direction_degtrue,wind_U_mps,data_coverage_wind_U_mps,wind_V_mps,data_coverage_wind_V_mps,mean_solar_rad_kwpm2,data_coverage_mean_solar_rad_kwpm2,atm_press_mbar,data_coverage_atm_press_mbar,cumulative_rainfall_mm,data_coverage_cumulative_rainfall_mm
2007-09-01 00:00:00,2007-09-01 10:00:00, 24.66, 1.00, 0.0065, 1.00, 102.6, 1.00,  -0.74, 1.00,   0.17, 1.00,    0.23, 1.00, -999, 0.00, 119.6, 1.00
2007-10-01 00:00:00,2007-10-01 10:00:00, 25.55, 1.00, 0.0097, 1.00,  65.0, 1.00,  -1.01, 1.00,  -0.47, 1.00,    0.24, 1.00, -999, 0.00, 203.2, 1.00
2007-11-01 00:00:00,2007-11-01 10:00:00, 25.90, 1.00, 0.0075, 1.00,  80.9, 1.00,  -0.92, 1.00,  -0.15, 1.00,    0.25, 1.00, -999, 0.00, 190.2, 1.00
2007-12-01 00:00:00,2007-12-01 10:00:00, 25.66, 1.00, 0.0075, 1.00,  81.0, 1.00,  -0.66, 1.00,  -0.10, 1.00,    0.19, 0.95, -999, 0.00, 449.8, 1.00
2008-01-01 00:00:00,2008-01-01 10:00:00, 25.83, 0.04, 0.0108, 0.04,  48.6, 0.04,  -1.16, 0.04,  -1.02, 0.04,    0.06, 0.04, -999, 0.00,  13.5, 0.04
2008-02-01 00:00:00,2008-02-01 10:00:00, 26.40, 0.89, 0.0061, 0.89,  60.9, 0.89,  -0.63, 0.89,  -0.35, 0.89,    0.25, 0.89, 1013.26, 0.89,  88.9, 0.89
2008-03-01 00:00:00,2008-03-01 10:00:00, 26.68, 1.00, 0.0088, 1.00,  66.0, 1.00,  -1.07, 1.00,  -0.48, 1.00,    0.23, 1.00, 1013.70, 1.00, 100.1, 1.00
2008-04-01 00:00:00,2008-04-01 10:00:00, 26.17, 1.00, 0.0050, 1.00,  57.3, 1.00,  -0.44, 1.00,  -0.28, 1.00,    0.22, 1.00, 1011.95, 1.00, 105.9, 1.00
2008-05-01 00:00:00,2008-05-01 10:00:00, 25.93, 1.00, 0.0040, 1.00,  75.6, 1.00,  -0.24, 1.00,  -0.06, 1.00,    0.20, 1.00, 1012.41, 1.00,  63.0, 1.00
2008-06-01 00:00:00,2008-06-01 10:00:00, 25.71, 1.00, 0.0129, 1.00, 103.1, 1.00,  -1.41, 1.00,   0.33, 1.00,    0.17, 1.00, 1014.14, 1.00,  37.6, 1.00
2008-07-01 00:00:00,2008-07-01 10:00:00, 24.47, 1.00, 0.0082, 1.00, 104.9, 1.00,  -0.83, 1.00,   0.22, 1.00,    0.18, 1.00, 1013.95, 1.00,  84.6, 1.00
2008-08-01 00:00:00,2008-08-01 10:00:00, 24.39, 1.00, 0.0099, 1.00,  81.4, 1.00,  -1.10, 1.00,  -0.17, 1.00,    0.22, 1.00, 1015.86, 1.00,   6.1, 1.00
2008-09-01 00:00:00,2008-09-01 10:00:00, 24.59, 1.00, 0.0116, 1.00,  83.6, 1.00,  -1.22, 1.00,  -0.14, 1.00,    0.23, 1.00, 1015.66, 1.00,  58.2, 1.00
2008-10-01 00:00:00,2008-10-01 10:00:00, 25.60, 1.00, 0.0129, 1.00,  53.2, 1.00,  -1.29, 1.00,  -0.96, 1.00,    0.27, 1.00, 1015.37, 1.00,  17.3, 1.00
2008-11-01 00:00:00,2008-11-01 10:00:00, 25.92, 1.00, 0.0084, 1.00,  52.6, 1.00,  -0.87, 1.00,  -0.66, 1.00,    0.23, 1.00, 1012.90, 1.00, 129.5, 1.00
2008-12-01 00:00:00,2008-12-01 10:00:00, 26.46, 1.00, 0.0057, 1.00,  57.7, 1.00,  -0.56, 1.00,  -0.35, 1.00,    0.24, 1.00, 1011.93, 1.00, 157.2, 1.00
2009-01-01 00:00:00,2009-01-01 10:00:00, 26.51, 1.00, 0.0042, 1.00,  68.1, 1.00,  -0.30, 1.00,  -0.12, 1.00,    0.23, 1.00, 1011.57, 1.00, 285.5, 1.00
2009-02-01 00:00:00,2009-02-01 10:00:00, 27.23, 0.97, 0.0090, 0.97,  58.8, 0.97,  -0.92, 0.97,  -0.56, 0.97,    0.25, 0.97, 1012.16, 0.97,  67.3, 0.97
2009-03-01 00:00:00,2009-03-01 10:00:00, 27.02, 1.00, 0.0081, 1.00,  50.5, 1.00,  -0.88, 1.00,  -0.73, 1.00,    0.23, 1.00, 1011.79, 1.00, 145.5, 1.00
2009-04-01 00:00:00,2009-04-01 10:00:00, 27.41, 1.00, 0.0074, 1.00,  49.3, 1.00,  -0.75, 1.00,  -0.64, 1.00,    0.23, 1.00, 1012.01, 1.00,  23.1, 1.00
2009-05-01 00:00:00,2009-05-01 10:00:00, 26.13, 1.00, 0.0054, 1.00, 122.5, 1.00,  -0.64, 1.00,   0.41, 1.00,    0.19, 1.00, 1010.88, 1.00,  61.2, 1.00
2009-06-01 00:00:00,2009-06-01 10:00:00, 25.78, 1.00, 0.0065, 1.00,  77.8, 1.00,  -0.68, 1.00,  -0.15, 1.00,    0.19, 1.00, 1013.02, 1.00,  97.5, 1.00
2009-07-01 00:00:00,2009-07-01 10:00:00, 25.14, 1.00, 0.0089, 1.00,  90.5, 1.00,  -1.05, 1.00,   0.01, 1.00,    0.20, 1.00, 1013.71, 1.00,  23.1, 1.00
2009-08-01 00:00:00,2009-08-01 10:00:00, 24.58, 1.00, 0.0108, 1.00, 116.6, 1.00,  -1.16, 1.00,   0.58, 1.00,    0.20, 1.00, 1013.26, 1.00,   0.8, 1.00
2009-09-01 00:00:00,2009-09-01 10:00:00, 24.89, 1.00, 0.0104, 1.00,  64.2, 1.00,  -1.23, 1.00,  -0.60, 1.00,    0.21, 1.00, 1013.84, 1.00, 254.5, 1.00
2009-10-01 00:00:00,2009-10-01 10:00:00, 25.41, 0.99, 0.0084, 0.99,  70.7, 0.99,  -0.90, 0.99,  -0.32, 0.99,    0.25, 0.99, 1011.36, 0.99, 101.9, 0.99
2009-11-01 00:00:00,2009-11-01 10:00:00, 26.41, 1.00, 0.0063, 1.00,  78.8, 1.00,  -0.80, 1.00,  -0.16, 1.00,    0.22, 1.00, 1010.18, 1.00, 199.6, 1.00
2009-12-01 00:00:00,2009-12-01 10:00:00, 27.08, 1.00, 0.0064, 1.00,  65.5, 1.00,  -0.68, 1.00,  -0.31, 1.00,    0.26, 1.00, 1009.44, 1.00, 119.1, 1.00
2010-01-01 00:00:00,2010-01-01 10:00:00, 26.85, 1.00, 0.0046, 1.00,  56.3, 1.00,  -0.41, 1.00,  -0.27, 1.00,    0.21, 1.00, 1007.63, 1.00, 439.4, 1.00
2010-02-01 00:00:00,2010-02-01 10:00:00, 26.30, 0.11, 0.0033, 0.11, 120.2, 0.11,  -0.27, 0.11,   0.15, 0.11,    0.17, 0.11, 1007.31, 0.11,  85.9, 0.11
2010-03-01 00:00:00,2010-03-01 10:00:00, 26.89, 1.00, 0.0041, 1.00,  58.8, 1.00,  -0.33, 1.00,  -0.20, 1.00,    0.23, 1.00, 1010.31, 1.00, 446.5, 1.00
2010-04-01 00:00:00,2010-04-01 10:00:00, 27.16, 1.00, 0.0055, 1.00,  63.2, 1.00,  -0.66, 1.00,  -0.33, 1.00,    0.25, 1.00, 1013.18, 1.00,  38.1, 1.00
2010-05-01 00:00:00,2010-05-01 10:00:00, 26.08, 0.86, 0.0051, 0.86,  95.7, 0.86,  -0.61, 0.86,   0.06, 0.86,    0.20, 0.86, 1012.08, 0.86, 126.5, 0.86
2010-06-01 00:00:00,2010-06-01 10:00:00, 25.49, 0.90, 0.0065, 0.90, 116.4, 0.90,  -0.84, 0.90,   0.42, 0.90,    0.18, 0.90, 1014.02, 0.90,  63.8, 0.90
2010-07-01 00:00:00,2010-07-01 10:00:00, 25.39, 1.00, 0.0078, 1.00,  61.3, 1.00,  -0.98, 1.00,  -0.54, 1.00,    0.19, 1.00, 1015.99, 1.00,  65.0, 1.00
2010-08-01 00:00:00,2010-08-01 10:00:00, 24.98, 1.00, 0.0086, 1.00,  69.0, 1.00,  -1.04, 1.00,  -0.40, 1.00,    0.13, 0.33, 1016.23, 1.00,  26.9, 1.00
2010-09-01 00:00:00,2010-09-01 10:00:00, 25.02, 1.00, 0.0122, 1.00,  69.8, 1.00,  -1.44, 1.00,  -0.53, 1.00, -999, 0.00, 1016.86, 1.00,  80.5, 1.00
2010-10-01 00:00:00,2010-10-01 10:00:00, 24.63, 0.64, 0.0102, 0.64,  56.9, 0.64,  -1.11, 0.64,  -0.72, 0.64, -999, 0.00, 1015.40, 0.64,  63.5, 0.64
2010-11-01 00:00:00,2010-11-01 10:00:00, -999, 0.00, -999, 0.00, -999, 0.00, -999, 0.00, -999, 0.00, -999, 0.00, -999, 0.00,   0.0, 0.00
2010-12-01 00:00:00,2010-12-01 10:00:00, -999, 0.00, -999, 0.00, -999, 0.00, -999, 0.00, -999, 0.00, -999, 0.00, -999, 0.00,   0.0, 0.00
2011-01-01 00:00:00,2011-01-01 10:00:00, 26.60, 0.08, 0.0123, 0.08,  65.4, 0.08,  -1.59, 0.08,  -0.73, 0.08, -999, 0.00, 1016.66, 0.08,   0.8, 0.08
2011-02-01 00:00:00,2011-02-01 10:00:00, 26.43, 0.97, 0.0113, 0.97,  52.8, 0.97,  -1.33, 0.97,  -1.01, 0.97, -999, 0.00, 1014.22, 0.97,  32.5, 0.97
2011-03-01 00:00:00,2011-03-01 10:00:00, 26.32, 1.00, 0.0084, 1.00,  49.6, 1.00,  -0.92, 1.00,  -0.78, 1.00, -999, 0.00, 1013.80, 1.00,  46.7, 1.00
2011-04-01 00:00:00,2011-04-01 10:00:00, 26.30, 1.00, 0.0087, 1.00,  47.3, 1.00,  -0.94, 1.00,  -0.86, 1.00, -999, 0.00, 1014.01, 1.00,  34.8, 1.00
2011-05-01 00:00:00,2011-05-01 10:00:00, 25.44, 1.00, 0.0058, 1.00,  82.5, 1.00,  -0.78, 1.00,  -0.10, 1.00, -999, 0.00, 1013.61, 1.00, 143.0, 1.00
2011-06-01 00:00:00,2011-06-01 10:00:00, 24.91, 1.00, 0.0072, 1.00,  95.7, 1.00,  -0.85, 1.00,   0.08, 1.00, -999, 0.00, 1014.40, 1.00,  23.9, 1.00
2011-07-01 00:00:00,2011-07-01 10:00:00, 24.63, 0.97, 0.0091, 1.00,  77.4, 1.00,  -0.99, 1.00,  -0.22, 1.00, -999, 0.00, 1015.52, 1.00,  55.4, 1.00
2011-08-01 00:00:00,2011-08-01 10:00:00, 24.36, 1.00, 0.0076, 1.00,  66.3, 1.00,  -0.79, 1.00,  -0.35, 1.00, -999, 0.00, 1015.29, 1.00,  34.8, 1.00
2011-09-01 00:00:00,2011-09-01 10:00:00, 25.31, 1.00, 0.0112, 1.00,  46.5, 1.00,  -1.12, 1.00,  -1.06, 1.00, -999, 0.00, 1016.65, 1.00,   1.5, 1.00
2011-10-01 00:00:00,2011-10-01 10:00:00, 24.81, 1.00, 0.0105, 1.00,  69.2, 1.00,  -1.12, 1.00,  -0.42, 1.00, -999, 0.00, 1014.20, 1.00, 107.4, 1.00
2011-11-01 00:00:00,2011-11-01 10:00:00, 25.67, 1.00, 0.0079, 1.00,  46.1, 1.00,  -0.82, 1.00,  -0.79, 1.00, -999, 0.00, 1013.32, 1.00, 398.0, 1.00
2011-12-01 00:00:00,2011-12-01 10:00:00, 26.19, 1.00, 0.0070, 1.00,  43.1, 1.00,  -0.70, 1.00,  -0.75, 1.00, -999, 0.00, 1012.72, 1.00, 216.7, 1.00
2012-01-01 00:00:00,2012-01-01 10:00:00, 25.60, 1.00, 0.0046, 1.00,  38.1, 1.00,  -0.32, 1.00,  -0.41, 1.00,    0.26, 0.70, 1012.14, 1.00, 475.5, 1.00
2012-02-01 00:00:00,2012-02-01 10:00:00, 26.96, 1.00, 0.0030, 1.00,  52.4, 1.00,  -0.13, 1.00,  -0.10, 1.00,    0.25, 1.00, 1011.88, 1.00, 178.1, 1.00
2012-03-01 00:00:00,2012-03-01 10:00:00, 26.73, 1.00, 0.0052, 1.00,  77.8, 1.00,  -0.60, 1.00,  -0.13, 1.00,    0.22, 1.00, 1010.39, 1.00, 153.7, 1.00
2012-04-01 00:00:00,2012-04-01 10:00:00, 26.41, 1.00, 0.0041, 1.00,  94.3, 1.00,  -0.51, 1.00,   0.04, 1.00,    0.20, 1.00, 1011.84, 1.00, 192.0, 1.00
2012-05-01 00:00:00,2012-05-01 10:00:00, 26.09, 1.00, 0.0058, 1.00,  57.5, 1.00,  -0.66, 1.00,  -0.42, 1.00,    0.20, 1.00, 1012.25, 1.00,  72.6, 1.00
2012-06-01 00:00:00,2012-06-01 10:00:00, 25.01, 1.00, 0.0064, 1.00, 115.3, 1.00,  -0.82, 1.00,   0.39, 1.00,    0.17, 1.00, 1012.87, 1.00,  56.4, 1.00
2012-07-01 00:00:00,2012-07-01 10:00:00, 25.29, 1.00, 0.0075, 1.00,  83.9, 1.00,  -0.99, 1.00,  -0.10, 1.00,    0.19, 1.00, 1013.23, 1.00,  66.3, 1.00
2012-08-01 00:00:00,2012-08-01 10:00:00, 24.51, 1.00, 0.0079, 1.00, 110.3, 1.00,  -1.08, 1.00,   0.40, 1.00,    0.21, 1.00, 1014.62, 1.00,   5.6, 1.00
2012-09-01 00:00:00,2012-09-01 10:00:00, 25.05, 1.00, 0.0111, 1.00,  99.9, 1.00,  -1.28, 1.00,   0.22, 1.00,    0.24, 1.00, 1014.73, 1.00,   9.1, 1.00
2012-10-01 00:00:00,2012-10-01 10:00:00, 24.87, 1.00, 0.0085, 1.00,  51.6, 1.00,  -0.81, 1.00,  -0.64, 1.00,    0.23, 1.00, 1013.81, 1.00,   7.9, 1.00
2012-11-01 00:00:00,2012-11-01 10:00:00, 26.57, 1.00, 0.0073, 1.00,  48.1, 1.00,  -0.79, 1.00,  -0.71, 1.00,    0.26, 1.00, 1012.66, 1.00,  21.8, 1.00
2012-12-01 00:00:00,2012-12-01 10:00:00, 26.30, 1.00, 0.0046, 1.00,  50.3, 1.00,  -0.47, 1.00,  -0.39, 1.00,    0.18, 1.00, 1009.81, 1.00,   0.0, 1.00
2013-01-01 00:00:00,2013-01-01 10:00:00, 26.10, 0.95, 0.0063, 0.95,  45.8, 0.95,  -0.64, 0.95,  -0.62, 0.95,    0.18, 0.95, 1010.07, 0.95,   9.4, 0.95
2013-02-01 00:00:00,2013-02-01 10:00:00, -999, 0.00, -999, 0.00, -999, 0.00, -999, 0.00, -999, 0.00, -999, 0.00, -999, 0.00,   0.0, 0.00
2013-03-01 00:00:00,2013-03-01 10:00:00, -999, 0.00, -999, 0.00, -999, 0.00, -999, 0.00, -999, 0.00, -999, 0.00, -999, 0.00,   0.0, 0.00
2013-04-01 00:00:00,2013-04-01 10:00:00, -999, 0.00, -999, 0.00, -999, 0.00, -999, 0.00, -999, 0.00, -999, 0.00, -999, 0.00,   0.0, 0.00
2013-05-01 00:00:00,2013-05-01 10:00:00, 25.91, 0.03, 0.0028, 0.03, 132.2, 0.03,  -0.50, 0.03,   0.45, 0.03,    0.09, 0.03, 1012.94, 0.03,   0.0, 0.03
2013-06-01 00:00:00,2013-06-01 10:00:00, 25.17, 1.00, 0.0045, 1.00,  88.2, 1.00,  -0.61, 1.00,  -0.02, 1.00,    0.17, 1.00, 1014.07, 1.00,  10.9, 1.00
2013-07-01 00:00:00,2013-07-01 10:00:00, 23.78, 1.00, 0.0066, 1.00, 116.9, 1.00,  -0.87, 1.00,   0.44, 1.00,    0.17, 1.00, 1014.60, 1.00,  22.4, 1.00
2013-08-01 00:00:00,2013-08-01 10:00:00, 23.83, 1.00, 0.0064, 1.00,  86.8, 1.00,  -0.77, 1.00,  -0.04, 1.00,    0.20, 1.00, 1014.58, 1.00,  15.0, 1.00
2013-09-01 00:00:00,2013-09-01 10:00:00, 24.41, 1.00, 0.0071, 1.00,  64.6, 1.00,  -0.68, 1.00,  -0.32, 1.00,    0.21, 1.00, 1014.56, 1.00,  94.0, 1.00
2013-10-01 00:00:00,2013-10-01 10:00:00, 25.27, 1.00, 0.0098, 1.00,  68.9, 1.00,  -1.02, 1.00,  -0.39, 1.00,    0.24, 1.00, 1013.21, 1.00,  20.8, 1.00
2013-11-01 00:00:00,2013-11-01 10:00:00, 25.57, 1.00, 0.0075, 1.00,  91.4, 1.00,  -0.91, 1.00,   0.02, 1.00,    0.22, 1.00, 1011.84, 1.00,  11.9, 1.00
2013-12-01 00:00:00,2013-12-01 10:00:00, 26.27, 1.00, 0.0090, 1.00,  43.7, 1.00,  -0.90, 1.00,  -0.94, 1.00,    0.24, 1.00, 1011.26, 1.00,  32.5, 1.00
2014-01-01 00:00:00,2014-01-01 10:00:00, 26.53, 1.00, 0.0086, 1.00,  43.6, 1.00,  -0.90, 1.00,  -0.94, 1.00,    0.24, 1.00, 1011.88, 1.00,   0.8, 1.00
2014-02-01 00:00:00,2014-02-01 10:00:00, 26.56, 0.97, 0.0102, 0.97,  41.5, 0.97,  -0.96, 0.97,  -1.08, 0.97,    0.20, 0.97, 1010.29, 0.97,  13.0, 0.97
2014-03-01 00:00:00,2014-03-01 10:00:00, 26.87, 1.00, 0.0090, 1.00,  32.3, 1.00,  -0.70, 1.00,  -1.11, 1.00,    0.19, 1.00, 1010.57, 1.00,   0.0, 1.00
2014-04-01 00:00:00,2014-04-01 10:00:00, 26.40, 0.99, 0.0078, 0.99,  86.7, 0.99,  -0.88, 0.99,  -0.05, 0.99,    0.20, 0.99, 1012.24, 0.99,   0.0, 0.99
2014-05-01 00:00:00,2014-05-01 10:00:00, 26.07, 0.95, 0.0057, 0.95,  58.2, 0.95,  -0.55, 0.95,  -0.34, 0.95,    0.17, 0.95, 1013.79, 0.95,   7.1, 0.95
2014-06-01 00:00:00,2014-06-01 10:00:00, 25.21, 0.95, 0.0054, 0.95,  81.1, 0.95,  -0.67, 0.95,  -0.10, 0.95,    0.16, 0.95, 1013.35, 0.95,  17.0, 0.95
2014-07-01 00:00:00,2014-07-01 10:00:00, 25.08, 0.91, 0.0056, 0.91,  45.7, 0.91,  -0.49, 0.91,  -0.47, 0.91,    0.20, 0.91, 1014.37, 0.91,  14.5, 0.91
2014-08-01 00:00:00,2014-08-01 10:00:00, 24.76, 0.91, 0.0053, 0.91,  82.4, 0.91,  -0.63, 0.91,  -0.08, 0.91,    0.19, 0.91, 1014.35, 0.91,  51.1, 0.91
2014-09-01 00:00:00,2014-09-01 10:00:00, 25.27, 0.97, 0.0070, 0.97,  72.3, 0.97,  -0.84, 0.97,  -0.27, 0.97,    0.21, 0.97, 1014.24, 0.97,  98.0, 0.97
2014-10-01 00:00:00,2014-10-01 10:00:00, 25.38, 1.00, 0.0049, 1.00,  77.8, 1.00,  -0.51, 1.00,  -0.11, 1.00,    0.20, 1.00, 1013.12, 1.00, 181.4, 1.00
2014-11-01 00:00:00,2014-11-01 10:00:00, 25.91, 1.00, 0.0069, 1.00,  58.8, 1.00,  -0.77, 1.00,  -0.47, 1.00,    0.21, 1.00, 1011.23, 1.00, 187.7, 1.00
2014-12-01 00:00:00,2014-12-01 10:00:00, 26.60, 1.00, 0.0046, 1.00,  43.9, 1.00,  -0.49, 1.00,  -0.51, 1.00,    0.18, 1.00, 1009.86, 1.00, 427.7, 1.00
2015-01-01 00:00:00,2015-01-01 10:00:00, 26.82, 1.00, 0.0033, 1.00,  61.5, 1.00,  -0.33, 1.00,  -0.18, 1.00,    0.20, 1.00, 1009.13, 1.00, 563.6, 1.00
2015-02-01 00:00:00,2015-02-01 10:00:00, 27.54, 0.40, 0.0089, 0.40,  51.7, 0.40,  -1.12, 0.40,  -0.89, 0.40,    0.27, 0.40, 1011.87, 0.40,  28.7, 0.40
2015-03-01 00:00:00,2015-03-01 10:00:00, 27.07, 1.00, 0.0056, 1.00,  41.4, 1.00,  -0.48, 1.00,  -0.54, 1.00,    0.22, 1.00, 1010.66, 1.00, 216.2, 1.00
2015-04-01 00:00:00,2015-04-01 10:00:00, 26.75, 1.00, 0.0059, 1.00,  48.3, 1.00,  -0.65, 1.00,  -0.57, 1.00,    0.20, 1.00, 1012.36, 1.00, 105.2, 1.00
2015-05-01 00:00:00,2015-05-01 10:00:00, 26.02, 1.00, 0.0040, 1.00,  72.5, 1.00,  -0.43, 1.00,  -0.14, 1.00,    0.16, 1.00, 1012.88, 1.00, 167.4, 1.00
2015-06-01 00:00:00,2015-06-01 10:00:00, 25.45, 1.00, 0.0051, 1.00,  84.3, 1.00,  -0.63, 1.00,  -0.06, 1.00,    0.17, 1.00, 1012.85, 1.00,  82.8, 1.00
2015-07-01 00:00:00,2015-07-01 10:00:00, 24.62, 1.00, 0.0050, 1.00,  93.0, 1.00,  -0.61, 1.00,   0.03, 1.00,    0.15, 1.00, 1013.62, 1.00,  85.6, 1.00
2015-08-01 00:00:00,2015-08-01 10:00:00, 24.32, 0.59, 0.0098, 0.59,  86.9, 0.59,  -1.04, 0.59,  -0.06, 0.59,    0.18, 0.59, 1013.15, 0.59,  22.9, 0.59
2015-09-01 00:00:00,2015-09-01 10:00:00, 24.30, 1.00, 0.0059, 1.00, 110.3, 1.00,  -0.75, 1.00,   0.28, 1.00,    0.20, 1.00, 1013.22, 1.00, 108.0, 1.00
2015-10-01 00:00:00,2015-10-01 10:00:00, 25.05, 1.00, 0.0091, 1.00,  86.8, 1.00,  -1.08, 1.00,  -0.06, 1.00,    0.20, 1.00, 1013.36, 1.00, 148.3, 1.00
2015-11-01 00:00:00,2015-11-01 10:00:00, 26.34, 1.00, 0.0081, 1.00,  78.3, 1.00,  -1.10, 1.00,  -0.23, 1.00,    0.22, 1.00, 1011.50, 1.00,  80.8, 1.00
2015-12-01 00:00:00,2015-12-01 10:00:00, 27.71, 0.19, 0.0019, 0.19,  84.6, 0.19,  -0.15, 0.19,  -0.01, 0.19,    0.25, 0.19, 1008.01, 0.19,   2.3, 0.19
2016-01-01 00:00:00,2016-01-01 10:00:00, 26.75, 0.99, 0.0054, 0.99,  93.9, 0.99,  -0.72, 0.99,   0.05, 0.99,    0.20, 0.99, 1010.61, 0.99,  86.6, 0.99
2016-02-01 00:00:00,2016-02-01 10:00:00, 27.46, 0.70, 0.0067, 0.70,  30.4, 0.70,  -0.50, 0.70,  -0.85, 0.70,    0.19, 0.70, 1009.75, 0.70, 295.7, 0.70
2016-03-01 00:00:00,2016-03-01 10:00:00, 27.70, 0.89, 0.0053, 0.89,  36.9, 0.89,  -0.50, 0.89,  -0.66, 0.89,    0.18, 0.89, 1012.35, 0.89, 166.6, 0.89
2016-04-01 00:00:00,2016-04-01 10:00:00, 27.34, 0.58, 0.0045, 0.58, 121.1, 0.58,  -0.55, 0.58,   0.33, 0.58,    0.15, 0.58, 1010.74, 0.58, 113.0, 0.58
2016-05-01 00:00:00,2016-05-01 10:00:00, 25.54, 0.48, 0.0030, 0.48, 102.6, 0.48,  -0.36, 0.48,   0.08, 0.48,    0.11, 0.48, 1013.36, 0.48,   4.3, 0.48
2016-06-01 00:00:00,2016-06-01 10:00:00, 25.55, 1.00, 0.0055, 1.00, 118.8, 1.00,  -0.69, 1.00,   0.38, 1.00,    0.09, 1.00, 1014.04, 1.00, 106.4, 1.00
2016-07-01 00:00:00,2016-07-01 10:00:00, 25.24, 1.00, 0.0060, 1.00,  74.5, 1.00,  -0.76, 1.00,  -0.21, 1.00,    0.13, 1.00, 1014.60, 1.00,  40.1, 1.00
2016-08-01 00:00:00,2016-08-01 10:00:00, 25.25, 1.00, 0.0065, 1.00,  73.9, 1.00,  -0.79, 1.00,  -0.23, 1.00,    0.18, 1.00, 1014.85, 1.00,  62.5, 1.00
2016-09-01 00:00:00,2016-09-01 10:00:00, 26.22, 1.00, 0.0100, 1.00,  47.6, 1.00,  -1.09, 1.00,  -0.99, 1.00,    0.24, 1.00, 1015.61, 1.00,   5.1, 1.00
2016-10-01 00:00:00,2016-10-01 10:00:00, 25.73, 1.00, 0.0057, 1.00,  48.6, 1.00,  -0.49, 1.00,  -0.43, 1.00,    0.24, 1.00, 1012.48, 1.00,  96.5, 1.00
2016-11-01 00:00:00,2016-11-01 10:00:00, 26.73, 1.00, 0.0076, 1.00,  52.2, 1.00,  -0.82, 1.00,  -0.63, 1.00,    0.22, 1.00, 1011.52, 1.00,  65.8, 1.00
2016-12-01 00:00:00,2016-12-01 10:00:00, 27.01, 0.62, 0.0067, 0.62,  45.2, 0.62,  -0.74, 0.62,  -0.74, 0.62,    0.23, 0.62, 1011.68, 0.62, 143.3, 0.62
