Date,Run.Number,Start.Time,Stop.Time,Chamber,Channel,Position,Species,Fragment.ID,Plug.ID,Site,Vol.ml,Temp.C,pH.mV,Salinity,Surface.Area,TA.Start.Time,TA.Stop.Time,Notes
20201102,2,18:48,20:18,9,9,9,Porites,POR-224,POR-224,2,0.61,25.935,-55.3,37.84,,,,
20201102,2,18:48,20:18,8,8,8,Porites,POR-260,POR-260,2,0.6,26.363,-56,37.65,,,,
20201102,2,18:48,20:18,5,5,5,Porites,POR-240,POR-240,2,0.6,26.218,-55.3,37.69,,,,
20201102,2,18:48,20:18,11,4,4,NA,BLK-2,BLK-2,NA,0.61,26.292,-54.3,37.66,,,,
20201103,3,10:49,12:19,6,6,12,Acropora,ACR-220,ACR-220,2,0.61,26.198,-51.7,37.83,,,,
20201103,3,10:49,12:19,8,8,8,Acropora,ACR-225,ACR-225,2,0.605,26.156,-53.8,37.66,,,,
20201103,3,10:49,12:19,1,1,1,Acropora,ACR-229,ACR-229,2,0.6,26.232,-54.4,37.62,,,,
20201103,3,10:49,12:19,11,4,4,Pocillopora,POC-239,POC-239,2,0.605,26.231,-53.3,37.58,,,,
20201103,3,10:49,12:19,9,9,9,Pocillopora,POC-248,POC-248,2,0.6,26.17,-55.9,37.65,,,,
20201103,3,10:49,12:19,2,2,2,Pocillopora,POC-254,POC-254,2,0.61,26.115,-54.9,37.61,,,,
20201103,3,10:49,12:19,10,10,10,Porites,POR-221,POR-221,2,0.6,26.158,-52.6,37.66,,,,
20201103,3,10:49,12:19,7,7,7,Porites,POR-242,POR-242,2,0.6,26.187,-54,37.65,,,,
20201103,3,10:49,12:19,5,5,6,Porites,POR-245,POR-245,2,0.61,26.271,-53.9,37.64,,,,
20201103,3,10:49,12:19,3,3,3,NA,BLK-3,BLK-3,NA,0.615,26.22,-54.3,37.59,,,,
20201103,4,15:36,17:06,11,4,4,Acropora,ACR-241,ACR-241,2,0.6,26.365,-54.4,37.64,,,,
20201103,4,15:36,17:06,9,9,9,Acropora,ACR-256,ACR-256,2,0.61,26.36,-55.7,37.62,,,,
20201103,4,15:36,17:06,2,2,2,Acropora,ACR-267,ACR-267,2,0.605,26.598,-56.1,37.59,,,,
20201103,4,15:36,17:06,6,6,12,Pocillopora,POC-255,POC-255,2,0.57,26.525,-54.7,37.66,,,,
20201103,4,15:36,17:06,8,8,8,Pocillopora,POC-257,POC-257,2,0.605,26.51,-56.4,37.64,,,,
20201103,4,15:36,17:06,1,1,1,Pocillopora,POC-259,POC-259,2,0.595,26.612,-54.5,37.64,,,,
20201103,4,15:36,17:06,10,10,10,Porites,POR-251,POR-251,2,0.6,26.417,-56.7,37.65,,,,
20201103,4,15:36,17:06,7,7,7,Porites,POR-253,POR-253,2,0.605,26.538,-53.4,37.66,,,,
20201103,4,15:36,17:06,3,3,3,Porites,POR-262,POR-262,2,0.6,26.591,-54.3,37.78,,,,
20201103,4,15:36,17:06,5,5,6,NA,BLK-4,BLK-4,NA,0.61,26.464,-53.2,37.78,,,,
20201104,5,10:50,12:20,1,1,1,Acropora,ACR-343,ACR-343,3,0.595,26.554,-55.1,37.64,,,,
20201104,5,10:50,12:20,6,6,12,Acropora,ACR-368,ACR-368,3,0.595,26.814,-56.8,37.66,,,,
20201104,5,10:50,12:20,5,5,6,Pocillopora,POC-358,POC-358,3,0.615,26.625,-58,37.57,,,,
20201104,5,10:50,12:20,10,10,10,Pocillopora,POC-359,POC-359,3,0.595,26.62,-59.3,37.53,,,,
20201104,5,10:50,12:20,2,2,2,Pocillopora,POC-366,POC-366,3,0.6,26.575,-58.1,37.74,,,,
20201104,5,10:50,12:20,7,7,7,Pocillopora,POC-369,POC-369,3,0.605,26.687,-58.3,37.54,,,,
20201104,5,10:50,12:20,3,3,3,Porites,POR-338,POR-338,3,0.62,26.769,-56.5,37.69,,,,
20201104,5,10:50,12:20,9,9,9,Porites,POR-340,POR-340,3,0.61,26.484,-56.3,37.48,,,,
20201104,5,10:50,12:20,11,4,4,Porites,POR-341,POR-341,3,0.6,26.595,-55.4,37.7,,,,
20201104,5,10:50,12:20,8,8,8,NA,BLK-5,BLK-5,NA,0.61,26.66,-56.1,38.01,,,,
20201104,6,15:32,17:02,11,4,4,Acropora,ACR-398,ACR-398,3,0.61,26.385,-57.6,37.7,,,,
20201104,6,15:32,17:02,6,6,12,Acropora,ACR-389,ACR-389,3,0.6,26.68,-55.3,37.91,,,,
20201104,6,15:32,17:02,3,3,3,Pocillopora,POC-371,POC-371,3,0.6,25.975,-59.2,38.1,,,,
20201104,6,15:32,17:02,1,1,1,Pocillopora,POC-372,POC-372,3,0.59,26.552,-56.4,37.73,,,,
20201104,6,15:32,17:02,10,10,10,Pocillopora,POC-373,POC-373,3,0.585,26.494,-53.7,37.59,,,,
20201104,6,15:32,17:02,7,7,7,Porites,POR-349,POR-349,3,0.59,26.583,-54.4,37.59,,,,
20201104,6,15:32,17:02,2,2,2,Porites,POR-353,POR-353,3,0.6,26.475,-53.8,37.58,,,,
20201104,6,15:32,17:02,8,8,8,Porites,POR-354,POR-354,3,0.59,26.476,-55.1,37.78,,,,
20201104,6,15:32,17:02,5,5,6,Porites,POR-355,POR-355,3,0.6,26.646,-53.9,37.74,,,,
20201104,6,15:32,17:02,9,9,9,NA,BLK-6,BLK-6,NA,0.61,26.378,-54.5,37.67,,,,
20201105,7,10:33,12:03,1,1,1,Acropora,ACR-390,ACR-390,3,0.595,26.209,-56.3,37.4,,,,
20201105,7,10:33,12:03,9,9,9,Pocillopora,POC-375,POC-375,3,0.59,26.098,-57.8,37.26,,,,
20201105,7,10:33,12:03,6,6,12,Pocillopora,POC-377,POC-377,3,0.595,26.309,-54.8,37.38,,,,
20201105,7,10:33,12:03,2,2,2,Pocillopora,POC-378,POC-378,3,0.6,26.103,-60.3,37.22,,,,
20201105,7,10:33,12:03,10,10,10,Pocillopora,POC-386,POC-386,3,0.595,26.206,-55.3,37.31,,,,
20201105,7,10:33,12:03,11,4,4,Porites,POR-357,POR-357,3,0.62,26.257,-54.3,37.28,,,,
20201105,7,10:33,12:03,8,8,8,Porites,POR-362,POR-362,3,0.61,26.347,-53.2,37.26,,,,
20201105,7,10:33,12:03,3,3,3,Porites,POR-367,POR-367,3,0.615,26.224,-54.7,37.28,,,,
20201105,7,10:33,12:03,5,5,6,NA,BLK-7,BLK-7,NA,0.6,25.993,-55.8,37.1,,,,
20201105,8,15:13,16:43,1,1,1,Acropora,ACR-393,ACR-393,3,0.61,26.708,-55.3,37.18,,,,
20201105,8,15:13,16:43,6,6,12,Pocillopora,POC-391,POC-391,3,0.595,26.782,-55.9,37.3,,,,
20201105,8,15:13,16:43,10,10,10,Pocillopora,POC-395,POC-395,3,0.6,26.662,-56.1,37.52,,,,
20201105,8,15:13,16:43,5,5,6,Pocillopora,POC-394,POC-394,3,0.605,26.633,-56.1,37.22,,,,
20201105,8,15:13,16:43,9,9,9,Porites,POR-381,POR-381,3,0.59,26.499,-53.7,37.31,,,,
20201105,8,15:13,16:43,3,3,3,Porites,POR-383,POR-383,3,0.615,26.522,-54.3,37.29,,,,
20201105,8,15:13,16:43,7,7,7,Porites,POR-384,POR-384,3,0.61,26.665,-55.8,37.22,,,,
20201105,8,15:13,16:43,11,4,4,Porites,POR-385,POR-385,3,0.6,26.56,-55.3,37.21,,,,
20201105,8,15:13,16:43,2,2,2,NA,BLK-8,BLK-8,NA,0.615,26.603,-54.2,37.26,,,,
20201105,8,15:13,16:43,8,8,8,Pocillopora,POC-346,POC-346,3,0.61,26.779,-55.1,37.3,,,,
20201106,9,10:21,11:51,6,6,12,Acropora,ACR-139,ACR-139,1,0.605,26.515,-55.7,36.64,,,,
20201106,9,10:21,11:51,1,1,1,Acropora,ACR-145,ACR-145,1,0.6,26.395,-55.8,36.74,,,,
20201106,9,10:21,11:51,10,10,10,Acropora,ACR-150,ACR-150,1,0.605,26.461,-57.7,36.76,,,,
20201106,9,10:21,11:51,9,9,9,Pocillopora,POC-40,POC-40,1,0.595,26.405,-55.7,36.68,,,,
20201106,9,10:21,11:51,2,2,2,Pocillopora,POC-42,POC-42,1,0.605,26.54,-58.8,36.95,,,,
20201106,9,10:21,11:51,3,3,3,Pocillopora,POC-43,POC-43,1,0.605,26.315,-58.4,36.71,,,,
20201106,9,10:21,11:51,5,5,6,Porites,POR-69,POR-69,1,0.61,26.539,-53.6,36.81,,,,
20201106,9,10:21,11:51,7,7,7,Porites,POR-70,POR-70,1,0.61,26.536,-54.4,36.71,,,,
20201106,9,10:21,11:51,8,8,8,Porites,POR-71,POR-71,1,0.605,26.348,-55.3,36.72,,,,
20201106,9,10:21,11:51,11,4,4,NA,BLK-9,BLK-9,NA,0.61,26.378,-54.4,36.84,,,,
20201106,10,14:58,16:28,11,4,4,Acropora,ACR-173,ACR-173,1,0.62,26.121,-57.8,36.62,,,,
20201106,10,14:58,16:28,2,2,2,Acropora,ACR-175,ACR-175,1,0.61,26.339,-57.3,36.69,,,,
20201106,10,14:58,16:28,9,9,9,Acropora,ACR-176,ACR-176,1,0.59,26.34,-58.7,36.94,,,,
20201106,10,14:58,16:28,3,3,3,Pocillopora,POC-44,POC-44,1,0.615,26.359,-57.3,36.68,,,,
20201106,10,14:58,16:28,6,6,12,Pocillopora,POC-45,POC-45,1,0.595,26.487,-56.7,36.79,,,,
20201106,10,14:58,16:28,10,10,10,Pocillopora,POC-47,POC-47,1,0.595,26.285,-59.8,36.74,,,,
20201106,10,14:58,16:28,7,7,7,Porites,POR-72,POR-72,1,0.605,26.328,-54.8,36.66,,,,
20201106,10,14:58,16:28,5,5,6,Porites,POR-73,POR-73,1,0.61,26.26,-55.4,36.64,,,,
20201106,10,14:58,16:28,1,1,1,Porites,POR-74,POR-74,1,0.595,26.09,-55.3,36.79,,,,
20201106,10,14:58,16:28,8,8,8,NA,BLK-10,BLK-10,NA,0.625,26.25,-55.4,36.83,,,,
20201107,11,10:58,12:28,10,10,10,Acropora,ACR-178,ACR-178,1,0.6,26.555,-57.6,36.64,,,,
20201107,11,10:58,12:28,5,5,6,Acropora,ACR-180,ACR-180,1,0.605,26.564,-56.8,36.7,,,,
20201107,11,10:58,12:28,1,1,1,Acropora,ACR-185,ACR-185,1,0.6,26.492,-56.2,36.74,,,,
20201107,11,10:58,12:28,2,2,2,Pocillopora,POC-52,POC-52,1,0.605,26.324,-59.3,36.72,,,,
20201107,11,10:58,12:28,9,9,9,Pocillopora,POC-53,POC-53,1,0.605,26.472,-59.6,36.84,,,,
20201107,11,10:58,12:28,6,6,12,Pocillopora,POC-55,POC-55,1,0.595,26.668,-58.6,36.62,,,,
20201107,11,10:58,12:28,3,3,3,Porites,POR-75,POR-75,1,0.605,26.374,-56.6,36.76,,,,
20201107,11,10:58,12:28,8,8,8,Porites,POR-76,POR-76,1,0.57,26.738,-54.3,36.67,,,,
20201107,11,10:58,12:28,11,4,4,Porites,POR-79,POR-79,1,0.61,26.445,-56.3,36.65,,,,
20201107,11,10:58,12:28,7,7,7,NA,BLK-11,BLK-11,NA,0.61,26.403,-56.9,36.84,,,,
20201107,12,15:32,17:02,7,7,7,Acropora,ACR-186,ACR-186,1,0.61,26.688,-58.8,36.73,,,,
20201107,12,15:32,17:02,1,1,1,Acropora,ACR-187,ACR-187,1,0.6,26.278,-60.2,36.71,,,,
20201107,12,15:32,17:02,10,10,10,Pocillopora,POC-57,POC-57,1,0.595,26.57,-60.1,36.68,,,,
20201107,12,15:32,17:02,3,3,3,Pocillopora,POC-68,POC-68,1,0.6,26.491,-57.4,36.69,,,,
20201107,12,15:32,17:02,11,4,4,Pocillopora,POC-50,POC-50,1,0.605,26.325,-59.9,36.64,,,,
20201107,12,15:32,17:02,6,6,12,Pocillopora,POC-48,POC-48,1,0.6,26.56,-59.5,36.67,,,,
20201107,12,15:32,17:02,9,9,9,Porites,POR-81,POR-81,1,0.61,26.486,-58.4,36.62,,,,
20201107,12,15:32,17:02,2,2,2,Porites,POR-82,POR-82,1,0.6,26.585,-55.8,36.75,,,,
20201107,12,15:32,17:02,5,5,6,Porites,POR-83,POR-83,1,0.61,26.679,-57,36.65,,,,
20201107,12,15:32,17:02,8,8,8,NA,BLK-12,BLK-12,NA,0.62,26.423,-57,36.63,,,,
