Date,Run.Number,Start.Time,Stop.Time,Chamber,Channel,Position,Species,Fragment.ID,Plug.ID,Site,Vol.ml,pH.mV,Temp.C,Salinity,Surface.Area,TA.Start.Time,TA.Stop.Time,Notes
20200104,2,19:19,20:19,6,6,6,Acropora,ACR-228_1,ACR-228,2,610,NA,28.35,36.61,30,19:07,20:19,
20200104,2,19:19,20:19,1,1,2,BK,BK-2_1,BK-2,2,575,NA,28.68,36.69,30,19:10,20:25,"chamber lost a bit of water when it was removed from tank, need to redo Volume measurment"
20200105,3,11:51,13:23,1,1,12,Porites,POR-266_1,POR-266,2,595,NA,28.38,36.75,30,11:46,13:34,
20200105,3,11:51,13:23,2,2,10,Acropora,ACR-234_1,ACR-234,2,615,NA,28.26,36.65,30,11:51,13:38,
20200105,3,11:51,13:23,3,3,6,Acropora,ACR-258_1,ACR-258,2,595,NA,28.3,36.86,30,11:38,13:24,
20200105,3,11:51,13:23,4,4,3,Pocillopora,POC-259_1,POC-259,2,580,NA,28.56,36.62,30,11:40,13:32,
20200105,3,11:51,13:23,5,5,7,Porites,POR-209_1,POR-209,2,610,NA,28.3,36.64,30,11:49,13:41,
20200105,3,11:51,13:23,6,6,9,Acropora,ACR-229_1,ACR-229,2,610,NA,28.28,36.83,30,11:49,13:36,
20200105,3,11:51,13:23,7,7,1,Porites,POR-245_1,POR-245,2,615,NA,28.43,36.92,30,11:43,13:29,
20200105,3,11:51,13:23,8,8,4,Pocillopora,POC-238_1,POC-238,2,610,NA,28.38,36.95,30,11:44,13:27,
20200105,3,11:51,13:23,9,9,8,Pocillopora,POC-217_1,POC-217,2,605,NA,28.37,36.65,30,11:47,13:40,
20200105,3,11:51,13:23,10,10,2,BK,BK-3_1,BK-3,2,580,NA,28.38,36.65,30,11:42,13:31,
20200105,4,17:03,18:33,1,1,9,Porites,POR-253_1,POR-253,2,595,NA,28.23,36.78,30,17:00,18:48,
20200105,4,17:03,18:33,2,2,1,Pocillopora,POC-200_1,POC-200,2,610,NA,28.44,37.15,30,16:54,18:42,
20200105,4,17:03,18:33,3,3,4,Acropora,ACR-231_1,ACR-231,2,605,NA,28.9,36.95,30,16:56,18:35,
20200105,4,17:03,18:33,4,4,6,Porites,POR-240_1,POR-240,2,600,NA,28.71,37.31,30,16:47,18:33,
20200105,4,17:03,18:33,5,5,7,Porites,POR-224_1,POR-224,2,605,NA,28.07,36.71,30,16:59,18:50,
20200105,4,17:03,18:33,6,6,2,Pocillopora,POC-205_1,POC-205,2,605,NA,28.81,36.81,30,16:50,18:38,
20200105,4,17:03,18:33,7,7,10,Acropora,ACR-246_1,ACR-246,2,610,NA,28.16,36.74,30,17:01,18:46,
20200105,4,17:03,18:33,8,8,3,Acropora,ACR-265_1,ACR-265,2,610,NA,28.8,36.78,30,16:48,18:37,
20200105,4,17:03,18:33,9,9,12,Pocillopora,POC-207_1,POC-207,2,610,NA,28.15,36.84,30,16:57,18:44,
20200105,4,17:03,18:33,10,10,11,BK,BK-4_1,BK-4,2,605,NA,28.22,36.94,30,17:02,18:52,
20200106,5,12:56,14:39,2,2,3,Porites,POR-261_1,POR-261,2,605,NA,27.38,37.08,30,12:48,14:39,
20200106,5,12:56,14:39,3,3,8,Acropora,ACR-237_1,ACR-237,2,615,NA,27.77,36.89,30,12:51,14:50,
20200106,5,12:56,14:39,4,4,4,BK,BK-5_1_1,BK-5_1,2,610,NA,27.36,36.87,30,12:50,14:46,
20200106,5,12:56,14:39,6,6,11,Pocillopora,POC-222_1,POC-222,2,600,NA,27.71,36.97,30,12:52,14:52,
20200106,5,12:56,14:39,7,7,9,BK,BK-5_2_1,BK-5_2,2,615,NA,27.71,37.08,30,12:51,14:48,
20200106,5,12:56,14:39,8,8,2,Porites,POR-260_1,POR-260,2,590,NA,27.65,36.55,30,12:49,14:42,
20200106,5,12:56,14:39,9,9,5,Acropora,ACR-225_1,ACR-225,2,605,NA,27.62,37.4,30,12:50,14:44,
20200106,5,12:56,14:39,10,10,10,Porites,POR-251_1,POR-251,2,595,NA,27.31,36.69,30,12:52,14:54,
20200106,6,18:53,20:23,1,1,10,Pocillopora,POC-377_1,POC-377,3,600,NA,28.95,36.58,30,18:52,18:37,
20200106,6,18:53,20:23,2,2,4,BK,BK-6_1,BK-6,3,610,NA,28.17,36.75,30,18:47,18:30,
20200106,6,18:53,20:23,3,3,9,Acropora,ACR-389_1,ACR-389,3,605,NA,29,36.7,30,18:46,18:38,
20200106,6,18:53,20:23,4,4,8,Porites,POR-353_1,POR-353,3,580,NA,29.04,36.63,30,18:49,18:41,
20200106,6,18:53,20:23,5,5,7,Pocillopora,POC-371_1,POC-371,3,580,NA,28.94,36.71,30,18:49,18:40,
20200106,6,18:53,20:23,6,6,1,Acropora,ACR-393_1,ACR-393,3,600,NA,28.05,36.63,30,18:41,18:34,
20200106,6,18:53,20:23,7,7,3,Acropora,ACR-350_1,ACR-350,3,610,NA,28.16,36.65,30,18:38,18:31,
20200106,6,18:53,20:23,8,8,2,Porites,POR-362_1,POR-362,3,595,NA,28.13,36.7,30,18:40,18:33,
20200106,6,18:53,20:23,9,9,6,Pocillopora,POC-395_1,POC-395,3,605,NA,28.12,36.72,30,18:37,18:29,
20200106,6,18:53,20:23,10,10,12,Porites,POR-355_1,POR-355,3,590,NA,29.01,36.74,30,18:43,18:35,
20200107,7,,,1,1,1,Pocillopora,POC-378_1,POC-378,3,,NA,,,30,,,
20200107,7,,,2,2,3,Porites,POR-384_1,POR-384,3,,NA,,,30,,,
20200107,7,,,3,3,2,Porites,POR-383_1,POR-383,3,,NA,,,30,,,
20200107,7,,,4,4,4,BK,BK-7_1,BK-7,3,,NA,,,30,,,
20200107,7,,,5,5,10,Pocillopora,POC-369_1,POC-369,3,,NA,,,30,,,
20200107,7,,,6,6,6,Acropora,ACR-379_1,ACR-379,3,,NA,,,30,,,
20200107,7,,,7,7,8,Pocillopora,POC-358_1,POC-358,3,,NA,,,30,,,
20200107,7,,,8,8,12,Acropora,ACR-343_1,ACR-343,3,,NA,,,30,,,
20200107,7,,,9,9,9,Acropora,ACR-345_1,ACR-345,3,,NA,,,30,,,
20200107,7,,,10,10,7,Porites,POR-340_1,POR-340,3,,NA,,,30,,,
20200107,8,,,1,1,,,,,3,,NA,,,31,,,
20200107,8,,,2,2,,,,,3,,NA,,,32,,,
20200107,8,,,3,3,,,,,3,,NA,,,33,,,
20200107,8,,,4,4,,,,,3,,NA,,,34,,,
20200107,8,,,5,5,,,,,3,,NA,,,35,,,
20200107,8,,,6,6,,,,,3,,NA,,,36,,,
20200107,8,,,7,7,,,,,3,,NA,,,37,,,
20200107,8,,,8,8,,,,,3,,NA,,,38,,,
20200107,8,,,9,9,,,,,3,,NA,,,39,,,
20200107,8,,,10,10,,,,,3,,NA,,,40,,,
