Pan.ID,colony_id,partner,initial.mass.g,dry.pan.mass.g,burnt.pan.mass.g
72,ACR-345,Sym,1.1389,1.1517,1.1499
73,POC-366,Sym,1.1315,1.18,1.1736
74,1xPBS,PBS,1.1581,1.1986,1.1973
75,POC-391,Sym,1.1231,1.1365,1.1343
76,,,1.137,,
77,POC-43,Sym,1.1418,,
78,1xPBS,PBS,1.1239,1.1638,1.1635
79,POC-56,Sym,1.1258,,
80,POR-71,Sym,1.1279,,
81,POR-381,Sym,1.124,1.1392,1.1368
82,POR-353,Sym,1.1386,1.162,1.1535
83,POC-47,Sym,1.1331,,
84,POC-68,Sym,1.1456,,
85,,,1.157,,
86,ACR-396,Sym,1.1321,1.1492,1.1454
87,POR-82,Sym,1.1321,,
88,POR-385,Sym,1.1311,1.1497,1.1442
89,ACR-368,Sym,1.1271,1.1417,1.1394
90,ACR-176,Sym,1.1372,,
91,ACR-180,Sym,1.1244,,
92,ACR-343,Sym,1.1412,1.1559,1.1532
93,POC-394,Sym,1.1362,1.1502,1.1476
94,POC-338,Sym,1.1287,1.1502,1.1426
95,ACR-363,Host,1.1385,1.1897,1.1838
96,ACR-345,Host,1.1348,1.1816,1.1776
97,POR-383,Sym,1.1351,1.156,1.1489
98,POR-72,Host,1.1293,,
99,POR-354,Sym,1.1428,1.1655,1.1564
100,ACR-225,Sym,1.1459,1.1598,1.158
101,POC-239,Sym,1.1268,1.1397,
102,ACR-193,Host,1.1365,,
103,ACR-193,Sym,1.1359,,
104,POC-42,Sym,1.1402,,
105,,,,,
106,ACR-139,Sym,1.1449,,
107,ACR-190,Host,1.1339,,
108,POC-44,Host,1.1267,,
109,ACR-145,Host,1.1341,,
110,ACR-390,Sym,1.1246,1.138,1.1355
111,POC-358,Host,1.1448,1.2058,1.1916
112,POC-43,Host,1.1403,,
113,POC-378,Sym,1.133,1.1489,1.1445
114,ACR-363,Sym,1.1524,1.1675,1.1638
115,ACR-393,Sym,1.1453,1.1577,1.1561
116,POC-53,Host,1.1297,,
117,POR-365,Sym,1.1317,1.1506,1.144
118,POC-346,Host,1.1392,1.1971,1.183
119,POC-372,Sym,1.1424,1.1559,1.1529
120,ACR-393,Host,1.1259,1.17,1.1671
121,POR-321,Host,1.1328,1.1861,1.1775
122,POC-369,Sym,1.126,1.1429,1.1366
123,POC-395,Host,1.1363,1.1886,1.18
124,POC-372,Host,1.1182,1.1741,1.1623
125,ACR-368,Host,1.1304,1.176,1.1725
126,POR-362,Host,1.1334,1.2026,1.1837
127,POC-346,Sym,1.1343,1.1486,1.1453
128,POR-384,Sym,1.142,1.1629,1.1552
129,POC-377,Host,1.1331,1.189,1.1768
130,ACR-374,Host,1.1347,1.1848,1.179
131,ACR-364,Sym,1.127,1.1426,1.138
132,ACR-225,Host,1.145,1.1937,1.1863
133,POC-386,Host,1.1377,1.1786,1.1725
134,POR-341,Sym,1.1324,1.158,1.149
135,POR-367,Host,1.152,1.1202,1.194
136,POC-369,Host,1.1537,1.214,1.1998
137,POR-349,Sym,1.1466,1.1668,1.1595
138,POC-371,Sym,1.14,1.1536,1.1516
139,ACR-350,Host,1.1146,1.1727,1.1646
140,POR-365,Host,1.1293,1.1862,1.175
141,POC-359,Host,1.1374,1.1909,1.1814
142,POR-353,Host,1.1154,1.1815,1.1667
143,POC-394,Host,1.1495,1.2066,1.1941
144,POR-340,Host,1.1273,1.1819,1.1706
145,POC-378,Host,1.1317,1.1928,1.1768
146,POR-384,Host,1.1342,1.2055,1.188
147,ACR-379,Host,1.1454,1.1967,1.1895
148,POC-391,Host,1.1372,1.1992,1.1833
149,ACR-390,Host,1.1444,1.1926,1.1879
150,POR-385,Host,1.14,1.1923,1.1826
151,POR-74,Host,1.135,,
152,ACR-165,Host,1.1335,,
153,POR-70,Host,1.1257,,
154,ACR-139,Host,1.1391,,
155,POR-69,Sym,1.1354,,
156,ACR-187,Host,1.1453,,
157,POC-48,Host,1.1201,,
158,POR-75,Host,1.1395,,
159,ACR-185,Host,1.1477,,
160,ACR-173,Host,1.1393,,
161,POC-50,Sym,1.136,,
162,POC-41,Host,1.139,,
163,POR-73,Sym,1.1292,,
164,POC-205,Sym,1.1363,1.1498,
165,ACR-150,Host,1.1446,,
166,POC-48,Sym,1.143,,
167,POR-83,Host,1.1385,,
168,ACR-51,Host,1.1371,,
169,ACR-351,Host,1.1406,1.1857,1.1813
170,POC-375,Host,1.1598,1.2125,1.2036
171,POC-371,Host,1.129,1.1817,1.1736
172,POC-373,Sym,1.1451,1.1605,1.1561
173,POR-357,Host,1.1407,1.2,1.1873
174,POR-354,Host,1.1311,1.1899,1.175
175,POR-349,Host,1.1388,1.1949,1.1813
176,1xPBS,PBS,1.1542,1.1933,1.1926
177,POC-366,Host,1.1271,1.1753,1.1681
178,ACR-351,Sym,1.1317,1.1448,1.1427
179,POC-375,Sym,1.1362,1.1822,1.1779
180,POR-383,Host,1.1398,1.1971,1.1849
181,POR-355,Host,1.1448,1.1988,1.1884
182,POR-341,Host,1.1258,1.1834,1.1717
183,POR-78,Host,1.1312,,
184,POR-253,Host,1.1542,1.1853,
185,POR-76,Host,1.1387,,
186,ACR-243,Host,1.1334,1.1813,
187,POC-44,Sym,1.1392,,
188,POR-214,Sym,1.1439,1.1582,
189,,,1.1308,,
190,ACR-343,Host,1.1424,1.1868,1.1827
191,POC-45,Host,1.1386,,
192,POR-209,Host,1.1386,1.1972,
193,POC-201,Host,1.1349,1.2066,
194,ACR-265,Host,1.1275,1.1739,
195,POR-79,Host,1.1495,,
196,ACR-180,Host,1.1548,,
197,POR-240,Sym,1.1312,1.1465,
198,POC-254,Sym,1.1486,1.1611,
199,POR-236,Sym,1.1419,1.1615,
200,ACR-246,Host,1.1393,1.1978,
201,POR-245,Sym,1.1387,1.1595,
202,POC-238,Sym,1.1315,1.1466,
203,POC-254,Sym,1.1382,1.1606,
204,POC-217,Sym,1.1324,1.1478,
205,ACR-258,Sym,1.1332,1.1468,
206,POC-200,Sym,1.1415,1.1577,
207,ACR-234,Host,1.1386,1.1777,
208,POC-239,Host,1.1457,1.1784,
209,POR-251,Host,1.1303,1.1863,
210,POC-205,Host,1.1414,1.1826,
211,ACR-175,Host,1.1324,,
212,ACR-test,Sym,1.1377,1.1511,
213,POC-50,Host,1.1256,,
214,POR-216,Sym,1.1411,1.1552,
215,ACR-228,Sym,1.1478,1.1607,
216,ACR-246,Sym,1.1403,1.161,
217,POR-221,Sym,1.1303,1.1469,
218,POC-254,Host,1.1333,1.1754,
219,POR-266,Sym,1.1354,1.152,
220,POR-77,Sym,1.1264,,
221,POC-42,Sym,1.1364,,
222,POR-251,Sym,1.1319,1.1467,
223,ACR-229,Host,1.1379,1.1765,
224,,,1.1272,,
225,POC-207,Sym,1.1356,1.1502,
226,ACR-186,Host,1.1366,,
227,ACR-228,Host,1.1281,1.162,
228,ACR-256,Sym,1.1433,1.1626,
229,POR-242,Sym,1.1408,1.1541,
230,POC-259,Host,1.1486,1.2017,
231,POR-209,Sym,1.1426,1.1627,
232,POR-216,Host,1.1361,1.1852,
233,ACR-231,Host,1.138,1.1806,
234,POC-248,Sym,1.1272,1.1412,
235,POC-222,Sym,1.1313,1.1512,
236,ACR-237,Sym,1.1275,1.1423,
237,ACR-244,Sym,1.1289,1.142,
238,POR-221,Host,1.1336,1.1844,
239,POC-219,Host,1.1362,1.1766,
240,POC-201,Sym,1.1384,1.1531,
241,POC-222,Host,1.1346,1.1861,
242,POC-248,Host,1.1367,1.1935,
243,ACR-test,Host,1.1448,1.1959,
244,POR-253,Sym,1.1287,1.1426,
245,POR-260,Sym,1.1184,1.1409,
246,POC-68,Host,1.1381,,
247,ACR-237,Host,1.1269,1.1762,
248,ACR-243,Sym,1.1271,1.1421,
249,POR-242,Host,1.1333,1.1853,
250,ACR-265,Sym,1.1322,1.1478,
251,ACR-234,Sym,1.1384,1.1529,
252,POC-219,Sym,1.111,1.1255,
253,POR-245,Host,1.135,1.1904,
254,POR-262,Host,1.1418,1.1959,
255,POC-238,Host,1.1366,1.1815,
256,POC-255,Sym,1.1407,1.1553,
257,ACR-229,Sym,1.1364,1.1522,
258,POR-224,Sym,1.1456,1.1606,
259,POR-244,Host,1.1394,1.1911,
260,ACR-247,Sym,1.1338,1.1471,
261,ACR-258,Host,1.1486,1.1915,
262,POC-217,Host,1.1396,1.1889,
263,POR-236,Host,1.1375,1.1942,
264,POR-260,Host,1.147,1.2116,
265,POC-200,Host,1.1426,1.1978,
266,POC-254,Host,1.1414,1.185,
267,ACR-247,Host,1.1465,1.1787,
268,ACR-244,Host,1.1351,1.1826,
269,POR-240,Host,1.1343,1.1911,
270,POC-255,Host,1.1266,1.1747,
271,POC-207,Host,1.1337,1.1833,
272,POR-262,Sym,1.1425,1.1741,
273,POR-214,Host,1.1379,1.1875,
274,ACR-256,Host,1.33,1.2012,
275,POR-266,Host,1.1305,1.1788,
