colony_id,Squares.Counted,mean_count,site,species,homog_vol_ml,notes,date_airbrushed,weight1.g,weight2.g,Notes,delta.mass.g,surface.area.cm2,timepoint,cells.mL,cells,cells.cm2
ACR-256,NA,NA,site2,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
ACR-246,NA,NA,site2,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
ACR-265,NA,NA,site2,Acropora,12.5,NA,20200924,3.5549,3.8049,NA,0.25,14.683704581576018,timepoint3,NA,NA,NA
ACR-229,NA,NA,site2,Acropora,10,NA,20200925,1.6387,1.9902,NA,0.3514999999999999,18.480819436523827,timepoint3,NA,NA,NA
ACR-247,NA,NA,site2,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
ACR-237,NA,NA,site2,Acropora,15,NA,20200924,1.752,2.2017,NA,0.4497000000000002,22.154481296187633,timepoint3,NA,NA,NA
ACR-225,NA,NA,site2,Acropora,10,NA,20200925,0.8545,1.0571,NA,0.2025999999999999,12.910470649314671,timepoint3,NA,NA,NA
ACR-244,NA,NA,site2,Acropora,9,NA,20200925,1.6378,2.0031,NA,0.36529999999999996,18.997077416802448,timepoint3,NA,NA,NA
ACR-258,NA,NA,site2,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
ACR-370,NA,NA,site3,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
ACR-390,NA,NA,site3,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
ACR-389,NA,NA,site3,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
ACR-379,NA,NA,site3,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
ACR-374,NA,NA,site3,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
ACR-345,NA,NA,site3,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
ACR-364,NA,NA,site3,Acropora,15,NA,20200925,17.1019,18.2956,NA,1.1936999999999998,49.98752023294793,timepoint3,NA,NA,NA
ACR-376,NA,NA,site3,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
ACR-396,NA,NA,site3,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
ACR-360,NA,NA,site3,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
ACR-347,NA,NA,site3,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
ACR-368,NA,NA,site3,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
ACR-350,NA,NA,site3,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
ACR-351,NA,NA,site3,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
ACR-363,NA,NA,site3,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
ACR-343,NA,NA,site3,Acropora,17.5,NA,20200926,11.8576,12.4182,NA,0.5606000000000009,26.303250137702065,timepoint3,NA,NA,NA
ACR-393,NA,NA,site3,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
POC-40,NA,NA,site1,Pocillopora,50,NA,20200922,21.0942,23.0646,NA,1.970399999999998,79.04386612297706,timepoint3,NA,NA,NA
POC-41,NA,NA,site1,Pocillopora,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
POC-42,NA,NA,site1,Pocillopora,10,NA,20200926,7.2515,7.882,NA,0.6304999999999996,28.91820903780893,timepoint3,NA,NA,NA
POC-43,NA,NA,site1,Pocillopora,12.5,NA,20200926,12.0125,13.0587,NA,1.0462000000000007,44.469545443738085,timepoint3,NA,NA,NA
POC-44,NA,NA,site1,Pocillopora,22.5,NA,20200923,9.5355,10.419,NA,0.8834999999999997,38.382938676250276,timepoint3,NA,NA,NA
POC-45,NA,NA,site1,Pocillopora,28.5,NA,20200925,17.7317,19.3388,NA,1.607099999999999,65.4528136421639,timepoint3,NA,NA,NA
POC-48,NA,NA,site1,Pocillopora,25,NA,20200925,21.0105,22.63,NA,1.6194999999999986,65.91669762444323,timepoint3,NA,NA,NA
POC-50,NA,NA,site1,Pocillopora,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
POC-52,NA,NA,site1,Pocillopora,22.5,NA,20200925,13.8042,15.1297,NA,1.3255,54.91815804459445,timepoint3,NA,NA,NA
POC-53,NA,NA,site1,Pocillopora,26.5,NA,20200925,25.6052,27.8433,NA,2.2380999999999993,89.05852274041091,timepoint3,NA,NA,NA
POC-55,NA,NA,site1,Pocillopora,19.5,NA,20200925,13.3554,14.3177,NA,0.9623000000000008,41.330846563638374,timepoint3,NA,NA,NA
POC-56,NA,NA,site1,Pocillopora,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
POC-57,NA,NA,site1,Pocillopora,14.5,NA,20200925,11.3374,12.3244,NA,0.9870000000000001,42.254873528339935,timepoint3,NA,NA,NA
POC-68,NA,NA,site1,Pocillopora,19,NA,20200924,9.2504,10.0879,NA,0.8374999999999986,36.662078741988175,timepoint3,NA,NA,NA
POC-200,NA,NA,site2,Pocillopora,42.5,NA,20200925,20.6161,22.0411,NA,1.4250000000000007,58.64045290240046,timepoint3,NA,NA,NA
POC-201,NA,NA,site2,Pocillopora,20,NA,20200925,19.7895,21.3363,NA,1.546800000000001,63.19699072833785,timepoint3,NA,NA,NA
POC-205,NA,NA,site2,Pocillopora,18.5,NA,20200924,7.8083,8.3139,NA,0.5056000000000003,24.24570021630175,timepoint3,NA,NA,NA
POC-207,NA,NA,site2,Pocillopora,21,NA,20200925,8.4019,9.1445,NA,0.7426000000000013,33.1118698776085,timepoint3,NA,NA,NA
POC-215,NA,NA,site2,Pocillopora,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
POC-217,NA,NA,site2,Pocillopora,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
POC-219,NA,NA,site2,Pocillopora,22.5,NA,20200925,12.3847,13.3378,NA,0.9530999999999992,40.9866745767859,timepoint3,NA,NA,NA
POC-222,NA,NA,site2,Pocillopora,21.5,NA,20200924,17.5888,18.8716,NA,1.2828000000000017,53.32075110561647,timepoint3,NA,NA,NA
POC-232,NA,NA,site2,Pocillopora,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
POC-238,NA,NA,site2,Pocillopora,22.5,NA,20200924,10.4599,11.2106,NA,0.7507000000000001,33.41489086603286,timepoint3,NA,NA,NA
POC-239,NA,NA,site2,Pocillopora,21,NA,20200924,15.1845,16.371,NA,1.1864999999999988,49.71816824323731,timepoint3,NA,NA,NA
POC-248,NA,NA,site2,Pocillopora,17.5,NA,20200925,9.2566,10.0322,NA,0.775599999999999,34.34639983044858,timepoint3,NA,NA,NA
POC-254,NA,NA,site2,Pocillopora,22.5,NA,20200925,15.5734,16.866,NA,1.2926000000000002,53.68736909161138,timepoint3,NA,NA,NA
POC-255,NA,NA,site2,Pocillopora,27.5,NA,20200925,11.4612,12.3759,NA,0.9146999999999998,39.55013063166281,timepoint3,NA,NA,NA
POC-257,NA,NA,site2,Pocillopora,27.5,NA,20200924,15.8635,17.0813,NA,1.2177999999999987,50.88910119850692,timepoint3,NA,NA,NA
POC-259,NA,NA,site2,Pocillopora,7.5,NA,20200924,9.1357,9.8732,NA,0.7375000000000007,32.921078884896815,timepoint3,NA,NA,NA
POC-346,NA,NA,site3,Pocillopora,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
POC-366,NA,NA,site3,Pocillopora,36,NA,20200924,24.913,26.3948,NA,1.4817999999999998,60.765340821228364,timepoint3,NA,NA,NA
POC-372,NA,NA,site3,Pocillopora,45,NA,20200926,18.5413,20.2411,NA,1.6997999999999998,68.9207205096877,timepoint3,NA,NA,NA
POC-373,NA,NA,site3,Pocillopora,50,NA,20200926,27.1535,29.2219,NA,2.0684000000000005,82.71004598292677,timepoint3,NA,NA,NA
POC-375,NA,NA,site3,Pocillopora,15,NA,20200925,14.8123,16.3679,NA,1.5555999999999983,63.526198715761794,timepoint3,NA,NA,NA
POC-377,NA,NA,site3,Pocillopora,14,NA,20200925,11.6312,12.4283,NA,0.7971000000000004,35.150714799723296,timepoint3,NA,NA,NA
POC-391,NA,NA,site3,Pocillopora,25,NA,20200925,12.23,13.2615,NA,1.0314999999999994,43.9196184647456,timepoint3,NA,NA,NA
POC-394,NA,NA,site3,Pocillopora,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
POR-69,NA,NA,site1,Porites,55,between two 50 mL falcon tubes,20200922,15.4827,15.9122,NA,0.4295000000000009,21.398799325055187,timepoint3,NA,NA,NA
POR-70,NA,NA,site1,Porites,60,between two 50 mL falcon tubes,20200922,17.7816,18.2598,NA,0.4781999999999975,23.22066625545859,timepoint3,NA,NA,NA
POR-72,NA,NA,site1,Porites,42.5,NA,20200925,6.8073,7.0931,NA,0.28580000000000005,16.022982530414758,timepoint3,NA,NA,NA
POR-73,NA,NA,site1,Porites,45,NA,20200924,8.5856,8.9085,NA,0.32290000000000063,17.410893477395703,timepoint3,NA,NA,NA
POR-74,NA,NA,site1,Porites,46.5,"aliqout step, spun down twice (3 min x 30 rpm) as it was very dark after first spin",20200924,12.2604,12.5421,NA,0.28169999999999895,15.869601536273965,timepoint3,NA,NA,NA
POR-76,NA,NA,site1,Porites,38,NA,20200925,10.4252,10.6469,NA,0.22170000000000023,13.62500162201915,timepoint3,NA,NA,NA
POR-77,NA,NA,site1,Porites,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
POR-78,NA,NA,site1,Porites,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
POR-80,NA,NA,site1,Porites,50,NA,20200924,20.1271,20.7039,NA,0.5768000000000022,26.909292114550922,timepoint3,NA,NA,NA
POR-81,NA,NA,site1,Porites,43,NA,20200925,8.0871,8.3982,NA,0.3110999999999997,16.969455494258877,timepoint3,NA,NA,NA
POR-83,NA,NA,site1,Porites,41.5,NA,20200925,11.3327,11.746,NA,0.41329999999999956,20.792757348206322,timepoint3,NA,NA,NA
POR-209,NA,NA,site2,Porites,45,NA,20200925,12.7015,12.994,NA,0.2925000000000004,16.273629520839897,timepoint3,NA,NA,NA
POR-214,NA,NA,site2,Porites,50,NA,20200925,8.846,9.1914,NA,0.3453999999999997,18.25261844524124,timepoint3,NA,NA,NA
POR-216,NA,NA,site2,Porites,32.5,NA,20200924,11.4103,11.6888,NA,0.2785000000000011,15.74988954084712,timepoint3,NA,NA,NA
POR-224,NA,NA,site2,Porites,30,NA,20200924,6.1216,6.3044,NA,0.1828000000000003,12.169752677610582,timepoint3,NA,NA,NA
POR-235,NA,NA,site2,Porites,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
POR-236,NA,NA,site2,Porites,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
POR-240,NA,NA,site2,Porites,37,NA,20200925,19.6803,20.3521,NA,0.6718000000000011,30.46324197878775,timepoint3,NA,NA,NA
POR-242,NA,NA,site2,Porites,86.5,between two 50 mL falcon tubes,20200925,28.7915,29.4059,NA,0.6143999999999998,28.315908060817215,timepoint3,NA,NA,NA
POR-245,NA,NA,site2,Porites,45,NA,20200924,11.1895,11.8028,NA,0.6132999999999988,28.274757062389178,timepoint3,NA,NA,NA
POR-251,NA,NA,site2,Porites,67.5,between two 50 mL falcon tubes,20200924,25.9226,26.5549,NA,0.6323000000000008,28.98554703523662,timepoint3,NA,NA,NA
POR-253,NA,NA,site2,Porites,42.5,NA,20200925,9.2972,9.6693,NA,0.37209999999999965,19.251465407084652,timepoint3,NA,NA,NA
POR-260,NA,NA,site2,Porites,32,NA,20200925,10.6553,11.2452,NA,0.5899000000000001,27.399363095829827,timepoint3,NA,NA,NA
POR-262,NA,NA,site2,Porites,35,NA,20200925,4.9544,5.0955,NA,0.14110000000000067,10.609755737203464,timepoint3,NA,NA,NA
POR-266,NA,NA,site2,Porites,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
POR-340,NA,NA,site3,Porites,55,between two 50 mL falcon tubes,20200926,22.7789,23.1874,NA,0.4085000000000001,20.613189355065956,timepoint3,NA,NA,NA
POR-354,NA,NA,site3,Porites,35,NA,20200926,12.6996,12.9945,NA,0.29490000000000016,16.36341351741008,timepoint3,NA,NA,NA
POR-355,NA,NA,site3,Porites,37,NA,20200926,7.4838,7.684,NA,0.2002000000000006,12.820686652744504,timepoint3,NA,NA,NA
POR-381,NA,NA,site3,Porites,40,NA,20200925,20.8042,21.324,NA,0.5198,24.776922196008726,timepoint3,NA,NA,NA
POR-385,NA,NA,site3,Porites,NA,NA,NA,NA,NA,NA,NA,NA,timepoint3,NA,NA,NA
ACR-213,NA,NA,NA,NA,17.5,NA,20200924,1.4136,1.7935,NA,0.3799000000000001,19.543263395937803,timepoint3,NA,NA,NA
ACR-218,NA,NA,NA,NA,15,NA,20200924,2.8573,3.4871,NA,0.6297999999999999,28.8920220388093,timepoint3,NA,NA,NA
ACR-210,NA,NA,NA,NA,14,NA,20200924,1.3859,1.9325,NA,0.5466000000000002,25.779510157709232,timepoint3,NA,NA,NA
ACR-241,NA,NA,NA,NA,17.5,NA,20200925,3.3351,3.7796,NA,0.4444999999999997,21.959949303618856,timepoint3,NA,NA,NA
ACR-220,NA,NA,NA,NA,15,NA,20200925,4.0517,4.8668,NA,0.8150999999999993,35.82409477399972,timepoint3,NA,NA,NA
POR-387,NA,NA,NA,NA,38,NA,20200926,3.4964,3.6749,NA,0.1785000000000001,12.008889683755642,timepoint3,NA,NA,NA
