tube_no,collection_date,collection_site,colony_id,replicate,notes
839,20201031,Hilton,POR-341,Molec.1,
840,20201031,Hilton,,Molec.2,
841,20201031,Hilton,POC-386,Molec.1,
842,20201031,Hilton,,Molec.2,
843,20201031,Hilton,POR-381,Molec.1,
844,20201031,Hilton,,Molec.2,
845,20201031,Hilton,POR-384,Molec.1,
846,20201031,Hilton,,Molec.2,
847,20201031,Hilton,POC-377,Molec.1,
848,20201031,Hilton,,Molec.2,
849,20201031,Hilton,POR-353,Molec.1,
850,20201031,Hilton,,Molec.2,
851,20201031,Hilton,POC-358,Molec.1,
852,20201031,Hilton,,Molec.2,
853,20201031,Hilton,ACR-343,Molec.1,
854,20201031,Hilton,,Molec.2,
855,20201031,Hilton,ACR-393,Molec.1,
856,20201031,Hilton,,Molec.2,
857,20201030,Mahana,,Molec.1,
858,20201030,Mahana,,Molec.2,
859,20201030,Mahana,,Molec.1,
860,20201030,Mahana,,Molec.2,
861,20201030,Mahana,,Molec.1,
862,20201030,Mahana,,Molec.2,
863,20201030,Mahana,,Molec.1,
864,20201030,Mahana,,Molec.2,
865,20201030,Mahana,,Molec.1,
866,20201030,Mahana,,Molec.2,
867,20201030,Mahana,,Molec.1,
868,20201030,Mahana,,Molec.2,
869,20201030,Mahana,,Molec.1,
870,20201030,Mahana,,Molec.2,
871,20201030,Mahana,,Molec.1,
872,20201030,Mahana,,Molec.2,
873,20201030,Mahana,,Molec.1,
874,20201030,Mahana,,Molec.2,
875,20201030,Mahana,,Molec.1,
876,20201030,Mahana,,Molec.2,
877,20201030,Mahana,,Molec.1,
878,20201030,Mahana,,Molec.2,
879,20201030,Mahana,,Molec.1,
880,20201030,Mahana,,Molec.2,
881,20201030,Mahana,,Molec.1,
882,20201030,Mahana,,Molec.2,
883,20201030,Mahana,,Molec.1,
884,20201030,Mahana,,Molec.2,
885,20201030,Mahana,,Molec.1,
886,20201030,Mahana,,Molec.2,
887,20201030,Mahana,,Molec.1,
888,20201030,Mahana,,Molec.2,
889,20201030,Mahana,,Molec.1,
890,20201030,Mahana,,Molec.2,
891,20201030,Mahana,,Molec.1,
892,20201030,Mahana,,Molec.2,
893,20201030,Mahana,,Molec.1,
894,20201030,Mahana,,Molec.2,
895,20201030,Mahana,,Molec.1,
896,20201030,Mahana,,Molec.2,
897,20201030,Mahana,,Molec.1,
898,20201030,Mahana,,Molec.2,
899,20201030,Mahana,,Molec.1,
900,20201030,Mahana,,Molec.2,
901,20201030,Mahana,,Molec.1,
902,20201030,Mahana,,Molec.2,
903,20201030,Mahana,,Molec.1,
904,20201030,Mahana,,Molec.2,
905,20201030,Mahana,,Molec.1,
906,20201030,Mahana,,Molec.2,
907,20201030,Mahana,,Molec.1,
908,20201030,Mahana,,Molec.2,
909,20201030,Mahana,,Molec.1,
910,20201030,Mahana,,Molec.2,
911,20201030,Mahana,,Molec.1,
912,20201030,Mahana,,Molec.2,
913,20201030,Mahana,,Molec.1,
914,20201030,Mahana,,Molec.2,
915,20201030,Mahana,,Molec.1,
916,20201030,Mahana,,Molec.2,
917,20201030,Mahana,,Molec.1,
918,20201030,Mahana,,Molec.2,
919,20201030,Mahana,,Molec.1,
920,20201030,Mahana,,Molec.2,
921,20201030,Mahana,,Molec.1,
922,20201030,Mahana,,Molec.2,
923,20201030,Mahana,,Molec.1,
924,20201030,Mahana,,Molec.2,
925,20201030,Mahana,,Molec.1,
926,20201030,Mahana,,Molec.2,
927,20201030,Mahana,,Molec.1,
928,20201030,Mahana,,Molec.2,
929,20201030,Mahana,,Molec.1,
930,20201030,Mahana,,Molec.2,
931,20201030,Mahana,,Molec.1,
932,20201030,Mahana,,Molec.2,
933,20201030,Mahana,,Molec.1,
934,20201030,Mahana,,Molec.2,
935,20201030,Mahana,,Molec.1,
936,20201030,Mahana,,Molec.2,
937,20201030,Mahana,,Molec.1,
938,20201030,Mahana,,Molec.2,
