colony_id,site,species,cells.cm2,timepoint
POC-201,site2,Pocillopora,370152.95410686923,timepoint1
POC-205,site2,Pocillopora,351992.4632875463,timepoint1
POC-207,site2,Pocillopora,273769.38850286655,timepoint1
POC-217,site2,Pocillopora,364163.42095250677,timepoint1
POC-219,site2,Pocillopora,400811.7019779676,timepoint1
POC-222,site2,Pocillopora,322011.22640090593,timepoint1
POC-238,site2,Pocillopora,242949.15435053775,timepoint1
POC-239,site2,Pocillopora,141476.94161140436,timepoint1
POC-248,site2,Pocillopora,140588.56890934976,timepoint1
POC-255,site2,Pocillopora,232894.19858453327,timepoint1
POC-259,site2,Pocillopora,236704.6317803781,timepoint1
POC-346,site3,Pocillopora,257704.13833618848,timepoint1
POC-358,site3,Pocillopora,229429.97788471702,timepoint1
POC-359,site3,Pocillopora,244520.65579294937,timepoint1
POC-369,site3,Pocillopora,202908.00607673536,timepoint1
POC-371,site3,Pocillopora,231360.4982007231,timepoint1
POC-372,site3,Pocillopora,192237.51064981407,timepoint1
POC-373,site3,Pocillopora,229626.69316704708,timepoint1
POC-375,site3,Pocillopora,403072.2027255917,timepoint1
POC-377,site3,Pocillopora,261259.38250846864,timepoint1
POC-378,site3,Pocillopora,418200.1089134033,timepoint1
POC-386,site3,Pocillopora,230297.05444886352,timepoint1
POC-391,site3,Pocillopora,223085.1922374782,timepoint1
POC-394,site3,Pocillopora,545419.1672053711,timepoint1
POC-395,site3,Pocillopora,199167.58416143013,timepoint1
POC-40,site1,Pocillopora,343829.31042653194,timepoint1
POC-41,site1,Pocillopora,288267.09291181073,timepoint1
POC-42,site1,Pocillopora,423033.9558696572,timepoint1
POC-43,site1,Pocillopora,475941.2613624341,timepoint1
POC-44,site1,Pocillopora,287664.6175363436,timepoint1
POC-45,site1,Pocillopora,331711.4139688682,timepoint1
POC-47,site1,Pocillopora,315411.6898268928,timepoint1
POC-48,site1,Pocillopora,518448.7300484552,timepoint1
POC-50,site1,Pocillopora,304938.6757499174,timepoint1
POC-52,site1,Pocillopora,416507.5765090588,timepoint1
POC-53,site1,Pocillopora,364427.5294127631,timepoint1
POC-55,site1,Pocillopora,84590.27565204786,timepoint1
POC-56,site1,Pocillopora,688705.5046013959,timepoint1
POC-57,site1,Pocillopora,351350.4622479946,timepoint1
POC-68,site1,Pocillopora,441195.26027951954,timepoint1
POR-209,site2,Porites,980466.0618837009,timepoint1
POR-214,site2,Porites,909444.0334516967,timepoint1
POR-216,site2,Porites,1425468.4826773948,timepoint1
POR-221,site2,Porites,978107.0212540987,timepoint1
POR-224,site2,Porites,558339.6473984274,timepoint1
POR-235,site2,Porites,1989735.791599721,timepoint1
POR-236,site2,Porites,1110328.247766779,timepoint1
POR-240,site2,Porites,1532577.0136576723,timepoint1
POR-242,site2,Porites,1437635.3654177678,timepoint1
POR-245,site2,Porites,1075761.8462109955,timepoint1
POR-251,site2,Porites,1150712.6660976845,timepoint1
POR-253,site2,Porites,1015544.1966559733,timepoint1
POR-260,site2,Porites,1281106.3563788824,timepoint1
POR-262,site2,Porites,1563741.142952379,timepoint1
POR-266,site2,Porites,205864.7782999176,timepoint1
POR-338,site3,Porites,1972223.6791330907,timepoint1
POR-340,site3,Porites,2941890.770322489,timepoint1
POR-341,site3,Porites,3746478.6625706614,timepoint1
POR-349,site3,Porites,1878993.1165243178,timepoint1
POR-353,site3,Porites,1171346.4863185643,timepoint1
POR-354,site3,Porites,1073108.0160855597,timepoint1
POR-355,site3,Porites,1725356.4047697966,timepoint1
POR-357,site3,Porites,2493936.452883532,timepoint1
POR-362,site3,Porites,2230955.7154779425,timepoint1
POR-365,site3,Porites,1970573.1117997172,timepoint1
POR-367,site3,Porites,2128987.8488317193,timepoint1
POR-381,site3,Porites,512818.82142429124,timepoint1
POR-383,site3,Porites,2526386.2571233944,timepoint1
POR-384,site3,Porites,1801262.73921452,timepoint1
POR-385,site3,Porites,1828867.7316290515,timepoint1
POR-69,site1,Porites,2340741.4902465595,timepoint1
POR-70,site1,Porites,2355251.2404982783,timepoint1
POR-71,site1,Porites,1647266.2402892495,timepoint1
POR-72,site1,Porites,1684093.7878867511,timepoint1
POR-73,site1,Porites,1810588.4885171668,timepoint1
POR-74,site1,Porites,1941937.9579168332,timepoint1
POR-75,site1,Porites,2306764.3507690337,timepoint1
POR-76,site1,Porites,1661936.6157731963,timepoint1
POR-77,site1,Porites,2841491.0795795503,timepoint1
POR-78,site1,Porites,2278275.5705789905,timepoint1
POR-79,site1,Porites,2201216.563206971,timepoint1
POR-80,site1,Porites,3603502.2002945514,timepoint1
POR-81,site1,Porites,2308746.6548249787,timepoint1
POR-82,site1,Porites,2051454.5902548493,timepoint1
POR-83,site1,Porites,3930604.5597874834,timepoint1
ACR-178,site1,Acropora,NA,timepoint1
ACR-267,site2,Acropora,NA,timepoint1
ACR-370,site3,Acropora,NA,timepoint1
ACR-376,site3,Acropora,NA,timepoint1
ACR-360,site3,Acropora,NA,timepoint1
ACR-347,site3,Acropora,NA,timepoint1
POC-215,site2,Pocillopora,NA,timepoint1
POC-232,site2,Pocillopora,NA,timepoint1
POC-254,site2,Pocillopora,NA,timepoint1
POC-257,site2,Pocillopora,NA,timepoint1
POC-366,site3,Pocillopora,NA,timepoint1
test_1,NA,NA,NA,timepoint1
ACR-224,NA,NA,NA,timepoint1
ACR-TEST,NA,NA,NA,timepoint1
