"","Date","Run.Number","Start.Time","Stop.Time","Chamber","Channel","Position","Species","colony_id","Plug.ID","Site","Vol.L","pH.mV","Temp.C","Salinity.chamber","TA.Start.Time","TA.Stop.Time","Notes","titration.run","TA","Mass","Salinity.lab","sample.type","surface.area.cm2","corrected_salinity","Ta.norm","Ta.norm_initial_avg","delta.TA.blank","start.time","stop.time","deltaTA","timediff","umol.cm2.hr","timepoint"
"13","20200104","2","19:19","20:19","10","10","12","Acropora","ACR-244","ACR-244","2",0.605,NA,28.47,36.81,"19:19","20:37","","data/1_calcification/raw_files/TA_Output_20220317_Run1_PutnamLab.csv",2312.643057,59.306,37.53,"Sample",13.3255224025003,37.53,2410.9303869225,2504.90849767173,46.3013365914499,2022-04-04 19:19:00,2022-04-04 20:37:00,47.6767741577773,78,0.0141947918777491,"timepoint1"
"14","20200104","2","19:19","20:19","4","4","7","Pocillopora","POC-248","POC-248","2",0.615,NA,28.44,36.69,"19:14","20:29","","data/1_calcification/raw_files/TA_Output_20220318_Run2_PutnamLab.csv",2125.468034,29.433,35.4,"Sample",18.8835752110587,35.4,2090.04356676667,2504.90849767173,46.3013365914499,2022-04-04 19:14:00,2022-04-04 20:29:00,368.563594313611,75,0.081863008797417,"timepoint1"
"15","20200104","2","19:19","20:19","9","9","1","Pocillopora","POC-201","POC-201","2",0.605,NA,28.71,36.63,"19:06","20:27","","data/1_calcification/raw_files/TA_Output_20220314_Run1_PutnamTitrations_PutnamLab.csv",2333.90784638669,59.729,41.52,"Sample",48.410730756525,38.05,2691.77371616598,2504.90849767173,46.3013365914499,2022-04-04 19:06:00,2022-04-04 20:27:00,-233.166555085705,81,0,"timepoint1"
"16","20200104","2","19:19","20:19","5","5","4","Porites","POR-236","POR-236","2",0.615,NA,28.56,36.7,"19:18","20:22","","data/1_calcification/raw_files/TA_Output_20220317_Run1_PutnamLab.csv",2304.69755,59.684,36.82,"Sample",12.9781441019654,36.82,2357.19343863889,2504.90849767173,46.3013365914499,2022-04-04 19:18:00,2022-04-04 20:22:00,101.413722441389,64,0.0384082846708109,"timepoint1"
"17","20200104","2","19:19","20:19","2","2","3","Porites","POR-235","POR-235","2",0.61,NA,28.7,36.83,"19:15","20:24","","data/1_calcification/raw_files/TA_Output_20220317_Run1_PutnamLab.csv",2330.783347,60.356,37.65,"Sample",23.7468714185473,37.65,2437.61091707083,2504.90849767173,46.3013365914499,2022-04-04 19:15:00,2022-04-04 20:24:00,20.9962440094446,69,0.0039981731006628,"timepoint1"
"18","20200104","2","19:19","20:19","7","7","9","Pocillopora","POC-255","POC-255","2",0.615,NA,28.47,36.63,"19:18","20:31","","data/1_calcification/raw_files/TA_Output_20220314_Run1_PutnamTitrations_PutnamLab.csv",2292.36052589222,59.436,38.42,"Sample",56.4004316688276,38.42,2446.4580945772,2504.90849767173,46.3013365914499,2022-04-04 19:18:00,2022-04-04 20:31:00,12.1490665030806,73,0.000928235930276076,"timepoint1"
"19","20200104","2","19:19","20:19","6","6","6","Acropora","ACR-228","ACR-228","2",0.61,NA,28.35,36.61,"19:07","20:19","","data/1_calcification/raw_files/TA_Output_20220310_Run2_PutnamTitrations_PutnamLab.csv",2345.611686,60.255,41.27,"Sample",23.0521148174774,37.61,2688.98317447833,2504.90849767173,46.3013365914499,2022-04-04 19:07:00,2022-04-04 20:19:00,-230.376013398056,72,0,"timepoint1"
"21","20200105","3","11:51","13:23","1","1","12","Porites","POR-266","POR-266","2",0.595,NA,28.38,36.75,"11:46","13:34","","data/1_calcification/raw_files/TA_Output_20220318_Run1_PutnamLab.csv",2241.962634,60.063,37.21,"Sample",22.3573582164076,37.21,2317.31748919833,2430.89248863303,-338.784580546457,2022-04-04 11:46:00,2022-04-04 13:34:00,452.359579981149,108,0.0570167101710355,"timepoint1"
"22","20200105","3","11:51","13:23","2","2","10","Acropora","ACR-234","ACR-234","2",0.615,NA,28.26,36.65,"11:51","13:38","","data/1_calcification/raw_files/TA_Output_20220314_Run1_PutnamTitrations_PutnamLab.csv",2272.03282993556,59.905,40.82,"Sample",25.8311412217566,37.07,2576.23278105471,2430.89248863303,-338.784580546457,2022-04-04 11:51:00,2022-04-04 13:38:00,193.444288124772,107,0.0220165513798032,"timepoint1"
"23","20200105","3","11:51","13:23","3","3","6","Acropora","ACR-258","ACR-258","2",0.595,NA,28.3,36.86,"11:38","13:24","","data/1_calcification/raw_files/TA_Output_20220318_Run1_PutnamLab.csv",2329.424484,60.03,37.33,"Sample",16.1045488067795,37.33,2415.48377743667,2430.89248863303,-338.784580546457,2022-04-04 11:38:00,2022-04-04 13:24:00,354.193291742816,106,0.0631463871888777,"timepoint1"
"24","20200105","3","11:51","13:23","4","4","3","Pocillopora","POC-259","POC-259","2",0.58,NA,28.56,36.62,"11:40","13:32","","data/1_calcification/raw_files/TA_Output_20220318_Run1_PutnamLab.csv",2274.748854,60.668,37.14,"Sample",99.8227192356897,37.14,2346.78256771,2430.89248863303,-338.784580546457,2022-04-04 11:40:00,2022-04-04 13:32:00,422.894501469482,112,0.0112216895891213,"timepoint1"
"25","20200105","3","11:51","13:23","5","5","7","Porites","POR-209","POR-209","2",0.61,NA,28.3,36.64,"11:49","13:41","","data/1_calcification/raw_files/TA_Output_20220314_Run2_PutnamTitrations_PutnamLab.csv",2259.747077,60.426,40.63,"Sample",11.2412525992909,38.08,2550.37565940306,2430.89248863303,-338.784580546457,2022-04-04 11:49:00,2022-04-04 13:41:00,219.301409776427,112,0.0543480751295044,"timepoint1"
"26","20200105","3","11:51","13:23","6","6","9","Acropora","ACR-229","ACR-229","2",0.61,NA,28.28,36.83,"11:49","13:36","","data/1_calcification/raw_files/TA_Output_20220314_Run1_PutnamTitrations_PutnamLab.csv",2257.2695720331,59.706,41.24,"Sample",19.5783318121284,37.97,2585.82769862903,2430.89248863303,-338.784580546457,2022-04-04 11:49:00,2022-04-04 13:36:00,183.849370550453,107,0.0273828191454116,"timepoint1"
"27","20200105","3","11:51","13:23","7","7","1","Porites","POR-245","POR-245","2",0.615,NA,28.43,36.92,"11:43","13:29","","data/1_calcification/raw_files/TA_Output_20220318_Run1_PutnamLab.csv",2297.855239,59.366,37.18,"Sample",17.4940620089191,37.18,2373.17382738944,2430.89248863303,-338.784580546457,2022-04-04 11:43:00,2022-04-04 13:29:00,396.503241790038,106,0.0672621847260449,"timepoint1"
"28","20200105","3","11:51","13:23","8","8","4","Pocillopora","POC-238","POC-238","2",0.61,NA,28.38,36.95,"11:44","13:27","","data/1_calcification/raw_files/TA_Output_20220314_Run1_PutnamTitrations_PutnamLab.csv",2333.0991938732,60.404,40.61,"Sample",26.5258978228264,36.97,2631.86550731085,2430.89248863303,-338.784580546457,2022-04-04 11:44:00,2022-04-04 13:27:00,137.811561868631,103,0.0157381547280954,"timepoint1"
"29","20200105","3","11:51","13:23","9","9","8","Pocillopora","POC-217","POC-217","2",0.605,NA,28.37,36.65,"11:47","13:40","","data/1_calcification/raw_files/TA_Output_20220317_Run2_PutnamLab.csv",2328.82374922732,60.027,37.89,"Sample",36.5998685383384,37.89,2451.08699606175,2430.89248863303,-338.784580546457,2022-04-04 11:47:00,2022-04-04 13:40:00,318.590073117728,113,0.0238383001290625,"timepoint1"
"31","20200105","4","17:03","18:33","1","1","9","Porites","POR-253","POR-253","2",0.595,NA,28.23,36.78,"17:00","18:48","","data/1_calcification/raw_files/TA_Output_20220318_Run1_PutnamLab.csv",2200.019883,60.611,37.16,"Sample",27.4360289702278,37.16,2270.90941256333,2696.58703566819,-38.170873303754,2022-04-04 17:00:00,2022-04-04 18:48:00,463.848496408616,108,0.0476424129001201,"timepoint1"
"32","20200105","4","17:03","18:33","2","2","1","Pocillopora","POC-200","POC-200","2",0.61,NA,28.44,37.15,"16:54","18:42","","data/1_calcification/raw_files/TA_Output_20220314_Run2_PutnamTitrations_PutnamLab.csv",2332.138549,60.718,41.42,"Sample",44.8639983080637,38.33,2683.25496387722,2696.58703566819,-38.170873303754,2022-04-04 16:54:00,2022-04-04 18:42:00,51.5029450947263,108,0.00331654432568228,"timepoint1"
"33","20200105","4","17:03","18:33","3","3","4","Acropora","ACR-231","ACR-231","2",0.605,NA,28.9,36.95,"16:56","18:35","","data/1_calcification/raw_files/TA_Output_20220317_Run2_PutnamLab.csv",2302.29987924086,60.24,37.97,"Sample",22.2809349902899,37.97,2428.28684485487,2696.58703566819,-38.170873303754,2022-04-04 16:56:00,2022-04-04 18:35:00,306.471064117075,99,0.0429953890326765,"timepoint1"
"34","20200105","4","17:03","18:33","4","4","6","Porites","POR-240","POR-240","2",0.6,NA,28.71,37.31,"16:47","18:33","","data/1_calcification/raw_files/TA_Output_20220317_Run2_PutnamLab.csv",2320.5665972377,60.421,37.97,"Sample",12.3702320760293,37.97,2447.55315825321,2696.58703566819,-38.170873303754,2022-04-04 16:47:00,2022-04-04 18:33:00,287.204750718741,106,0.0672209731057106,"timepoint1"
"35","20200105","4","17:03","18:33","5","5","7","Porites","POR-224","POR-224","2",0.605,NA,28.07,36.71,"16:59","18:50","","data/1_calcification/raw_files/TA_Output_20220317_Run4_PutnamLab.csv",2320.6102,60.135,37.93,"Sample",12.3007564159223,37.93,2445.02069127778,2696.58703566819,-38.170873303754,2022-04-04 16:59:00,2022-04-04 18:50:00,289.737217694171,111,0.0656675027164283,"timepoint1"
"36","20200105","4","17:03","18:33","6","6","2","Pocillopora","POC-205","POC-205","2",0.605,NA,28.81,36.81,"16:50","18:38","","data/1_calcification/raw_files/TA_Output_20220314_Run2_PutnamTitrations_PutnamLab.csv",2338.229945,59.888,41.54,"Sample",27.2936038670086,38.28,2698.05755320278,2696.58703566819,-38.170873303754,2022-04-04 16:50:00,2022-04-04 18:38:00,36.7003557691705,108,0.00385289033174811,"timepoint1"
"37","20200105","4","17:03","18:33","7","7","10","Acropora","ACR-246","ACR-246","2",0.61,NA,28.16,36.74,"17:01","18:46","","data/1_calcification/raw_files/TA_Output_20220314_Run2_PutnamTitrations_PutnamLab.csv",2265.143517,60.031,41.17,"Sample",41.8279119613886,38.05,2590.4432943025,2696.58703566819,-38.170873303754,2022-04-04 17:01:00,2022-04-04 18:46:00,144.314614669448,105,0.0102525123910773,"timepoint1"
"38","20200105","4","17:03","18:33","8","8","3","Acropora","ACR-265","ACR-265","2",0.61,NA,28.8,36.78,"16:48","18:37","","data/1_calcification/raw_files/TA_Output_20220317_Run4_PutnamLab.csv",2328.933552,60.273,37.7,"Sample",32.8933420716311,37.7,2438.91096973333,2696.58703566819,-38.170873303754,2022-04-04 16:48:00,2022-04-04 18:37:00,295.846939238615,109,0.0257458985835671,"timepoint1"
"39","20200105","4","17:03","18:33","9","9","12","Pocillopora","POC-207","POC-207","2",0.61,NA,28.15,36.84,"16:57","18:44","","data/1_calcification/raw_files/TA_Output_20220318_Run1_PutnamLab.csv",2330.155288,59.83,37.17,"Sample",34.2099058306584,37.17,2405.88533486,2696.58703566819,-38.170873303754,2022-04-04 16:57:00,2022-04-04 18:44:00,328.872574111948,107,0.0280328642698974,"timepoint1"
"41","20200106","5","12:56","14:39","2","2","3","Porites","POR-216","POR-261","2",0.605,NA,27.38,37.08,"12:48","14:39","","data/1_calcification/raw_files/TA_Output_20220318_Run2_PutnamLab.csv",2338.401988,59.738,37.61,"Sample",9.37235734241314,37.61,2442.98052135222,2306.79061667222,-145.71598082,2022-04-04 12:48:00,2022-04-04 14:39:00,9.52607613999999,111,0.00283363066438219,"timepoint1"
"42","20200106","5","12:56","14:39","3","3","8","Acropora","ACR-237","ACR-237","2",0.615,NA,27.77,36.89,"12:51","14:50","","data/1_calcification/raw_files/TA_Output_20220317_Run2_PutnamLab.csv",2301.59754402019,60.308,37.95,"Sample",21.106796334482,37.95,2426.26741098795,2306.79061667222,-145.71598082,2022-04-04 12:51:00,2022-04-04 14:50:00,26.2391865042719,119,0.00328625938467334,"timepoint1"
"44","20200106","5","12:56","14:39","6","6","11","Pocillopora","POC-222","POC-222","2",0.6,NA,27.71,36.97,"12:52","14:52","","data/1_calcification/raw_files/TA_Output_20220314_Run2_PutnamTitrations_PutnamLab.csv",2319.272025,60.956,41.33,"Sample",43.5543821150471,38.35,2662.65313314583,2306.79061667222,-145.71598082,2022-04-04 12:52:00,2022-04-04 14:52:00,-210.146535653611,120,0,"timepoint1"
"45","20200106","5","12:56","14:39","8","8","2","Porites","POR-260","POR-260","2",0.59,NA,27.65,36.55,"12:49","14:42","","data/1_calcification/raw_files/TA_Output_20220314_Run3_PutnamTitrations_PutnamLab.csv",2176.26568464632,60.658,41.55,"Sample",35.6966849569476,38.28,2511.77331102929,2306.79061667222,-145.71598082,2022-04-04 12:49:00,2022-04-04 14:42:00,-59.2667135370721,113,0,"timepoint1"
"46","20200106","5","12:56","14:39","9","9","5","Acropora","ACR-225","ACR-225","2",0.605,NA,27.62,37.4,"12:50","14:44","","data/1_calcification/raw_files/TA_Output_20220317_Run2_PutnamLab.csv",2295.83705668512,59.846,37.9,"Sample",21.992611000846,37.9,2417.00623467683,2306.79061667222,-145.71598082,2022-04-04 12:50:00,2022-04-04 14:44:00,35.5003628153877,114,0.00438179605817491,"timepoint1"
"47","20200106","5","12:56","14:39","10","10","10","Porites","POR-251","POR-251","2",0.595,NA,27.31,36.69,"12:52","14:54","","data/1_calcification/raw_files/TA_Output_20220318_Run1_PutnamLab.csv",2245.506424,60.02,37.14,"Sample",17.3134252926408,37.14,2316.61412742667,2306.79061667222,-145.71598082,2022-04-04 12:52:00,2022-04-04 14:54:00,135.892470065555,122,0.0195801118571346,"timepoint1"
"48","20200106","6","18:53","20:23","1","1","10","Pocillopora","POC-377","POC-377","3",0.6,NA,28.95,36.58,"18:52","18:37","","data/1_calcification/raw_files/TA_Output_20220317_Run4_PutnamLab.csv",2280.257358,59.803,37.65,"Sample",68.3502452072282,37.65,2384.769153575,2458.38093349722,-3.67309951218567,2022-04-04 18:52:00,2022-04-04 18:37:00,77.2848794344077,-15,0,"timepoint1"
"50","20200106","6","18:53","20:23","3","3","9","Acropora","ACR-389","ACR-389","3",0.605,NA,29,36.7,"18:46","18:38","","data/1_calcification/raw_files/TA_Output_20220318_Run2_PutnamLab.csv",2332.098326,59.824,38.77,"Sample",24.0386691909965,38.77,2511.54033608389,2458.38093349722,-3.67309951218567,2022-04-04 18:46:00,2022-04-04 18:38:00,-49.4863030744809,-8,0.0796316318095454,"timepoint1"
"51","20200106","6","18:53","20:23","4","4","8","Porites","POR-353","POR-353","3",0.58,NA,29.04,36.63,"18:49","18:41","","data/1_calcification/raw_files/TA_Output_20220317_Run2_PutnamLab.csv",2248.87861704347,59.829,37.96,"Sample",32.0075274052671,37.96,2371.31756397139,2458.38093349722,-3.67309951218567,2022-04-04 18:49:00,2022-04-04 18:41:00,90.7364690380155,-8,0,"timepoint1"
"52","20200106","6","18:53","20:23","5","5","7","Pocillopora","POC-371","POC-371","3",0.58,NA,28.94,36.71,"18:49","18:40","","data/1_calcification/raw_files/TA_Output_20220314_Run2_PutnamTitrations_PutnamLab.csv",2329.363855,60.349,41.2,"Sample",38.7015072565746,38.04,2665.82752294444,2458.38093349722,-3.67309951218567,2022-04-04 18:49:00,2022-04-04 18:40:00,-203.773489935037,-9,0.173560513514217,"timepoint1"
"53","20200106","6","18:53","20:23","6","6","1","Acropora","ACR-393","ACR-393","3",0.6,NA,28.05,36.63,"18:41","18:34","","data/1_calcification/raw_files/TA_Output_20220314_Run3_PutnamTitrations_PutnamLab.csv",2333.50884164411,60.059,41.41,"Sample",29.09997102979,38.14,2684.18336479118,2458.38093349722,-3.67309951218567,2022-04-04 18:41:00,2022-04-04 18:34:00,-222.129331781775,-7,0.334666469275071,"timepoint1"
"54","20200106","6","18:53","20:23","7","7","3","Acropora","ACR-350","ACR-350","3",0.61,NA,28.16,36.65,"18:38","18:31","","data/1_calcification/raw_files/TA_Output_20220317_Run2_PutnamLab.csv",2324.14254853023,59.888,37.91,"Sample",47.4137550339898,37.91,2447.45122263281,2458.38093349722,-3.67309951218567,2022-04-04 18:38:00,2022-04-04 18:31:00,14.6028103766016,-7,0,"timepoint1"
"55","20200106","6","18:53","20:23","8","8","2","Porites","POR-362","POR-362","3",0.595,NA,28.13,36.7,"18:40","18:33","","data/1_calcification/raw_files/TA_Output_20220317_Run4_PutnamLab.csv",2274.036355,60.256,37.94,"Sample",29.020074020667,37.94,2396.58164746389,2458.38093349722,-3.67309951218567,2022-04-04 18:40:00,2022-04-04 18:33:00,65.4723855455186,-7,0,"timepoint1"
"56","20200106","6","18:53","20:23","9","9","6","Pocillopora","POC-395","POC-395","3",0.605,NA,28.12,36.72,"18:37","18:29","","data/1_calcification/raw_files/TA_Output_20220314_Run3_PutnamTitrations_PutnamLab.csv",2308.5474360174,59.312,41.63,"Sample",38.368024088061,38.26,2669.57860448345,2458.38093349722,-3.67309951218567,2022-04-04 18:37:00,2022-04-04 18:29:00,-207.524571474047,-8,0.209223815284096,"timepoint1"
"57","20200106","6","18:53","20:23","10","10","12","Porites","POR-355","POR-355","3",0.59,NA,29.01,36.74,"18:43","18:35","","data/1_calcification/raw_files/TA_Output_20220317_Run3_PutnamLab.csv",2292.798057,60.093,37.96,"Sample",23.7677141165794,37.96,2417.62817343667,2458.38093349722,-3.67309951218567,2022-04-04 18:43:00,2022-04-04 18:35:00,44.425859572741,-8,0,"timepoint1"
"58","20200107","7","12:31","14:02","1","1","1","Pocillopora","POC-378","POC-378","3",0.585,NA,28.35,36.64,"12:27","14:09","","data/1_calcification/raw_files/TA_Output_20220314_Run3_PutnamTitrations_PutnamLab.csv",2300.71111785991,60.28,41.55,"Sample",56.4004316688276,38.02,2655.40408186331,2484.36644415431,26.9212446137494,2022-04-04 12:27:00,2022-04-04 14:09:00,-197.958882322757,102,0,"timepoint1"
"59","20200107","7","12:31","14:02","2","2","3","Porites","POR-384","POR-384","3",0.595,NA,28.5,36.65,"12:25","14:05","","data/1_calcification/raw_files/TA_Output_20220317_Run3_PutnamLab.csv",2246.519288,60.055,37.96,"Sample",19.2309535115935,37.96,2368.82978256889,2484.36644415431,26.9212446137494,2022-04-04 12:25:00,2022-04-04 14:05:00,88.6154169716669,100,0.0140239731344786,"timepoint1"
"60","20200107","7","12:31","14:02","3","3","2","Porites","POR-383","POR-383","3",0.605,NA,28.31,36.63,"12:25","14:07","","data/1_calcification/raw_files/TA_Output_20220314_Run3_PutnamTitrations_PutnamLab.csv",2287.3523756211,60.604,41.3,"Sample",13.3255224025003,38.13,2624.10147536532,2484.36644415431,26.9212446137494,2022-04-04 12:25:00,2022-04-04 14:07:00,-166.656275824761,102,0,"timepoint1"
"62","20200107","7","12:31","14:02","5","5","10","Pocillopora","POC-369","POC-369","3",0.6,NA,28.09,36.65,"12:28","14:12","","data/1_calcification/raw_files/TA_Output_20220317_Run4_PutnamLab.csv",2322.275354,60.072,37.56,"Sample",58.8320797725719,37.56,2422.90728600667,2484.36644415431,26.9212446137494,2022-04-04 12:28:00,2022-04-04 14:12:00,34.537913533889,104,0.0017323891123892,"timepoint1"
"63","20200107","7","12:31","14:02","6","6","6","Acropora","ACR-379","ACR-379","3",0.6,NA,28.28,36.88,"12:26","14:03","","data/1_calcification/raw_files/TA_Output_20220314_Run3_PutnamTitrations_PutnamLab.csv",2330.53560945097,59.726,41.62,"Sample",39.0315166420827,37.79,2694.35811292637,2484.36644415431,26.9212446137494,2022-04-04 12:26:00,2022-04-04 14:03:00,-236.912913385816,97,0,"timepoint1"
"64","20200107","7","12:31","14:02","7","7","8","Pocillopora","POC-358","POC-358","3",0.605,NA,27.94,36.66,"12:28","14:15","","data/1_calcification/raw_files/TA_Output_20220314_Run3_PutnamTitrations_PutnamLab.csv",2320.07917022713,60.561,41.55,"Sample",39.0315166420827,37.76,2677.75804230381,2484.36644415431,26.9212446137494,2022-04-04 12:28:00,2022-04-04 14:15:00,-220.312842763256,107,0,"timepoint1"
"65","20200107","7","12:31","14:02","8","8","12","Acropora","ACR-343","ACR-343","3",0.595,NA,28.06,36.65,"12:27","14:10","","data/1_calcification/raw_files/TA_Output_20220317_Run3_PutnamLab.csv",2309.900343,60.242,38,"Sample",29.6523025276405,38,2438.22813983333,2484.36644415431,26.9212446137494,2022-04-04 12:27:00,2022-04-04 14:10:00,19.2170597072227,103,0.00191493437922809,"timepoint1"
"66","20200107","7","12:31","14:02","9","9","9","Acropora","ACR-345","ACR-345","3",0.605,NA,28.01,36.69,"12:27","14:13","","data/1_calcification/raw_files/TA_Output_20220317_Run4_PutnamLab.csv",2329.659712,60.455,37.89,"Sample",20.2730884131982,37.89,2451.96684688,2484.36644415431,26.9212446137494,2022-04-04 12:27:00,2022-04-04 14:13:00,5.47835266055563,106,0.00078890592701423,"timepoint1"
"67","20200107","7","12:31","14:02","10","10","7","Porites","POR-340","POR-340","3",0.59,NA,28.11,36.63,"12:28","14:16","","data/1_calcification/raw_files/TA_Output_20220317_Run3_PutnamLab.csv",2298.745564,59.68,37.98,"Sample",12.6307658014305,37.98,2425.17657002,2484.36644415431,26.9212446137494,2022-04-04 12:28:00,2022-04-04 14:16:00,32.2686295205563,108,0.00713879206985552,"timepoint1"
"68","20200107","8","17:24","18:58","1","1","10","Pocillopora","POC-373","POC-373","3",0.59,NA,28.17,36.68,"17:16","19:10","","data/1_calcification/raw_files/TA_Output_20220309_Run2_PutnamTitrations_PutnamLab.csv",2274.754219,60.144,40.72,"Sample",50.4950005597344,37.89,2572.99977215778,2670.05308167806,-77.9459791378299,2022-04-04 17:16:00,2022-04-04 19:10:00,174.999288658108,114,0.00917446398935922,"timepoint1"
"69","20200107","8","17:24","18:58","2","2","12","Porites","POR-381","POR-381","3",0.6,NA,28.15,36.67,"17:14","19:06","","data/1_calcification/raw_files/TA_Output_20220309_Run2_PutnamTitrations_PutnamLab.csv",2306.574425,59.691,40.99,"Sample",16.7993054078493,38.1,2626.29126890972,2670.05308167806,-77.9459791378299,2022-04-04 17:14:00,2022-04-04 19:06:00,121.707791906163,112,0.0198520757412585,"timepoint1"
"70","20200107","8","17:24","18:58","3","3","1","Acropora","ACR-363","ACR-363","3",0.61,NA,28.44,36.65,"17:12","19:05","","data/1_calcification/raw_files/TA_Output_20220309_Run2_PutnamTitrations_PutnamLab.csv",2326.213485,59.786,40.96,"Sample",31.389194030315,38.25,2646.7140096,2670.05308167806,-77.9459791378299,2022-04-04 17:12:00,2022-04-04 19:05:00,101.285051215885,113,0.0089096822731566,"timepoint1"
