"Plot Title: Site1_Mahana"
"#","Date Time, GMT-10:00","Temp, °F (LGR S/N: 20444035, SEN S/N: 20444035)","Coupler Detached (LGR S/N: 20444035)","Coupler Attached (LGR S/N: 20444035)","Host Connected (LGR S/N: 20444035)","Stopped (LGR S/N: 20444035)","End Of File (LGR S/N: 20444035)"
282,01/12/20 05:20:00  PM,83.422,,,,,
283,01/12/20 05:30:00  PM,83.422,,,,,
284,01/12/20 05:40:00  PM,83.377,,,,,
285,01/12/20 05:50:00  PM,83.377,,,,,
286,01/12/20 06:00:00  PM,83.377,,,,,
287,01/12/20 06:10:00  PM,83.332,,,,,
288,01/12/20 06:20:00  PM,83.332,,,,,
289,01/12/20 06:30:00  PM,83.287,,,,,
290,01/12/20 06:40:00  PM,83.242,,,,,
291,01/12/20 06:50:00  PM,83.154,,,,,
292,01/12/20 07:00:00  PM,83.109,,,,,
293,01/12/20 07:10:00  PM,83.109,,,,,
294,01/12/20 07:20:00  PM,83.154,,,,,
295,01/12/20 07:30:00  PM,83.109,,,,,
296,01/12/20 07:40:00  PM,83.109,,,,,
297,01/12/20 07:50:00  PM,83.064,,,,,
298,01/12/20 08:00:00  PM,83.064,,,,,
299,01/12/20 08:10:00  PM,83.021,,,,,
300,01/12/20 08:20:00  PM,83.021,,,,,
301,01/12/20 08:30:00  PM,82.976,,,,,
302,01/12/20 08:40:00  PM,82.931,,,,,
303,01/12/20 08:50:00  PM,82.886,,,,,
304,01/12/20 09:00:00  PM,82.841,,,,,
305,01/12/20 09:10:00  PM,82.841,,,,,
306,01/12/20 09:20:00  PM,82.798,,,,,
307,01/12/20 09:30:00  PM,82.753,,,,,
308,01/12/20 09:40:00  PM,82.753,,,,,
309,01/12/20 09:50:00  PM,82.753,,,,,
310,01/12/20 10:00:00  PM,82.753,,,,,
311,01/12/20 10:10:00  PM,82.708,,,,,
312,01/12/20 10:20:00  PM,82.708,,,,,
313,01/12/20 10:30:00  PM,82.665,,,,,
314,01/12/20 10:40:00  PM,82.665,,,,,
315,01/12/20 10:50:00  PM,82.620,,,,,
316,01/12/20 11:00:00  PM,82.620,,,,,
317,01/12/20 11:10:00  PM,82.575,,,,,
318,01/12/20 11:20:00  PM,82.530,,,,,
319,01/12/20 11:30:00  PM,82.486,,,,,
320,01/12/20 11:40:00  PM,82.486,,,,,
321,01/12/20 11:50:00  PM,82.441,,,,,
322,01/13/20 12:00:00  AM,82.441,,,,,
323,01/13/20 12:10:00  AM,82.441,,,,,
324,01/13/20 12:20:00  AM,82.441,,,,,
325,01/13/20 12:30:00  AM,82.441,,,,,
326,01/13/20 12:40:00  AM,82.441,,,,,
327,01/13/20 12:50:00  AM,82.396,,,,,
328,01/13/20 01:00:00  AM,82.353,,,,,
329,01/13/20 01:10:00  AM,82.353,,,,,
330,01/13/20 01:20:00  AM,82.263,,,,,
331,01/13/20 01:30:00  AM,82.263,,,,,
332,01/13/20 01:40:00  AM,82.218,,,,,
333,01/13/20 01:50:00  AM,82.218,,,,,
334,01/13/20 02:00:00  AM,82.175,,,,,
335,01/13/20 02:10:00  AM,82.130,,,,,
336,01/13/20 02:20:00  AM,82.085,,,,,
337,01/13/20 02:30:00  AM,82.085,,,,,
338,01/13/20 02:40:00  AM,82.042,,,,,
339,01/13/20 02:50:00  AM,81.997,,,,,
340,01/13/20 03:00:00  AM,82.042,,,,,
341,01/13/20 03:10:00  AM,82.042,,,,,
342,01/13/20 03:20:00  AM,82.042,,,,,
343,01/13/20 03:30:00  AM,81.997,,,,,
344,01/13/20 03:40:00  AM,81.997,,,,,
345,01/13/20 03:50:00  AM,81.997,,,,,
346,01/13/20 04:00:00  AM,81.952,,,,,
347,01/13/20 04:10:00  AM,81.864,,,,,
348,01/13/20 04:20:00  AM,81.864,,,,,
349,01/13/20 04:30:00  AM,81.819,,,,,
350,01/13/20 04:40:00  AM,81.819,,,,,
351,01/13/20 04:50:00  AM,81.775,,,,,
352,01/13/20 05:00:00  AM,81.775,,,,,
353,01/13/20 05:10:00  AM,81.730,,,,,
354,01/13/20 05:20:00  AM,81.687,,,,,
355,01/13/20 05:30:00  AM,81.687,,,,,
356,01/13/20 05:40:00  AM,81.775,,,,,
357,01/13/20 05:50:00  AM,81.819,,,,,
358,01/13/20 06:00:00  AM,81.819,,,,,
359,01/13/20 06:10:00  AM,81.864,,,,,
360,01/13/20 06:20:00  AM,81.864,,,,,
361,01/13/20 06:30:00  AM,81.864,,,,,
362,01/13/20 06:40:00  AM,81.909,,,,,
363,01/13/20 06:50:00  AM,81.909,,,,,
364,01/13/20 07:00:00  AM,81.909,,,,,
365,01/13/20 07:10:00  AM,81.952,,,,,
366,01/13/20 07:20:00  AM,81.952,,,,,
367,01/13/20 07:30:00  AM,81.952,,,,,
368,01/13/20 07:40:00  AM,81.952,,,,,
369,01/13/20 07:50:00  AM,81.952,,,,,
370,01/13/20 08:00:00  AM,81.952,,,,,
371,01/13/20 08:10:00  AM,82.085,,,,,
372,01/13/20 08:20:00  AM,81.952,,,,,
373,01/13/20 08:30:00  AM,81.819,,,,,
374,01/13/20 08:40:00  AM,81.597,,,,,
375,01/13/20 08:50:00  AM,81.597,,,,,
376,01/13/20 09:00:00  AM,81.333,,,,,
377,01/13/20 09:10:00  AM,80.492,,,,,
378,01/13/20 09:20:00  AM,79.963,,,,,
379,01/13/20 09:30:00  AM,79.700,,,,,
380,01/13/20 09:40:00  AM,79.788,,,,,
381,01/13/20 09:50:00  AM,82.175,,,,,
382,01/13/20 10:00:00  AM,82.308,,,,,
383,01/13/20 10:10:00  AM,82.396,,,,,
384,01/13/20 10:20:00  AM,82.441,,,,,
385,01/13/20 10:30:00  AM,82.486,,,,,
386,01/13/20 10:40:00  AM,82.575,,,,,
387,01/13/20 10:50:00  AM,82.575,,,,,
388,01/13/20 11:00:00  AM,82.575,,,,,
389,01/13/20 11:10:00  AM,82.620,,,,,
390,01/13/20 11:20:00  AM,82.620,,,,,
391,01/13/20 11:30:00  AM,82.665,,,,,
392,01/13/20 11:40:00  AM,82.708,,,,,
393,01/13/20 11:50:00  AM,82.886,,,,,
394,01/13/20 12:00:00  PM,82.886,,,,,
395,01/13/20 12:10:00  PM,83.064,,,,,
396,01/13/20 12:20:00  PM,83.021,,,,,
397,01/13/20 12:30:00  PM,82.976,,,,,
398,01/13/20 12:40:00  PM,83.021,,,,,
399,01/13/20 12:50:00  PM,83.064,,,,,
400,01/13/20 01:00:00  PM,83.021,,,,,
401,01/13/20 01:10:00  PM,82.931,,,,,
402,01/13/20 01:20:00  PM,82.841,,,,,
403,01/13/20 01:30:00  PM,82.798,,,,,
404,01/13/20 01:40:00  PM,82.753,,,,,
405,01/13/20 01:50:00  PM,82.708,,,,,
406,01/13/20 02:00:00  PM,82.708,,,,,
407,01/13/20 02:10:00  PM,82.708,,,,,
408,01/13/20 02:20:00  PM,82.708,,,,,
409,01/13/20 02:30:00  PM,82.665,,,,,
410,01/13/20 02:40:00  PM,82.620,,,,,
411,01/13/20 02:50:00  PM,82.575,,,,,
412,01/13/20 03:00:00  PM,82.530,,,,,
413,01/13/20 03:10:00  PM,82.486,,,,,
414,01/13/20 03:20:00  PM,82.441,,,,,
415,01/13/20 03:30:00  PM,82.441,,,,,
