164507	ACR_393_TP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11773.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164480	ACR_314_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19965.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164438	ACR_213_TP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14033.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164441	ACR_220_TP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18424.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164493	ACR_363_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9875.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164393	ACR_139_TP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16241.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164449	ACR_229_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27263.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164392	ACR_139_TP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22036.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164463	ACR_244_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9270.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164408	ACR_173_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14125.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164466	ACR_244_TP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5661.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164473	ACR_265_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16753.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164465	ACR_244_TP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15869.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164434	ACR_193_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11197.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164420	ACR_180_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14284.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164411	ACR_173_TP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18151.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164484	ACR_343_TP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10419.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164409	ACR_173_TP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19904.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164464	ACR_244_TP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25239.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164435	ACR_210_TP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16761.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164429	ACR_187_TP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16186.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164395	ACR_140_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13211.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164414	ACR_175_TP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8412.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164391	ACR_139_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21909.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164400	ACR_145_TP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18039.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164488	ACR_350_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17225.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164401	ACR_145_TP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14034.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164467	ACR_246_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11806.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164445	ACR_225_TP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18379.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164396	ACR_140_TP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21005.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164442	ACR_220_TP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10487.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164446	ACR_225_TP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15175.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164443	ACR_225_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14935.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164476	ACR_265_TP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13148.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164398	ACR_140_TP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7893.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164475	ACR_265_TP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24451.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164428	ACR_187_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10445.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164397	ACR_140_TP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9310.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164394	ACR_139_TP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10942.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164497	ACR_364_TP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13807.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164506	ACR_393_TP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15650.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164430	ACR_190_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23319.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164505	ACR_393_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16139.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164496	ACR_364_TP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24062.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164407	ACR_165_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20967.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164453	ACR_231_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14474.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164500	ACR_379_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10821.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164504	ACR_390_TP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11506.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164483	ACR_343_TP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13147.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164478	ACR_267_TP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14851.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164399	ACR_145_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18012.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164471	ACR_258_TP2a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11799.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164485	ACR_345_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4178.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164402	ACR_145_TP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12920.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164477	ACR_267_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16821.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164462	ACR_243_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16789.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164437	ACR_213_TP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7337.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164436	ACR_210_TP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14945.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164444	ACR_225_TP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13527.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164410	ACR_173_TP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20145.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164489	ACR_350_TP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18432.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164412	ACR_175_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15563.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164472	ACR_258_TP2b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16716.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164492	ACR_360_TP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13436.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164433	ACR_190_TP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7875.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164503	ACR_390_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13493.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164432	ACR_190_TP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14480.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164498	ACR_368_TP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19107.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164416	ACR_176_TP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11276.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164431	ACR_190_TP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9598.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164482	ACR_343_TP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11381.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164474	ACR_265_TP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18330.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164413	ACR_175_TP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16576.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164495	ACR_364_TP2	0	0	0	0	0	0	0	0	339.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19358.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164421	ACR_180_TP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268.0	0	0	0	0	0	0	0	18755.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164510	ACR_398_TP4	0	670.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16833.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164415	ACR_176_TP1	313.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13188.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164479	ACR_268_TP2	730.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14867.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164469	ACR_256_TP1	0	2396.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21356.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164499	ACR_368_TP4	0	2325.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20441.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164494	ACR_364_TP1	0	3326.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16302.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164450	ACR_229_TP2	0	4245.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17116.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164486	ACR_347_TP1	0	3720.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	456.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17799.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164487	ACR_347_TP2	0	4946.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18123.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164406	ACR_150_TP4	1811.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5896.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164426	ACR_186_TP3	0	5142.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13733.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164512	ACR_51_TP2	0	6224.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15787.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164456	ACR_237_TP1	0	6111.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14342.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164470	ACR_256_TP4	0	3383.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7999.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
164404	ACR_150_TP2	0	6074.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12678.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
