colony_id,species,site,cre.umol.L,cre.umol.mgprot,timepoint
POR-354,Porites,site3,258.23961455709497,0.16851500552139767,timepoint4
POR-355,Porites,site3,295.6650194792585,NA,timepoint4
POR-357,Porites,site3,176.49459585215618,0.15523934479615437,timepoint4
POR-362,Porites,site3,291.212520742731,0.38297707013532173,timepoint4
POR-365,Porites,site3,240.36293461401203,0.18574114120646384,timepoint4
POR-367,Porites,site3,1188.7018000107983,2.002223857724417,timepoint4
POR-381,Porites,site3,185.15625055326467,0.13257346418466465,timepoint4
POR-383,Porites,site3,234.7831639411242,0.31106305120215794,timepoint4
POR-384,Porites,site3,241.1710953240765,0.4217665676166399,timepoint4
POR-69,Porites,site1,501.2030475881976,0.2755411204705551,timepoint4
POR-70,Porites,site1,658.5899461130214,0.34326501407103405,timepoint4
POR-71,Porites,site1,312.0662590281853,0.3442963551916153,timepoint4
POR-72,Porites,site1,230.70150236486325,0.15869023344828675,timepoint4
POR-73,Porites,site1,213.04273597831482,0.10610586043433458,timepoint4
POR-74,Porites,site1,294.8093587246259,0.14265933260235722,timepoint4
POR-75,Porites,site1,263.6358134926174,0.19420871263932232,timepoint4
POR-76,Porites,site1,1036.5569468751921,0.8222778548127174,timepoint4
POR-79,Porites,site1,197.896856398274,0.13392861963492678,timepoint4
POR-80,Porites,site1,202.6947463201103,NA,timepoint4
POR-81,Porites,site1,1310.709085447013,0.8693137921768659,timepoint4
POR-82,Porites,site1,119.87639499146948,0.0404949536653256,timepoint4
POR-83,Porites,site1,697.5679709820085,NA,timepoint4
