,colony_id,weight1.g,weight2.g,Notes,delta.mass.g,surface.area.cm2
57,POC-53,17.6311,19.0103,NA,1.3792,63.3734785
58,POR-349,15.9538,16.4078,NA,0.454,22.13349856
59,POC-372,20.022,21.762,NA,1.74,79.4558226
60,POC-375,12.3431,13.7138,NA,1.3707,62.99459844
61,ACR-186,17.525,18.5417,NA,1.0167,47.21535839
62,POR-209,3.9287,4.2643,NA,0.3356,16.85592222
63,ACR-178,12.2136,13.0339,NA,0.8203,38.46100035
64,POC-40,18.8023,20.5866,NA,1.7843,81.43045632
65,POC-42,26.6578,28.7308,NA,2.073,94.29900604
66,POR-242,8.8069,9.1864,NA,0.3795,18.81272629
67,POR-381,15.384,15.8058,NA,0.4218,20.69821175
68,POC-47,26.6695,28.4686,NA,1.7991,82.09015336
69,POC-371,23.618,25.4501,NA,1.8321,83.56109946
70,POR-82,23.8536,24.5687,NA,0.7151,33.77180245
71,POR-73,8.185,8.4685,NA,0.2835,14.53361034
72,POC-207,16.5703,17.6764,NA,1.1061,51.20028511
73,POC-395,13.6721,15.0363,NA,1.3642,62.70486663
74,POR-338,4.5307,4.7306,NA,0.1999,10.80721354
75,POC-200,12.483,13.5258,NA,1.0428,48.37874304
76,POC-48,21.3679,23.1448,NA,1.7769,81.10060779
77,POR-340,5.6612,5.8594,NA,0.1982,10.73143752
78,POR-72,12.0239,12.4074,NA,0.3835,18.99102279
79,POC-259,13.2035,15.2046,NA,2.0011,91.0941265
80,ACR-180,8.3612,9.0006,NA,0.6394,30.39754123
81,POR-253,4.0401,4.2031,NA,0.163,9.162428344
82,ACR-176,23.8999,25.5511,NA,1.6512,75.49764035
83,POR-69,5.299,5.7494,NA,0.4504,21.97303171
84,POC-346,13.9546,15.2767,NA,1.3221,60.82829599
85,ACR-185,12.2872,13.0635,NA,0.7763,36.49973887
86,POR-355,8.0541,8.4066,NA,0.3525,17.60922493
87,ACR-225,3.4585,4.1606,NA,0.7021,33.19233884
88,ACR-150,8.0333,8.69,NA,0.6567,31.16867359
89,POR-98,12.947,13.4518,NA,0.5048,24.39786408
90,POR-81,7.278,7.5059,NA,0.2279,12.05528902
91,ACR-139,15.4202,16.1698,NA,0.7496,35.30960975
92,POC-52,19.8111,21.6378,NA,1.8267,83.32039919
93,POR-555,28.0808,29.905,NA,1.8242,83.20896388
94,ACR-173,10.3992,11.1419,NA,0.7427,35.00204829
95,ACR-390,9.024,9.7339,NA,0.7099,33.54001701
96,POC-373,32.6379,35.4056,NA,2.7677,125.2646503
97,POR-383,4.4778,4.6442,NA,0.1664,9.313980367
98,POC-366,28.728,30.4206,NA,1.6926,77.3430091
99,POR-362,8.4585,8.8088,NA,0.3503,17.51116185
100,POC-377,17.1205,18.5491,NA,1.4286,65.57544025
101,POC-394,19.0126,20.97,NA,1.9574,89.14623726
102,POC-368,27.1157,28.8924,NA,1.7767,81.09169297
103,POC-386,32.4952,34.1062,NA,1.611,73.70576055
