"","Date","Run.Number","Start.Time","Stop.Time","Chamber","Channel","Position","Species","colony_id","Plug.ID","Site","Vol.L","Temp.C","pH.mV","Salinity.chamber","TA.Start.Time","TA.Stop.Time","Notes","titration.run","TA","Mass","Salinity.lab","sample.type","surface.area.cm2","Ta.norm","Ta.norm_initial_avg","delta.TA.blank","start.time","stop.time","deltaTA","timediff","umol.cm2.hr","timepoint"
"12","20201102","2","18:48","20:18","6","6","12","Acropora","ACR-213","ACR-213","2",0.605,26.232,-55.4,37.75,"18:42","20:20","","data/4_calcification/raw_files/TA_Output_20220331_Run1_PutnamLab.csv",2296.616658,59.943,38.79,"Sample",29.6041218172119,2474.604448995,2499.52174495688,40.4900091034779,2022-04-13 18:42:00,2022-04-13 20:20:00,-15.5727131415997,98,0,"timepoint4"
"13","20201102","2","18:48","20:18","3","3","3","Acropora","ACR-218","ACR-218","2",0.62,26.233,-55.6,37.79,"18:40","20:38","","data/4_calcification/raw_files/TA_Output_20220406_Run3_PutnamLab.csv",2194.16800621319,55.877,39.66,"Sample",32.8090013651977,2417.24175351153,2499.52174495688,40.4900091034779,2022-04-13 18:40:00,2022-04-13 20:38:00,41.7899823418697,118,0.00342321752056966,"timepoint4"
"14","20201102","2","18:48","20:18","2","2","2","Pocillopora","POC-219","POC-219","2",0.615,26.374,-56,37.6,"18:41","20:41","","data/4_calcification/raw_files/TA_Output_20220331_Run1_PutnamLab.csv",2271.370311,60.178,38.71,"Sample",56.9280601053245,2442.3540205225,2499.52174495688,40.4900091034779,2022-04-13 18:41:00,2022-04-13 20:41:00,16.6777153308999,120,0.000767979592170519,"timepoint4"
"15","20201102","2","18:48","20:18","7","7","7","Pocillopora","POC-222","POC-222","2",0.6,26.356,-57.1,37.71,"18:42","20:28","","data/4_calcification/raw_files/TA_Output_20220406_Run3_PutnamLab.csv",2314.33751011615,56.28,39.5,"Sample",54.4007072489853,2539.34254582189,2499.52174495688,40.4900091034779,2022-04-13 18:42:00,2022-04-13 20:28:00,-80.3108099684864,106,0,"timepoint4"
"16","20201102","2","18:48","20:18","10","10","10","Pocillopora","POC-238","POC-238","2",0.595,26.454,-54.2,37.67,"18:42","20:34","","data/4_calcification/raw_files/TA_Output_20220331_Run1_PutnamLab.csv",2257.759227,60.284,38.64,"Sample",72.7875335847869,2423.32823698,2499.52174495688,40.4900091034779,2022-04-13 18:42:00,2022-04-13 20:34:00,35.7034988734003,112,0.00133290241801852,"timepoint4"
"17","20201102","2","18:48","20:18","9","9","9","Porites","POR-224","POR-224","2",0.61,25.935,-55.3,37.84,"18:44","20:19","","data/4_calcification/raw_files/TA_Output_20220330_Run1_PutnamLab.csv",1982.241031,59.795,38.53,"Sample",13.4816610034919,2121.54852567861,2499.52174495688,40.4900091034779,2022-04-13 18:44:00,2022-04-13 20:19:00,337.483210174789,95,0.0822168127389088,"timepoint4"
"18","20201102","2","18:48","20:18","8","8","8","Porites","POR-260","POR-260","2",0.6,26.363,-56,37.65,"18:42","20:27","","data/4_calcification/raw_files/TA_Output_20220331_Run1_PutnamLab.csv",2274.712455,60.457,38.72,"Sample",16.5260737034562,2446.57961826667,2499.52174495688,40.4900091034779,2022-04-13 18:42:00,2022-04-13 20:27:00,12.4521175867339,105,0.00220232352131351,"timepoint4"
"19","20201102","2","18:48","20:18","5","5","5","Porites","POR-240","POR-240","2",0.6,26.218,-55.3,37.69,"18:40","20:38","","data/4_calcification/raw_files/TA_Output_20220406_Run2_PutnamLab.csv",2304.73125826313,55.106,39.54,"Sample",9.63045665097492,2531.36316532567,2499.52174495688,40.4900091034779,2022-04-13 18:40:00,2022-04-13 20:38:00,-72.3314294722704,118,0,"timepoint4"
"21","20201103","3","10:49","12:19","6","6","12","Acropora","ACR-220","ACR-220","2",0.61,26.198,-51.7,37.83,"10:45","12:21","","data/4_calcification/raw_files/TA_Output_20220404_Run1_PutnamLab.csv",2253.65175704644,57.133,39.19,"Sample",32.8134587776427,2453.35034329583,2505.40806989745,18.5898257537938,2022-04-13 10:45:00,2022-04-13 12:21:00,33.4679008478224,96,0.00331497840115057,"timepoint4"
"22","20201103","3","10:49","12:19","8","8","8","Acropora","ACR-225","ACR-225","2",0.605,26.156,-53.8,37.66,"10:45","12:25","","data/4_calcification/raw_files/TA_Output_20220330_Run1_PutnamLab.csv",2272.051437,59.752,38.64,"Sample",33.1923388354714,2438.66854238,2505.40806989745,18.5898257537938,2022-04-13 10:45:00,2022-04-13 12:25:00,48.1497017636552,100,0.00448907394184678,"timepoint4"
"23","20201103","3","10:49","12:19","1","1","1","Acropora","ACR-229","ACR-229","2",0.6,26.232,-54.4,37.62,"10:41","12:36","","data/4_calcification/raw_files/TA_Output_20220329_Run1_PutnamLab.csv",2288.220377,60.121,38.51,"Sample",25.3918670566464,2447.76018661861,2505.40806989745,18.5898257537938,2022-04-13 10:41:00,2022-04-13 12:36:00,39.0580575250442,115,0.00410501788099746,"timepoint4"
"24","20201103","3","10:49","12:19","11","4","4","Pocillopora","POC-239","POC-239","2",0.605,26.231,-53.3,37.58,"10:42","12:44","","data/4_calcification/raw_files/TA_Output_20220406_Run4_PutnamLab.csv",2325.15779686212,54.049,39.49,"Sample",40.9214920151757,2550.56892772459,2505.40806989745,18.5898257537938,2022-04-13 10:42:00,2022-04-13 12:44:00,-63.7506835809313,122,0,"timepoint4"
"25","20201103","3","10:49","12:19","9","9","9","Pocillopora","POC-248","POC-248","2",0.6,26.17,-55.9,37.65,"10:45","12:21","","data/4_calcification/raw_files/TA_Output_20220325_Run1_PutnamLab.csv",2284.35580059995,60.599,38.38,"Sample",81.020374370781,2435.37710075072,2505.40806989745,18.5898257537938,2022-04-13 10:45:00,2022-04-13 12:21:00,51.4411433929308,96,0.00202974753648612,"timepoint4"
"26","20201103","3","10:49","12:19","2","2","2","Pocillopora","POC-254","POC-254","2",0.61,26.115,-54.9,37.61,"10:41","12:36","","data/4_calcification/raw_files/TA_Output_20220404_Run1_PutnamLab.csv",2302.67953385214,58.129,39.32,"Sample",84.2921151054424,2515.03775752962,2505.40806989745,18.5898257537938,2022-04-13 10:41:00,2022-04-13 12:36:00,-28.21951338596,115,0,"timepoint4"
"27","20201103","3","10:49","12:19","10","10","10","Porites","POR-221","POR-221","2",0.6,26.158,-52.6,37.66,"10:42","12:31","","data/4_calcification/raw_files/TA_Output_20220330_Run1_PutnamLab.csv",2233.261461,60.259,38.76,"Sample",9.4699898029534,2404.47817301,2505.40806989745,18.5898257537938,2022-04-13 10:42:00,2022-04-13 12:31:00,82.3400711336553,109,0.0244811670278904,"timepoint4"
"28","20201103","3","10:49","12:19","7","7","7","Porites","POR-242","POR-242","2",0.6,26.187,-54,37.65,"10:45","12:25","","data/4_calcification/raw_files/TA_Output_20220325_Run2_PutnamLab.csv",2308.52710860979,59.267,38.19,"Sample",18.8127262877632,2448.96250771689,2505.40806989745,18.5898257537938,2022-04-13 10:45:00,2022-04-13 12:25:00,37.8557364267699,100,0.0061755671834404,"timepoint4"
"29","20201103","3","10:49","12:19","5","5","6","Porites","POR-245","POR-245","2",0.61,26.271,-53.9,37.64,"10:41","12:31","","data/4_calcification/raw_files/TA_Output_20220404_Run3_PutnamLab.csv",2261.054367,60.193,39.18,"Sample",16.4814995790058,2460.780836085,2505.40806989745,18.5898257537938,2022-04-13 10:41:00,2022-04-13 12:31:00,26.0374080586548,110,0.00448109151745218,"timepoint4"
"31","20201103","4","15:36","17:06","11","4","4","Acropora","ACR-241","ACR-241","2",0.6,26.365,-54.4,37.64,"15:31","17:26","","data/4_calcification/raw_files/TA_Output_20220325_Run1_PutnamLab.csv",2305.81768784545,59.832,38.51,"Sample",29.3767937825147,2466.58442108134,2545.4979824538,-32.6853535892765,2022-04-13 15:31:00,2022-04-13 17:26:00,111.598914961732,115,0.0101380545933834,"timepoint4"
"32","20201103","4","15:36","17:06","9","9","9","Acropora","ACR-256","ACR-256","2",0.61,26.36,-55.7,37.62,"15:32","17:07","","data/4_calcification/raw_files/TA_Output_20220404_Run2_PutnamLab.csv",2324.42983784155,54.088,39.19,"Sample",63.6676677222293,2530.40014847251,2545.4979824538,-32.6853535892765,2022-04-13 15:32:00,2022-04-13 17:07:00,47.7831875705638,95,0.00246494960359919,"timepoint4"
"33","20201103","4","15:36","17:06","2","2","2","Acropora","ACR-267","ACR-267","2",0.605,26.598,-56.1,37.59,"15:30","17:21","","data/4_calcification/raw_files/TA_Output_20220325_Run2_PutnamLab.csv",2207.29419877694,59.97,38.47,"Sample",21.9953187735238,2358.73910630414,2545.4979824538,-32.6853535892765,2022-04-13 15:30:00,2022-04-13 17:21:00,219.444229738938,111,0.0278145436569273,"timepoint4"
"34","20201103","4","15:36","17:06","6","6","12","Pocillopora","POC-255","POC-255","2",0.57,26.525,-54.7,37.66,"15:30","17:07","","data/4_calcification/raw_files/TA_Output_20220325_Run2_PutnamLab.csv",2333.55238385703,60.396,38.44,"Sample",64.3407370014308,2491.71537876289,2545.4979824538,-32.6853535892765,2022-04-13 15:30:00,2022-04-13 17:07:00,86.4679572801783,97,0.00403940991813564,"timepoint4"
"35","20201103","4","15:36","17:06","8","8","8","Pocillopora","POC-257","POC-257","2",0.605,26.51,-56.4,37.64,"15:32","17:10","","data/4_calcification/raw_files/TA_Output_20220406_Run4_PutnamLab.csv",2321.67536534393,55.956,39.6,"Sample",46.7963616177422,2553.84290187832,2545.4979824538,-32.6853535892765,2022-04-13 15:32:00,2022-04-13 17:10:00,24.3404341647501,98,0.00164244626255399,"timepoint4"
"36","20201103","4","15:36","17:06","1","1","1","Pocillopora","POC-259","POC-259","2",0.595,26.612,-54.5,37.64,"15:30","17:20","","data/4_calcification/raw_files/TA_Output_20220330_Run1_PutnamLab.csv",2135.601687,60.289,38.67,"Sample",91.0941264965778,2293.9921454525,2545.4979824538,-32.6853535892765,2022-04-13 15:30:00,2022-04-13 17:20:00,284.191190590573,110,0.00863157710388723,"timepoint4"
"37","20201103","4","15:36","17:06","10","10","10","Porites","POR-251","POR-251","2",0.6,26.417,-56.7,37.65,"15:31","17:15","","data/4_calcification/raw_files/TA_Output_20220404_Run3_PutnamLab.csv",2293.292242,59.387,39.29,"Sample",10.2767814555061,2502.87367189389,2545.4979824538,-32.6853535892765,2022-04-13 15:31:00,2022-04-13 17:15:00,75.3096641491843,104,0.0216250509306713,"timepoint4"
"38","20201103","4","15:36","17:06","7","7","7","Porites","POR-253","POR-253","2",0.605,26.538,-53.4,37.66,"15:32","17:10","","data/4_calcification/raw_files/TA_Output_20220406_Run4_PutnamLab.csv",2292.41839410815,56.323,39.48,"Sample",9.16242834424544,2514.01883887194,2545.4979824538,-32.6853535892765,2022-04-13 15:32:00,2022-04-13 17:10:00,64.1644971711353,98,0.0221135842868416,"timepoint4"
"39","20201103","4","15:36","17:06","3","3","3","Porites","POR-262","POR-262","2",0.6,26.591,-54.3,37.78,"15:29","17:16","","data/4_calcification/raw_files/TA_Output_20220404_Run3_PutnamLab.csv",2266.244573,60.434,39.26,"Sample",15.8886637238151,2471.46560933278,2545.4979824538,-32.6853535892765,2022-04-13 15:29:00,2022-04-13 17:16:00,106.717726710296,107,0.0192647023193462,"timepoint4"
"41","20201104","5","10:50","12:20","1","1","1","Acropora","ACR-343","ACR-343","3",0.595,26.554,-55.1,37.64,"10:43","12:34","","data/4_calcification/raw_files/TA_Output_20220404_Run1_PutnamLab.csv",2156.29420158966,57.035,39.3,"Sample",45.5661157829104,2353.95450340205,2566.67230846713,8.34670782602279,2022-04-13 10:43:00,2022-04-13 12:34:00,204.371097239065,111,0.0122975073905483,"timepoint4"
"42","20201104","5","10:50","12:20","6","6","12","Acropora","ACR-368","ACR-368","3",0.595,26.814,-56.8,37.66,"10:46","12:20","","data/4_calcification/raw_files/TA_Output_20220404_Run2_PutnamLab.csv",2279.814973961,57.319,39.35,"Sample",69.5336224999056,2491.96442292682,2566.67230846713,8.34670782602279,2022-04-13 10:46:00,2022-04-13 12:20:00,66.361177714296,94,0.00308996798383256,"timepoint4"
"43","20201104","5","10:50","12:20","5","5","6","Pocillopora","POC-358","POC-358","3",0.615,26.625,-58,37.57,"10:48","12:29","","data/4_calcification/raw_files/TA_Output_20220404_Run1_PutnamLab.csv",2328.00066924707,57.809,39.28,"Sample",46.5333742834846,2540.10739688958,2566.67230846713,8.34670782602279,2022-04-13 10:48:00,2022-04-13 12:29:00,18.2182037515299,101,0.00121938371080728,"timepoint4"
"44","20201104","5","10:50","12:20","10","10","10","Pocillopora","POC-359","POC-359","3",0.595,26.62,-59.3,37.53,"10:46","12:23","","data/4_calcification/raw_files/TA_Output_20220404_Run2_PutnamLab.csv",2299.02914750997,53.227,39.43,"Sample",93.3807790808848,2518.07553573106,2566.67230846713,8.34670782602279,2022-04-13 10:46:00,2022-04-13 12:23:00,40.2500649100525,97,0.00135238380578852,"timepoint4"
"45","20201104","5","10:50","12:20","2","2","2","Pocillopora","POC-366","POC-366","3",0.6,26.575,-58.1,37.74,"10:45","12:34","","data/4_calcification/raw_files/TA_Output_20220330_Run1_PutnamLab.csv",2042.308183,60.216,38.73,"Sample",77.3430091036207,2197.18322021083,2566.67230846713,8.34670782602279,2022-04-13 10:45:00,2022-04-13 12:34:00,361.142380430278,109,0.0131470338797402,"timepoint4"
"46","20201104","5","10:50","12:20","7","7","7","Pocillopora","POC-369","POC-369","3",0.605,26.687,-58.3,37.54,"10:43","12:23","","data/4_calcification/raw_files/TA_Output_20220404_Run1_PutnamLab.csv",2332.31998373551,59.956,39.26,"Sample",47.4337715973832,2543.524515596,2566.67230846713,8.34670782602279,2022-04-13 10:43:00,2022-04-13 12:23:00,14.8010850451078,100,0.000965621459373712,"timepoint4"
"47","20201104","5","10:50","12:20","3","3","3","Porites","POR-338","POR-338","3",0.62,26.769,-56.5,37.69,"10:45","12:29","","data/4_calcification/raw_files/TA_Output_20220404_Run3_PutnamLab.csv",2288.888055,60.698,39.16,"Sample",10.8072135364662,2489.80156205,2566.67230846713,8.34670782602279,2022-04-13 10:45:00,2022-04-13 12:29:00,68.5240385911115,104,0.0193345116249237,"timepoint4"
"48","20201104","5","10:50","12:20","9","9","9","Porites","POR-340","POR-340","3",0.61,26.484,-56.3,37.48,"10:45","12:20","","data/4_calcification/raw_files/TA_Output_20220404_Run1_PutnamLab.csv",2279.67102457503,59.552,39.18,"Sample",10.7314375249005,2481.04196507916,2566.67230846713,8.34670782602279,2022-04-13 10:45:00,2022-04-13 12:20:00,77.2836355619538,95,0.02365274284222,"timepoint4"
"49","20201104","5","10:50","12:20","11","4","4","Porites","POR-341","POR-341","3",0.6,26.595,-55.4,37.7,"10:49","12:39","","data/4_calcification/raw_files/TA_Output_20220404_Run2_PutnamLab.csv",2227.524342634,53.448,39.33,"Sample",19.4902529794097,2433.57034432764,2566.67230846713,8.34670782602279,2022-04-13 10:49:00,2022-04-13 12:39:00,124.755256313466,110,0.0178585247447677,"timepoint4"
"51","20201104","6","15:32","17:02","11","4","4","Acropora","ACR-396","ACR-398","3",0.61,26.385,-57.6,37.7,"15:25","17:29","","data/4_calcification/raw_files/TA_Output_20220325_Run2_PutnamLab.csv",2330.44006201598,60.171,38.15,"Sample",28.9221377131203,2469.61912127527,2556.10072138554,32.7745283222803,2022-04-13 15:25:00,2022-04-13 17:29:00,53.7070717879933,124,0.00467255984765029,"timepoint4"
"52","20201104","6","15:32","17:02","6","6","12","Acropora","ACR-389","ACR-389","3",0.6,26.68,-55.3,37.91,"15:26","17:05","","data/4_calcification/raw_files/TA_Output_20220330_Run1_PutnamLab.csv",2340.146366,59.756,38.73,"Sample",18.9063319491091,2517.60746542167,2556.10072138554,32.7745283222803,2022-04-13 15:26:00,2022-04-13 17:05:00,5.71872764159434,99,0.000937678220009137,"timepoint4"
"53","20201104","6","15:32","17:02","3","3","3","Pocillopora","POC-371","POC-371","3",0.6,25.975,-59.2,38.1,"15:27","17:20","","data/4_calcification/raw_files/TA_Output_20220325_Run2_PutnamLab.csv",2322.18041790061,60.5,38.26,"Sample",83.5610994644555,2467.96174413548,2556.10072138554,32.7745283222803,2022-04-13 15:27:00,2022-04-13 17:20:00,55.3644489277794,113,0.00179947277674113,"timepoint4"
"54","20201104","6","15:32","17:02","2","2","2","Pocillopora","POC-372","POC-372","3",0.59,26.552,-56.4,37.73,"15:24","17:29","","data/4_calcification/raw_files/TA_Output_20220330_Run1_PutnamLab.csv",2226.120918,60.127,38.66,"Sample",79.4558226025711,2390.60651916333,2556.10072138554,32.7745283222803,2022-04-13 15:24:00,2022-04-13 17:29:00,132.719673899927,125,0.0040327120632283,"timepoint4"
"55","20201104","6","15:32","17:02","10","10","10","Pocillopora","POC-373","POC-373","3",0.585,26.494,-53.7,37.59,"15:26","17:14","","data/4_calcification/raw_files/TA_Output_20220325_Run2_PutnamLab.csv",2312.65501935569,60.412,38.46,"Sample",125.264650300276,2470.68644567833,2556.10072138554,32.7745283222803,2022-04-13 15:26:00,2022-04-13 17:14:00,52.639747384932,108,0.00116429495271625,"timepoint4"
"56","20201104","6","15:32","17:02","7","7","7","Porites","POR-349","POR-349","3",0.59,26.583,-54.4,37.59,"15:26","17:10","","data/4_calcification/raw_files/TA_Output_20220404_Run2_PutnamLab.csv",2313.7371737688,55.566,39.17,"Sample",22.1334985593202,2517.47458601455,2556.10072138554,32.7745283222803,2022-04-13 15:26:00,2022-04-13 17:10:00,5.85160704870805,104,0.000767166090098106,"timepoint4"
"57","20201104","6","15:32","17:02","1","1","1","Porites","POR-353","POR-353","3",0.6,26.475,-53.8,37.58,"15:24","17:20","","data/4_calcification/raw_files/TA_Output_20220404_Run2_PutnamLab.csv",2189.43196854388,59.455,39.26,"Sample",29.2965603585039,2387.69719680646,2556.10072138554,32.7745283222803,2022-04-13 15:24:00,2022-04-13 17:20:00,135.628996256796,116,0.0122482717406743,"timepoint4"
"58","20201104","6","15:32","17:02","8","8","8","Porites","POR-354","POR-354","3",0.59,26.476,-55.1,37.78,"15:28","17:10","","data/4_calcification/raw_files/TA_Output_20220404_Run3_PutnamLab.csv",2296.805218,59.555,39.08,"Sample",22.3162524695669,2493.30966442889,2556.10072138554,32.7745283222803,2022-04-13 15:28:00,2022-04-13 17:10:00,30.0165286343718,102,0.00397957484664436,"timepoint4"
"59","20201104","6","15:32","17:02","5","5","6","Porites","POR-365","POR-355","3",0.6,26.646,-53.9,37.74,"15:27","17:14","","data/4_calcification/raw_files/TA_Output_20220404_Run1_PutnamLab.csv",2260.39110694761,54.976,39.29,"Sample",17.6092249276016,2466.96573866588,2556.10072138554,32.7745283222803,2022-04-13 15:27:00,2022-04-13 17:14:00,56.3604543973829,107,0.00918009881034326,"timepoint4"
"61","20201105","7","10:33","12:03","1","1","1","Acropora","ACR-390","ACR-390","3",0.595,26.209,-56.3,37.4,"10:26","12:17","","data/4_calcification/raw_files/TA_Output_20220406_Run2_PutnamLab.csv",2307.2889274614,59.167,39.46,"Sample",33.5400170061848,2529.04502993408,2549.65229565188,-15.775634340464,2022-04-13 10:26:00,2022-04-13 12:17:00,36.3829000582678,111,0.00297422390545671,"timepoint4"
"62","20201105","7","10:33","12:03","9","9","9","Pocillopora","POC-375","POC-375","3",0.59,26.098,-57.8,37.26,"10:29","12:01","","data/4_calcification/raw_files/TA_Output_20220406_Run1_PutnamLab.csv",2318.89852997607,58.838,38.89,"Sample",62.9945984430279,2505.0545508547,2549.65229565188,-15.775634340464,2022-04-13 10:29:00,2022-04-13 12:01:00,60.3733791376421,92,0.00314377889971189,"timepoint4"
"63","20201105","7","10:33","12:03","6","6","12","Pocillopora","POC-377","POC-377","3",0.595,26.309,-54.8,37.38,"10:29","12:01","","data/4_calcification/raw_files/TA_Output_20220406_Run1_PutnamLab.csv",2317.55119477116,54.729,38.91,"Sample",65.5754402487076,2504.88658301516,2549.65229565188,-15.775634340464,2022-04-13 10:29:00,2022-04-13 12:01:00,60.5413469771847,92,0.00305411679157198,"timepoint4"
"64","20201105","7","10:33","12:03","2","2","2","Pocillopora","POC-378","POC-378","3",0.6,26.103,-60.3,37.22,"10:26","12:17","","data/4_calcification/raw_files/TA_Output_20220406_Run1_PutnamLab.csv",2247.99033241478,56.844,38.71,"Sample",81.0916929699017,2417.21404910489,2549.65229565188,-15.775634340464,2022-04-13 10:26:00,2022-04-13 12:17:00,148.213880887454,111,0.00505343194528061,"timepoint4"
"65","20201105","7","10:33","12:03","10","10","10","Pocillopora","POC-386","POC-386","3",0.595,26.206,-55.3,37.31,"10:29","12:08","","data/4_calcification/raw_files/TA_Output_20220329_Run1_PutnamLab.csv",2316.371182,59.829,38.5,"Sample",73.7057605484659,2477.23029186111,2549.65229565188,-15.775634340464,2022-04-13 10:29:00,2022-04-13 12:08:00,88.1976381312356,99,0.00367860309973311,"timepoint4"
"66","20201105","7","10:33","12:03","11","4","4","Porites","POR-357","POR-357","3",0.62,26.257,-54.3,37.28,"10:28","12:22","","data/4_calcification/raw_files/TA_Output_20220406_Run1_PutnamLab.csv",2287.31341064714,56.134,39.5,"Sample",15.5588152028819,2509.69110334895,2549.65229565188,-15.775634340464,2022-04-13 10:28:00,2022-04-13 12:22:00,55.7368266434019,114,0.00996547932143632,"timepoint4"
"67","20201105","7","10:33","12:03","8","8","8","Porites","POR-362","POR-362","3",0.61,26.347,-53.2,37.26,"10:28","12:08","","data/4_calcification/raw_files/TA_Output_20220329_Run1_PutnamLab.csv",2241.103602,59.764,38.51,"Sample",17.5111618538106,2397.35832536167,2549.65229565188,-15.775634340464,2022-04-13 10:28:00,2022-04-13 12:08:00,168.06960463068,100,0.0299467494656445,"timepoint4"
"68","20201105","7","10:33","12:03","3","3","3","Porites","POR-367","POR-367","3",0.615,26.224,-54.7,37.28,"10:29","12:12","","data/4_calcification/raw_files/TA_Output_20220406_Run3_PutnamLab.csv",2268.30315763072,59.917,39.2,"Sample",17.0609631968614,2469.93010497567,2549.65229565188,-15.775634340464,2022-04-13 10:29:00,2022-04-13 12:12:00,95.4978250166737,103,0.0170951715592323,"timepoint4"
"70","20201105","8","15:13","16:43","1","1","1","Acropora","ACR-393","ACR-393","3",0.61,26.708,-55.3,37.18,"15:06","16:05","","data/4_calcification/raw_files/TA_Output_20220406_Run3_PutnamLab.csv",2328.77102839356,53.989,39.65,"Sample",24.9550406370322,2564.88253543902,2539.39322406847,4.09555611668202,2022-04-13 15:06:00,2022-04-13 16:05:00,-29.5848674872259,59,0,"timepoint4"
"71","20201105","8","15:13","16:43","6","6","12","Pocillopora","POC-391","POC-391","3",0.595,26.782,-55.9,37.3,"15:06","16:43","","data/4_calcification/raw_files/TA_Output_20220406_Run1_PutnamLab.csv",2315.54576658992,56.953,39.25,"Sample",107.047205637386,2524.5880927404,2539.39322406847,4.09555611668202,2022-04-13 15:06:00,2022-04-13 16:43:00,10.7095752113933,97,0.000313897444268926,"timepoint4"
"72","20201105","8","15:13","16:43","10","10","10","Pocillopora","POC-395","POC-395","3",0.6,26.662,-56.1,37.52,"15:09","16:49","","data/4_calcification/raw_files/TA_Output_20220406_Run2_PutnamLab.csv",2324.36352467159,56.254,39.17,"Sample",62.7048666341,2529.03664614962,2539.39322406847,4.09555611668202,2022-04-13 15:09:00,2022-04-13 16:49:00,6.26102180217595,100,0.000306436755906095,"timepoint4"
