colony_id,partner,site,species,AFDW.mg.cm2,timepoint,DW.mg.cm2
ACR-213,Sym,NA,NA,0.8275874606675381,timepoint4,158.19334310660727
ACR-218,Host,NA,NA,1.2639823912467185,timepoint4,71.79950324543518
ACR-218,Sym,NA,NA,0.7734157988397968,timepoint4,125.84579926835939
ACR-220,Host,NA,NA,1.0666354996946317,timepoint4,86.72813248017016
ACR-220,Sym,NA,NA,0.6799801310553236,timepoint4,102.17034792699911
ACR-225,Host,site2,Acropora,1.114715060707319,timepoint4,118.44600705866976
ACR-225,Sym,site2,Acropora,0.7343562055335316,timepoint4,219.4971868693427
ACR-229,Host,site2,Acropora,0.8427895417166082,timepoint4,64.61911589012175
ACR-229,Sym,site2,Acropora,0.5316662996810297,timepoint4,76.24488564314707
ACR-234,Host,site2,Acropora,0.8982985029607353,timepoint4,77.46848176620227
ACR-234,Sym,site2,Acropora,0.6224622778667963,timepoint4,141.82375821201006
ACR-237,Host,site2,Acropora,1.590088416719719,timepoint4,112.50572955492395
ACR-237,Sym,site2,Acropora,0.8891941804025135,timepoint4,204.898235452744
ACR-241,Host,NA,NA,0.8339916255456985,timepoint4,96.46900274347814
ACR-241,Sym,NA,NA,0.6254937191592626,timepoint4,112.85693818545097
ACR-244,Host,site2,Acropora,NA,timepoint4,NA
ACR-244,Sym,site2,Acropora,NA,timepoint4,NA
ACR-256,Host,site2,Acropora,1.2957911441005119,timepoint4,93.3912017311729
ACR-256,Sym,site2,Acropora,0.5448212764967656,timepoint4,169.05656960702512
ACR-267,Host,site2,Acropora,0.8392694913892697,timepoint4,93.0288858765282
ACR-267,Sym,site2,Acropora,0.6353624670728508,timepoint4,114.57210627169623
ACR-343,Host,site3,Acropora,0.693497776956703,timepoint4,103.87543284466642
ACR-343,Sym,site3,Acropora,0.7351954281028341,timepoint4,126.2231792457743
ACR-368,Host,site3,Acropora,0.6601123075395988,timepoint4,58.18278775861984
ACR-368,Sym,site3,Acropora,0.5806543445950176,timepoint4,69.97801675019313
ACR-389,Host,site3,Acropora,1.5375801122210706,timepoint4,123.44858887923971
ACR-389,Sym,site3,Acropora,0.7788395993276618,timepoint4,144.399374101154
ACR-390,Host,site3,Acropora,0.9007151068059855,timepoint4,188.3600714583727
ACR-390,Sym,site3,Acropora,0.5530706796177401,timepoint4,223.6380798082735
ACR-393,Host,site3,Acropora,1.5027024217444553,timepoint4,143.8987839062504
ACR-393,Sym,site3,Acropora,0.7062701382199275,timepoint4,173.1714270818327
ACR-398,Host,NA,NA,NA,timepoint4,NA
ACR-398,Sym,NA,NA,NA,timepoint4,NA
POC-200,Host,site2,Pocillopora,1.5047931267298484,timepoint4,59.96021843431281
POC-200,Sym,site2,Pocillopora,1.1304034906324054,timepoint4,104.76579551181133
POC-205,Host,site2,Pocillopora,0.9519726142217368,timepoint4,48.821292023920975
POC-207,Host,site2,Pocillopora,NA,timepoint4,NA
POC-207,Sym,site2,Pocillopora,NA,timepoint4,NA
POC-219,Host,site2,Pocillopora,1.5106785623976788,timepoint4,84.53476178700657
POC-219,Sym,site2,Pocillopora,0.6762921471198884,timepoint4,67.77852596524912
POC-222,Host,site2,Pocillopora,1.546854889493552,timepoint4,100.91780562471281
POC-222,Sym,site2,Pocillopora,0.6824359806589282,timepoint4,79.8139899197908
POC-238,Host,site2,Pocillopora,1.5716977120366549,timepoint4,73.25320336330793
POC-238,Sym,site2,Pocillopora,0.7631801390177968,timepoint4,88.15864041505547
POC-239,Host,site2,Pocillopora,1.1729777590269614,timepoint4,59.62392571353864
POC-239,Sym,site2,Pocillopora,0.7880944318462183,timepoint4,106.42023996546848
POC-240,Sym,NA,NA,NA,timepoint4,NA
POC-248,Host,site2,Pocillopora,1.7717765576231386,timepoint4,46.16616535098275
POC-254,Host,site2,Pocillopora,0.9822982837294314,timepoint4,56.43232458990548
POC-254,Sym,site2,Pocillopora,1.121101302082512,timepoint4,46.74221301804314
POC-255,Host,site2,Pocillopora,1.6798066829355147,timepoint4,36.50750845374628
POC-255,Sym,site2,Pocillopora,0.6636541946830804,timepoint4,62.829556955651704
POC-257,Host,site2,Pocillopora,-157.35197663760752,timepoint4,31.15626834217856
POC-257,Sym,site2,Pocillopora,1.0417476554740788,timepoint4,157.56433289045418
POC-259,Host,site2,Pocillopora,0.5873046052207372,timepoint4,22.677093238032256
POC-259,Sym,site2,Pocillopora,0.1921089830161278,timepoint4,26.881535552042347
POC-346,Host,site3,Pocillopora,2.2489533491425804,timepoint4,81.3831773362239
POC-346,Sym,site3,Pocillopora,0.9699433304050628,timepoint4,95.64627620841762
POC-358,Host,site3,Pocillopora,2.7775763522455885,timepoint4,140.8408502696105
POC-358,Sym,site3,Pocillopora,1.0194296186433482,timepoint4,171.13120685138665
POC-359,Host,site3,Pocillopora,2.6888831135421523,timepoint4,154.91025179250343
POC-359,Sym,site3,Pocillopora,0.6371760932564294,timepoint4,179.97038754027884
POC-366,Host,site3,Pocillopora,2.62919690294906,timepoint4,128.28334603205306
POC-366,Sym,site3,Pocillopora,1.8914120577337548,timepoint4,155.68601661034046
POC-369,Host,site3,Pocillopora,2.302157225170435,timepoint4,76.63527224557738
POC-369,Sym,site3,Pocillopora,0.9565969239204065,timepoint4,92.10210052622108
