colony_id,site,species,cells.cm2,timepoint
POC-371,site3,Pocillopora,100614.99972934548,timepoint4
POC-372,site3,Pocillopora,65159.898466217644,timepoint4
POC-373,site3,Pocillopora,100527.1636476379,timepoint4
POC-375,site3,Pocillopora,284777.50295795326,timepoint4
POC-377,site3,Pocillopora,118565.73086679712,timepoint4
POC-378,site3,Pocillopora,NA,timepoint4
POC-386,site3,Pocillopora,136522.57198246132,timepoint4
POC-391,site3,Pocillopora,145730.10016575077,timepoint4
POC-394,site3,Pocillopora,91259.22660216375,timepoint4
POC-395,site3,Pocillopora,193798.08913786622,timepoint4
POC-40,site1,Pocillopora,169623.2665876964,timepoint4
POC-42,site1,Pocillopora,190826.9495243963,timepoint4
POC-43,site1,Pocillopora,258031.60594999004,timepoint4
POC-44,site1,Pocillopora,152985.07778674478,timepoint4
POC-45,site1,Pocillopora,338331.8179352096,timepoint4
POC-47,site1,Pocillopora,211962.08422469624,timepoint4
POC-48,site1,Pocillopora,265017.19456824835,timepoint4
POC-50,site1,Pocillopora,150850.27054240147,timepoint4
POC-52,site1,Pocillopora,99695.47370365994,timepoint4
POC-53,site1,Pocillopora,113612.19504311559,timepoint4
POC-55,site1,Pocillopora,NA,timepoint4
POC-57,site1,Pocillopora,81342.51895637477,timepoint4
POC-68,site1,Pocillopora,343200.1482021254,timepoint4
POR-209,site2,Porites,445936.2452319906,timepoint4
POR-214,site2,Porites,736494.7950396016,timepoint4
POR-216,site2,Porites,290682.3864271737,timepoint4
POR-221,site2,Porites,895724.3013455592,timepoint4
POR-224,site2,Porites,601640.340089416,timepoint4
POR-240,site2,Porites,895596.1604506952,timepoint4
POR-242,site2,Porites,NA,timepoint4
POR-251,site2,Porites,675227.6183657458,timepoint4
POR-253,site2,Porites,696079.4167392758,timepoint4
POR-254,NA,NA,NA,timepoint4
POR-260,site2,Porites,678725.4412595796,timepoint4
POR-262,site2,Porites,564081.4203000816,timepoint4
POR-338,site3,Porites,535213.5078250702,timepoint4
POR-340,site3,Porites,1218693.5164079594,timepoint4
POR-341,site3,Porites,905751.8828505218,timepoint4
POR-349,site3,Porites,519637.1851500976,timepoint4
POR-353,site3,Porites,NA,timepoint4
POR-354,site3,Porites,395825.12096865295,timepoint4
POR-357,site3,Porites,459296.6121088361,timepoint4
POR-362,site3,Porites,1224615.74071842,timepoint4
POR-365,site3,Porites,NA,timepoint4
POR-367,site3,Porites,755867.8360964834,timepoint4
POR-381,site3,Porites,671555.5994177111,timepoint4
POR-383,site3,Porites,1277649.2466830749,timepoint4
POR-384,site3,Porites,1089432.142860917,timepoint4
POR-387,NA,NA,NA,timepoint4
POR-69,site1,Porites,639116.7826928615,timepoint4
POR-70,site1,Porites,1322574.4780783677,timepoint4
POR-71,site1,Porites,1818105.095134138,timepoint4
POR-72,site1,Porites,967474.6610961293,timepoint4
POR-73,site1,Porites,1105196.8247156832,timepoint4
POR-74,site1,Porites,2577210.21224845,timepoint4
POR-75,site1,Porites,NA,timepoint4
POR-76,site1,Porites,974746.3143741842,timepoint4
POR-79,site1,Porites,1032558.8876438622,timepoint4
POR-81,site1,Porites,1783449.5682690004,timepoint4
POR-82,site1,Porites,717536.4724310947,timepoint4
POR-83,site1,Porites,1145630.8672269278,timepoint4
ACR-165,site1,Acropora,NA,timepoint4
ACR-193,site1,Acropora,NA,timepoint4
ACR-51,site1,Acropora,NA,timepoint4
ACR-140,site1,Acropora,NA,timepoint4
ACR-190,site1,Acropora,NA,timepoint4
ACR-231,site2,Acropora,NA,timepoint4
ACR-243,site2,Acropora,NA,timepoint4
ACR-228,site2,Acropora,NA,timepoint4
ACR-246,site2,Acropora,NA,timepoint4
ACR-265,site2,Acropora,NA,timepoint4
ACR-247,site2,Acropora,NA,timepoint4
ACR-258,site2,Acropora,NA,timepoint4
ACR-370,site3,Acropora,NA,timepoint4
ACR-379,site3,Acropora,NA,timepoint4
ACR-374,site3,Acropora,NA,timepoint4
ACR-345,site3,Acropora,NA,timepoint4
ACR-364,site3,Acropora,NA,timepoint4
ACR-376,site3,Acropora,NA,timepoint4
ACR-396,site3,Acropora,NA,timepoint4
ACR-360,site3,Acropora,NA,timepoint4
ACR-347,site3,Acropora,NA,timepoint4
ACR-350,site3,Acropora,NA,timepoint4
ACR-351,site3,Acropora,NA,timepoint4
ACR-363,site3,Acropora,NA,timepoint4
POC-41,site1,Pocillopora,NA,timepoint4
POC-56,site1,Pocillopora,NA,timepoint4
POC-201,site2,Pocillopora,NA,timepoint4
POC-215,site2,Pocillopora,NA,timepoint4
POC-217,site2,Pocillopora,NA,timepoint4
POC-232,site2,Pocillopora,NA,timepoint4
POR-77,site1,Porites,NA,timepoint4
POR-78,site1,Porites,NA,timepoint4
POR-80,site1,Porites,NA,timepoint4
POR-235,site2,Porites,NA,timepoint4
POR-236,site2,Porites,NA,timepoint4
POR-245,site2,Porites,NA,timepoint4
POR-266,site2,Porites,NA,timepoint4
POR-355,site3,Porites,NA,timepoint4
POR-385,site3,Porites,NA,timepoint4
POC-242,NA,NA,NA,timepoint4
POC-27,NA,NA,NA,timepoint4
ACR-218,NA,NA,NA,timepoint4
ACR-375,NA,NA,NA,timepoint4
POR-252,NA,NA,NA,timepoint4
ACR-344,NA,NA,NA,timepoint4
POR-98,NA,NA,NA,timepoint4
POR-555,NA,NA,NA,timepoint4
POC-368,NA,NA,NA,timepoint4
