SampleID,TA,Mass,TA_evap,Salinity
ACR-139_20200915_10,2300.485303,60.1274,2288.71477,36.13
BK-8_20200914_8,2323.286806,60.0365,2310.086313,36.16
POR-70_20200916_11,2293.70258,60.0661,2279.37508,36.13
POR-260_20200914_7,2216.004333,59.9607,2200.912363,35.93
POR-209_20200912_4,2243.00126,59.9955,2226.461829,36.11
POR-262_20200913_6,2309.143829,60.1321,2290.817291,36.13
POR-214_20200912_4,2253.585471,59.8515,2234.433187,36.16
POR-245_20200913_5,2187.665068,60.0428,2167.844773,36.19
POC-371_20200909_1,2272.141932,59.9766,2250.282049,36.21
POC-257_20200914_7,2266.5213,60.0345,2243.445857,36.05
POR-76_20200914_8,2226.91548,60.4601,2202.997224,36.14
ACR-210_20200913_5,2266.667393,59.7542,2241.055332,36.16
ACR-364_20200912_3,2231.661695,59.9025,2205.199303,36.18
Initial2_20200913_6,2332.678478,60.273,2303.717458,36.21
ACR-237_20200914_7,2263.221452,60.2248,2233.862121,36.08
Initial1_20200913_6,2330.260357,60.2292,2298.734851,36.2
ACR-143_20200916_11,2309.474943,59.7765,2276.947127,36.16
POC-254_20200914_8,2287.649033,59.7061,2254.158675,36.13
POC-207_20200914_8,2334.990676,59.5757,2332.325162,36.19
Initial2_20200913_5,2356.13763,59.9884,2352.105449,36.11
POC-42_20200915_9,2351.202277,59.655,2345.840356,36.13
BK-11_20200916_11,2354.484509,60.4868,2347.776576,36.14
Initial1_20200912_3,2347.878679,60.1322,2339.856315,36.25
POC-377_20200912_4,2329.504633,59.8302,2320.223738,36.24
BK-7_20200914_7,2340.888578,59.7729,2330.23607,36.06
ACR-218_20200914_7,2263.035496,60.2002,2251.456576,36.12
POC-68_20200915_9,2316.764036,60.1294,2303.600604,36.23
BK-3_20200912_3,2346.753941,59.9889,2332.095058,36.28
Initial2_20200916_11,2346.249684,60.3172,2330.270685,36.21
POC-200_20200913_5,2316.281042,60.5494,2299.201261,36.2
POR-81_20200914_8,2264.843065,60.2914,2246.86812,36.25
ACR-178_20200915_10,2282.768175,59.5835,2263.367879,36.21
BK-6_20200913_6,2355.165938,59.813,2333.828082,36.21
ACR-220_20200912_4,2263.331768,59.8119,2241.556647,36.21
POR-216_20200914_7,2249.790023,60.0695,2226.884921,36.11
POC-43_20200915_9,2338.907204,59.7265,2313.786097,36.25
ACR-175_20200914_8,2324.283355,59.5282,2298.020266,36.19
POC-255_20200912_4,2328.535536,59.9063,2300.924442,36.13
Initial2_20200914_8,2346.72626,59.8898,2317.590832,36.19
POC-366_20200912_4,2339.664404,60.4108,2336.993554,36.2
Initial1_20200913_5,2363.88908,60.0473,2359.843633,36.13
ACR-186_20200915_10,2302.76799,59.9428,2297.516524,36.2
ACR-140_20200916_11,2344.318958,59.8587,2337.639986,36.12
POR-71_20200916_11,2271.170088,59.9535,2263.409826,36.03
POR-251_20200913_6,2215.543527,59.5779,2206.71666,36.2
POC-48_20200915_9,2328.735381,59.6577,2318.138178,36.17
POC-57_20200914_8,2342.115279,60.3579,2330.131744,36.19
POR-73_20200916_11,2273.030045,60.1943,2260.115101,36.22
POR-221_20200913_6,2280.654954,60.2386,2266.408955,36.13
Initial1_20200916_11,2350.891644,59.8138,2334.881031,36.15
ACR-244_20200913_5,2305.212129,60.1405,2288.213968,36.14
POC-259_20200914_7,2335.428748,59.7525,2316.8936,36.09
POR-82_20200916_11,2242.789732,60.3408,2223.729196,36.18
BK-5_20200913_5,2370.051547,60.2492,2348.578827,36.2
ACR-229_20200912_4,2330.218113,60.2157,2307.799489,36.26
ACR-241_20200913_5,2317.16678,60.2639,2293.575716,36.14
Initial2_20200915_9,2366.407094,60.3133,2340.990625,36.1
POC-205_20200913_6,2347.324095,59.7517,2320.800659,36.2
ACR-173_20200916_11,2287.242133,59.8397,2260.120684,36.07
