"","colony_id","colony_id_corr","species","timepoint","month","site","nutrient","site_code","cre.umol.mgprot","Host_AFDW.mg.cm2","Sym_AFDW.mg.cm2","Host_DW.mg.cm2","Sym_DW.mg.cm2","chla.ug.cm2","chlc2.ug.cm2","prot_ug.cm2","surface.area.cm2","cells.cm2","Am","AQY","Rd","calc.umol.cm2.hr","code","mgprot","mgafdw","cells","cells.mgprot","cells.mgAFDW","chla.ug.mgprot","chla.ug.mgAFDW","chlc2.ug.mgprot","chlc2.ug.mgAFDW","prot_mg.cm2","prot_mg.mgafdw","cre.umol.mgafdw","cre.umol.cm2","chla.ug.cell","chlc2.ug.cell","calc.umol.mgprot.hr","calc.umol.mgAFDW.hr","Ratio_AFDW.mg.cm2","Total_Chl","Total_Chl_cell"
"11","ACR-173","ACR-173","Acropora","timepoint4","November 2020","Manava","High","Manava High",0.343994742497722,1.01994031052399,0.799953184724654,205.127995393029,253.140899842639,1.35285416090024,0.354504253518151,325.858147744905,35.0020482881587,279983.614653642,0.622963842698408,0.00229337804461453,0.148512275913643,0,"ACR-173 - timepoint4",11.4057026224571,35.7000000000003,9800000,859219.315494374,274509.803921566,4.15166590205782,1.32640522875816,1.08790974223444,0.347573529411762,0.325858147744905,0.319487468416163,0.109902009429067,0.112093489624293,4.83190476190476e-06,1.26616071428571e-06,0,0,0.439560439560426,1.67397875816992,6.09806547619048e-06
"12","ACR-178","ACR-178","Acropora","timepoint2","March 2020","Manava","High","Manava High",0.112767013161506,1.0730723191555,0.701434887521388,69.3871589603747,93.927535323447,1.85463896414897,0.48079054483263,416.636021963189,23.3628242500281,520948.71763283,NA,NA,NA,0.42988633117463,"ACR-178 - timepoint2",9.73379415735684,25.0699999999999,12170833.3333333,1250368.88355961,485474.006116209,4.45146090683641,1.72834480122325,1.15398217985844,0.448050458715598,0.416636021963189,0.388264625343314,0.0437834421162365,0.0469827997722803,3.56011811023622e-06,9.22913385826772e-07,1.03180308113784,0.400612636726059,0.39528432732317,2.17639525993884,4.48303149606299e-06
"13","ACR-178","ACR-178","Acropora","timepoint3","September 2020","Manava","High","Manava High",0.264076452990219,0.720255540087371,0.418753220981066,170.71473618665,209.999586436192,1.28906199858662,0.397501495016247,479.019664525646,38.8056716601016,292661.973330078,0.694875653943912,0.00157140718332823,0.308580901794471,0.327087777434353,"ACR-178 - timepoint3",18.5886798203142,27.9499999999997,11356944.4444444,610960.248615034,406330.74935401,2.69104192176145,1.78972868217056,0.829822916372081,0.551889534883727,0.479019664525646,0.665069045449533,0.175629074515904,0.126497813920497,4.40461049284579e-06,1.35822734499205e-06,0.682827452936104,0.45412740233095,0.367647058823549,2.34161821705429,5.76283783783784e-06
"14","ACR-178","ACR-178","Acropora","timepoint4","November 2020","Manava","High","Manava High",0.341825291529038,0.715530010992324,0.75921062212847,69.2800492983259,90.3746644334382,2.04041494747958,0.694199312554167,240.843045057546,38.461000345512,277337.213562917,0.952835963338385,0.00249971132827182,0.361786429491497,0.00339106655339929,"ACR-178 - timepoint4",9.26306443917244,27.52,10666666.6666667,1151526.76921458,387596.899224806,8.47196956421163,2.85161337209302,2.88237226193639,0.970188953488373,0.240843045057546,0.336593911307138,0.115056311859462,0.0823262440895369,7.3571625e-06,2.5030875e-06,0.0140799853804748,0.00473923735036135,0.514809590973197,3.8218023255814,9.86025e-06
"15","ACR-180","ACR-180","Acropora","timepoint1","January 2020","Manava","High","Manava High",0.118145705056098,1.62711338153373,1.17965720161186,315.575386121688,390.302195282003,3.38259922923121,2.99063439525885,NA,15.3646330266401,698302.826241525,NA,NA,NA,0,"ACR-180 - timepoint1",NA,25.0000000000012,10729166.6666667,NA,429166.666666645,NA,2.07889583333323,NA,1.83799999999991,NA,NA,NA,NA,4.84402912621359e-06,4.28271844660194e-06,NA,0,0.420289855072445,3.91689583333314,9.12674757281553e-06
"16","ACR-180","ACR-180","Acropora","timepoint4","November 2020","Manava","High","Manava High",0.225349329559286,0.505304027143271,0.503330183287229,56.9526326738905,76.4107854066181,0.936134925598574,0.498750865541248,210.003554765871,30.3975412324295,214820.006331087,0.81568123579019,0.00243650686496438,0.348568542509586,0.0183122551395525,"ACR-180 - timepoint4",6.38359171495233,15.3600000000003,6530000,1022935.09541106,425130.208333326,4.45770990230262,1.85261718749997,2.37496391952649,0.987031249999983,0.210003554765871,0.415598418942202,0.0936548250745243,0.0473241602715557,4.35776416539051e-06,2.32171516079633e-06,0.0871997388804609,0.0362400736108924,0.49902152641878,2.83964843749995,6.67947932618683e-06
"17","ACR-185","ACR-185","Acropora","timepoint1","January 2020","Manava","High","Manava High",0.131664846071164,2.31788884769683,0.740436715236543,235.825874512758,297.642682364806,4.01828566778714,2.53232575900948,NA,15.5313746108969,1161806.01501842,NA,NA,NA,0.00878885193770193,"ACR-185 - timepoint1",NA,35.9999999999996,18044444.4444444,NA,501234.56790124,NA,1.73359722222224,NA,1.0925138888889,NA,NA,NA,NA,3.45865455665025e-06,2.17964593596059e-06,NA,0.0037917486623377,0.242105263157909,2.82611111111114,5.63830049261084e-06
"18","ACR-185","ACR-185","Acropora","timepoint4","November 2020","Manava","High","Manava High",0.434255878070027,1.37425640712319,0.702744753642521,93.4834085301687,120.248805496095,1.37133697984419,0.485882928185155,265.946497747529,36.4997388696931,278495.143110197,0.863054638386671,0.00232182774781468,0.366505681842689,0,"ACR-185 - timepoint4",9.70697772109425,50.1599999999991,10165000,1047184.84909164,202651.515151519,5.15643932692824,0.997875631313149,1.82699502456474,0.353560606060613,0.265946497747529,0.193520289495503,0.0840373232392354,0.115488829899002,4.92409657320872e-06,1.74467289719626e-06,0,0,0.338345864661648,1.35143623737376,6.66876947040499e-06
"19","ACR-187","ACR-187","Acropora","timepoint1","January 2020","Manava","High","Manava High",0.0804798464629962,0.830154409249753,0.743679991619601,133.591214717833,167.577044437177,1.49615443151212,0.47809976019375,NA,36.1378553986271,364729.877026856,NA,NA,NA,0.0050713532641012,"ACR-187 - timepoint1",NA,30.0000000000002,13180555.5555556,NA,439351.851851848,NA,1.80226041666665,NA,0.575916666666662,NA,NA,NA,NA,4.10208904109589e-06,1.31083245521602e-06,NA,0.00610892769778144,0.472527472527483,2.37817708333331,5.41292149631191e-06
"20","ACR-187","ACR-187","Acropora","timepoint4","November 2020","Manava","High","Manava High",0.32748892373415,1.10340413513512,0.646823113699899,67.0076132862994,84.1862024433822,2.7415153775955,0.885481818445937,270.905864939055,45.9940273776345,257778.035018637,0.912566741237572,0.00264885690513555,0.166862250108306,0.00707760901727587,"ACR-187 - timepoint4",12.4600517687687,50.7499999999999,11856250,951540.990360722,233620.689655173,10.119808141519,2.48459770114943,3.26859597020958,0.802500000000002,0.270905864939055,0.245518261453571,0.0804045112005093,0.0887186701421601,1.06351783517835e-05,3.43505535055351e-06,0.0261257135162729,0.00641433976174936,0.369565217391305,3.28709770114944,1.4070233702337e-05
