colony_id_corr,site,species,haplotype
POR-71,Manava,Porites,Porites evermanni
POR-72,Manava,Porites,Porites evermanni
POR-73,Manava,Porites,Porites evermanni
POR-74,Manava,Porites,Porites evermanni
POR-75,Manava,Porites,Porites evermanni
POR-76,Manava,Porites,Porites evermanni
POR-77,Manava,Porites,Porites evermanni
POR-78,Manava,Porites,Porites evermanni
POR-79,Manava,Porites,Porites evermanni
POR-80,Manava,Porites,Porites evermanni
POR-81,Manava,Porites,Porites evermanni
POR-82,Manava,Porites,Porites evermanni
POR-83,Manava,Porites,Porites evermanni
POR-209,Mahana,Porites,Porites lobata lutea
POR-214,Mahana,Porites,Porites lobata lutea
POR-221,Mahana,Porites,Porites lobata lutea
POR-224,Mahana,Porites,Porites lobata lutea
POR-240,Mahana,Porites,Porites lobata lutea
POR-242,Mahana,Porites,Porites lobata lutea
POR-251,Mahana,Porites,Porites lobata lutea
POR-253,Mahana,Porites,Porites lobata lutea
POR-266,Mahana,Porites,Porites lobata lutea
POR-353,Hilton,Porites,Porites lobata lutea
POR-381,Hilton,Porites,Porites lobata lutea
POR-384,Hilton,Porites,Porites lobata lutea
