n. ,timepoint,collection_site,colony_id,Extraction Date,Tech,Primerset,PCR.Date,PCR Notes,GSC Sanger Date,GSC.Seq.Run,GSC.For,GSC.Rev,Qubit 1,Qubit 2,Qubit AVG,Nanodrop
NOT E5,NOT E5,NOT E5,RS11D,20221111,ZD,mtORF,4/11/23,NA,4/18/23,ZD_230419,ZD67_230419,ZD68_230419,9.22,9.54,9.38,88.6
NOT E5,NOT E5,NOT E5,RF16A,20221111,ZD,mtORF,4/12/23,NA,4/18/23,ZD_230419,ZD61_230419,ZD62_230419,13.4,13.4,13.4,113.3
NOT E5,NOT E5,NOT E5,RF24B,20221102,ZD,mtORF,4/12/23,NA,4/18/23,ZD_230419,ZD63_230419,ZD64_230419,15.7,15.7,15.7,109.9
269,TP2,site2,POR-221,20211102,KXT,H2,4/13/23,NA,4/18/23,ZD_230419,ZD69_230419,ZD70_230419,NA,NA,NA,99.2
271,TP2,site2,POR-253,20211112,KXT,H2,4/13/23,NA,4/18/23,ZD_230419,ZD71_230419,ZD72_230419,NA,NA,NA,103.8
275,TP2,site2,POR-240,20211007,KXT,H2,4/13/23,NA,4/18/23,ZD_230419,ZD73_230419,ZD74_230419,NA,NA,NA,141.5
279,TP2,site2,POR-206/POR-251,20211115,KXT,H2,4/13/23,NA,4/18/23,ZD_230419,ZD75_230419,ZD76_230419,NA,NA,NA,155.5
281,TP2,site2,POR-216,20211004,KXT,H2,4/13/23,NA,4/18/23,ZD_230419,ZD77_230419,ZD78_230419,NA,NA,NA,143.7
283,TP2,site2,POR-209,20211108,KXT,H2,4/13/23,NA,4/18/23,ZD_230419,ZD79_230419,ZD80_230419,NA,NA,NA,146.9
285,TP2,site2,POR-266,20211112,KXT,H2,4/13/23,NA,4/18/23,ZD_230419,ZD81_230419,ZD82_230419,NA,NA,NA,138.6
287,TP2,site2,POR-235,20220201,KXT,H2,4/13/23,NA,4/18/23,ZD_230419,ZD83_230419,ZD84_230419,NA,NA,NA,99.9
293,TP2,site2,POR-224,20211105,KXT,H2,4/13/23,NA,4/18/23,ZD_230419,ZD85_230419,ZD86_230419,NA,NA,NA,113.5
297,TP2,site2,POR-245,20210924,KXT,H2,4/13/23,NA,4/18/23,ZD_230419,ZD87_230419,ZD88_230419,NA,NA,NA,154.3
313,TP2,site2,POR-214,20210907,KXT,H2,4/13/23,Double Band in Gel,Double Band in Gel,,Double Band in Gel,Double Band in Gel,,,,
319,TP2,site2,POR-236,20210923,KXT,H2,4/13/23,NA,4/18/23,ZD_230419,ZD89_230419,ZD90_230419,NA,NA,NA,149.2
327,TP2,site2,POR-260,20210930,KXT,H2,4/13/23,NA,4/18/23,ZD_230419,ZD91_230419,ZD92_230419,NA,NA,NA,109.8
333,TP2,site2,POR-242,20210913,KXT,H2,4/13/23,NA,4/18/23,ZD_230419,ZD93_230419,ZD94_230419,NA,NA,NA,110.3
351,TP2,site3,POR-357,20211019,KXT,H2,4/13/23,NA,4/18/23,ZD_230419,ZD95_230419,ZD96_230419,NA,NA,NA,129.8
353,TP2,site3,POR-353,20210831,KXT,H2,4/13/23,NA,4/18/23,ZD_230419,ZD97_230419,ZD98_230419,NA,NA,NA,153.3
357,TP2,site3,POR-341,20210916,KXT,H2,4/13/23,NA,4/18/23,ZD_230419,ZD99_230419,ZD100_230419,NA,NA,NA,129.9
361,TP2,site3,POR-355,20210913,KXT,H2,4/13/23,NA,4/18/23,ZD_230419,ZD101_230419,ZD102_230419,NA,NA,NA,133.4
371,TP2,site3,POR-338,20210913,KXT,H2,4/13/23,NA,4/18/23,ZD_230419,ZD103_230419,ZD104_230419,NA,NA,NA,95.4
375,TP2,site3,POR-349,20210920,KXT,H2,4/13/23,NA,4/18/23,ZD_230419,ZD105_230419,ZD106_230419,NA,NA,NA,135.5
379,TP2,site3,POR-383,20211012,KXT,H2,4/13/23,NA,4/18/23,ZD_230419,ZD107_230419,ZD108_230419,NA,NA,NA,130
381,TP2,site3,POR-365,20211001,KXT,H2,4/13/23,NA,4/18/23,ZD_230419,ZD109_230419,ZD110_230419,NA,NA,NA,153.3
409,TP2,site3,POR-340,20210903,KXT,H2,4/13/23,Double Band in Gel,Double Band in Gel,,Double Band in Gel,Double Band in Gel,,,,
445,TP2,site3,POR-367,20211018,KXT,H2,4/13/23,NA,4/18/23,ZD_230419,ZD111_230419,ZD112_230419,NA,NA,NA,144.7
451,TP2,site3,POR-384,20211005,KXT,H2,4/13/23,NA,4/18/23,ZD_230419,ZD113_230419,ZD114_230419,NA,NA,NA,122.8
453,TP2,site3,POR-354,20211028,KXT,H2,4/13/23,NA,4/18/23,ZD_230419,ZD115_230419,ZD116_230419,NA,NA,NA,106.7
459,TP2,site3,POR-385,20220208,KXT,H2,4/13/23,NA,4/18/23,ZD_230419,ZD117_230419,ZD118_230419,NA,NA,NA,114.5
461,TP2,site3,POR-381,20211118,KXT,H2,4/13/23,NA,4/18/23,ZD_230419,ZD119_230419,ZD120_230419,NA,NA,NA,124.7
707,TP3,site3,POR-362,20211020,KXT,H2,4/13/23,No band on gel,4/18/23,ZD_230419,ZD121_230419,ZD122_230419,NA,NA,NA,61.8
877,TP4,site2,POR-262,20211018,KXT,H2,4/13/23,NA,4/18/23,ZD_230419,ZD123_230419,ZD124_230419,NA,NA,NA,115.9
27,TP1,site2,POR-214,20211028,KXT,H2,4/17/23,tried other timepoint of double banded samples then performed gel extraction,4/24/23,ZD_230425A,ZD125,ZD126,21,21,21,32.1
605,TP3,site3,POR-340,20210923,KXT,H2,4/17/23,tried other timepoint of double banded samples then performed gel extraction,4/24/23,ZD_230425A,ZD127,ZD128,29.8,29.8,29.8,40.4
