sample_name,fastq_fwd_file_name,fastq_rev_file_name,sample_type,host_phylum,host_class,host_order,host_family,host_genus,host_species,collection_latitude,collection_longitude,collection_date,collection_depth
ACR_145_TP4,ACR-145-TP4_S104_L001_R1_001.fastq.gz,ACR-145-TP4_S104_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20201101,2
ACR_150_TP1,ACR-150-TP1_S282_L001_R1_001.fastq.gz,ACR-150-TP1_S282_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20200110,2
ACR_150_TP2,ACR-150-TP2_S35_L001_R1_001.fastq.gz,ACR-150-TP2_S35_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20200305,2
ACR_150_TP3,ACR-150-TP3_S189_L001_R1_001.fastq.gz,ACR-150-TP3_S189_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20200911,2
ACR_150_TP4,ACR-150-TP4_S110_L001_R1_001.fastq.gz,ACR-150-TP4_S110_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20201101,2
ACR_165_TP1,ACR-165-TP1_S285_L001_R1_001.fastq.gz,ACR-165-TP1_S285_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20200110,2
ACR_173_TP1,ACR-173-TP1_S251_L001_R1_001.fastq.gz,ACR-173-TP1_S251_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20200110,2
ACR_173_TP2,ACR-173-TP2_S31_L001_R1_001.fastq.gz,ACR-173-TP2_S31_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20200305,2
ACR_173_TP3,ACR-173-TP3_S188_L001_R1_001.fastq.gz,ACR-173-TP3_S188_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20200911,2
ACR_173_TP4,ACR-173-TP4_S117_L001_R1_001.fastq.gz,ACR-173-TP4_S117_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20201101,2
ACR_175_TP1,ACR-175-TP1_S242_L001_R1_001.fastq.gz,ACR-175-TP1_S242_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20200110,2
ACR_175_TP3,ACR-175-TP3_S186_L001_R1_001.fastq.gz,ACR-175-TP3_S186_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20200911,2
ACR_175_TP4,ACR-175-TP4_S100_L001_R1_001.fastq.gz,ACR-175-TP4_S100_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20201101,2
ACR_176_TP1,ACR-176-TP1_S272_L001_R1_001.fastq.gz,ACR-176-TP1_S272_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20200110,2
ACR_176_TP4,ACR-176-TP4_S114_L001_R1_001.fastq.gz,ACR-176-TP4_S114_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20201101,2
ACR_178_TP2,ACR-178-TP2_S41_L001_R1_001.fastq.gz,ACR-178-TP2_S41_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20200305,2
ACR_178_TP3,ACR-178-TP3_S187_L001_R1_001.fastq.gz,ACR-178-TP3_S187_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20200911,2
ACR_178_TP4,ACR-178-TP4_S125_L001_R1_001.fastq.gz,ACR-178-TP4_S125_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20201101,2
ACR_180_TP1,ACR-180-TP1_S261_L001_R1_001.fastq.gz,ACR-180-TP1_S261_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20200110,2
ACR_180_TP4,ACR-180-TP4_S128_L001_R1_001.fastq.gz,ACR-180-TP4_S128_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20201101,2
ACR_185_TP1,ACR-185-TP1_S244_L001_R1_001.fastq.gz,ACR-185-TP1_S244_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20200110,2
ACR_185_TP4,ACR-185-TP4_S119_L001_R1_001.fastq.gz,ACR-185-TP4_S119_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20201101,2
ACR_186_TP1,ACR-186-TP1_S241_L001_R1_001.fastq.gz,ACR-186-TP1_S241_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20200110,2
ACR_186_TP2,ACR-186-TP2_S53_L001_R1_001.fastq.gz,ACR-186-TP2_S53_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20200305,2
ACR_186_TP3,ACR-186-TP3_S140_L001_R1_001.fastq.gz,ACR-186-TP3_S140_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20200911,2
ACR_186_TP4,ACR-186-TP4_S98_L001_R1_001.fastq.gz,ACR-186-TP4_S98_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20201101,2
ACR_187_TP1,ACR-187-TP1_S46_L001_R1_001.fastq.gz,ACR-187-TP1_S46_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20200110,2
ACR_187_TP4,ACR-187-TP4_S132_L001_R1_001.fastq.gz,ACR-187-TP4_S132_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20201101,2
ACR_190_TP1,ACR-190-TP1_S50_L001_R1_001.fastq.gz,ACR-190-TP1_S50_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20200110,2
ACR_190_TP2,ACR-190-TP2_S56_L001_R1_001.fastq.gz,ACR-190-TP2_S56_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20200305,2
ACR_190_TP3,ACR-190-TP3_S181_L001_R1_001.fastq.gz,ACR-190-TP3_S181_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20200911,2
ACR_190_TP4,ACR-190-TP4_S121_L001_R1_001.fastq.gz,ACR-190-TP4_S121_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20201101,2
ACR_193_TP1,ACR-193-TP1_S262_L001_R1_001.fastq.gz,ACR-193-TP1_S262_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.476872,-149.80594,20200110,2
ACR_210_TP3,ACR-210-TP3_S131_L001_R1_001.fastq.gz,ACR-210-TP3_S131_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20200910,2
ACR_210_TP4,ACR-210-TP4_S111_L001_R1_001.fastq.gz,ACR-210-TP4_S111_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20201030,2
ACR_213_TP3,ACR-213-TP3_S137_L001_R1_001.fastq.gz,ACR-213-TP3_S137_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20200910,2
ACR_213_TP4,ACR-213-TP4_S130_L001_R1_001.fastq.gz,ACR-213-TP4_S130_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20201030,2
ACR_218_TP3,ACR-218-TP3_S138_L001_R1_001.fastq.gz,ACR-218-TP3_S138_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20200910,2
ACR_218_TP4,ACR-218-TP4_S103_L001_R1_001.fastq.gz,ACR-218-TP4_S103_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20201030,2
ACR_220_TP3,ACR-220-TP3_S136_L001_R1_001.fastq.gz,ACR-220-TP3_S136_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20200910,2
ACR_220_TP4,ACR-220-TP4_S102_L001_R1_001.fastq.gz,ACR-220-TP4_S102_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20201030,2
ACR_225_TP1,ACR-225-TP1_S267_L001_R1_001.fastq.gz,ACR-225-TP1_S267_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20200103,2
ACR_225_TP2,ACR-225-TP2_S43_L001_R1_001.fastq.gz,ACR-225-TP2_S43_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20200303,2
ACR_225_TP3,ACR-225-TP3_S142_L001_R1_001.fastq.gz,ACR-225-TP3_S142_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20200910,2
ACR_225_TP4,ACR-225-TP4_S129_L001_R1_001.fastq.gz,ACR-225-TP4_S129_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20201030,2
ACR_228_TP1,ACR-228-TP1_S232_L001_R1_001.fastq.gz,ACR-228-TP1_S232_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20200103,2
ACR_228_TP4,ACR-228-TP4_S124_L001_R1_001.fastq.gz,ACR-228-TP4_S124_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20201030,2
ACR_229_TP1,ACR-229-TP1_S287_L001_R1_001.fastq.gz,ACR-229-TP1_S287_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20200103,2
ACR_229_TP2,ACR-229-TP2_S48_L001_R1_001.fastq.gz,ACR-229-TP2_S48_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20200303,2
ACR_229_TP3,ACR-229-TP3_S185_L001_R1_001.fastq.gz,ACR-229-TP3_S185_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20200910,2
ACR_229_TP4,ACR-229-TP4_S109_L001_R1_001.fastq.gz,ACR-229-TP4_S109_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20201030,2
ACR_231_TP1,ACR-231-TP1_S249_L001_R1_001.fastq.gz,ACR-231-TP1_S249_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20200103,2
ACR_234_TP1,ACR-234-TP1_S281_L001_R1_001.fastq.gz,ACR-234-TP1_S281_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20200103,2
ACR_234_TP4,ACR-234-TP4_S127_L001_R1_001.fastq.gz,ACR-234-TP4_S127_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20201030,2
ACR_237_TP1,ACR-237-TP1_S230_L001_R1_001.fastq.gz,ACR-237-TP1_S230_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20200103,2
ACR_237_TP2,ACR-237-TP2_S54_L001_R1_001.fastq.gz,ACR-237-TP2_S54_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20200303,2
ACR_237_TP3,ACR-237-TP3_S133_L001_R1_001.fastq.gz,ACR-237-TP3_S133_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20200910,2
ACR_237_TP4,ACR-237-TP4_S116_L001_R1_001.fastq.gz,ACR-237-TP4_S116_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20201030,2
ACR_241_TP3,ACR-241-TP3_S144_L001_R1_001.fastq.gz,ACR-241-TP3_S144_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20200910,2
ACR_241_TP4,ACR-241-TP4_S106_L001_R1_001.fastq.gz,ACR-241-TP4_S106_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20201030,2
ACR_243_TP1,ACR-243-TP1_S254_L001_R1_001.fastq.gz,ACR-243-TP1_S254_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20200103,2
ACR_244_TP1,ACR-244-TP1_S286_L001_R1_001.fastq.gz,ACR-244-TP1_S286_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20200103,2
ACR_244_TP2,ACR-244-TP2_S36_L001_R1_001.fastq.gz,ACR-244-TP2_S36_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20200303,2
ACR_244_TP3,ACR-244-TP3_S134_L001_R1_001.fastq.gz,ACR-244-TP3_S134_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20200910,2
ACR_244_TP4,ACR-244-TP4_S118_L001_R1_001.fastq.gz,ACR-244-TP4_S118_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20201030,2
ACR_246_TP1,ACR-246-TP1_S250_L001_R1_001.fastq.gz,ACR-246-TP1_S250_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20200103,2
ACR_247_TP1,ACR-247-TP1_S331_L001_R1_001.fastq.gz,ACR-247-TP1_S331_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20200103,2
ACR_256_TP1,ACR-256-TP1_S259_L001_R1_001.fastq.gz,ACR-256-TP1_S259_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20200103,2
ACR_256_TP4,ACR-256-TP4_S105_L001_R1_001.fastq.gz,ACR-256-TP4_S105_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20201030,2
ACR_258_TP2a,ACR-258-TP2a_S55_L001_R1_001.fastq.gz,ACR-258-TP2a_S55_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20200303,2
ACR_258_TP2b,ACR-258-TP2b_S253_L001_R1_001.fastq.gz,ACR-258-TP2b_S253_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20200303,2
ACR_265_TP1,ACR-265-TP1_S255_L001_R1_001.fastq.gz,ACR-265-TP1_S255_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20200103,2
ACR_265_TP2,ACR-265-TP2_S44_L001_R1_001.fastq.gz,ACR-265-TP2_S44_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20200303,2
ACR_265_TP3,ACR-265-TP3_S141_L001_R1_001.fastq.gz,ACR-265-TP3_S141_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20200910,2
ACR_265_TP4,ACR-265-TP4_S122_L001_R1_001.fastq.gz,ACR-265-TP4_S122_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20201030,2
ACR_267_TP1,ACR-267-TP1_S248_L001_R1_001.fastq.gz,ACR-267-TP1_S248_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20200103,2
ACR_267_TP4,ACR-267-TP4_S123_L001_R1_001.fastq.gz,ACR-267-TP4_S123_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4871,-149.88766,20201030,2
ACR_268_TP2,ACR-268-TP2_S182_L001_R1_001.fastq.gz,ACR-268-TP2_S182_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,NA,NA,NA,2
ACR_314_TP1,ACR-314-TP1_S246_L001_R1_001.fastq.gz,ACR-314-TP1_S246_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,NA,NA,NA,2
ACR_343_TP1,ACR-343-TP1_S256_L001_R1_001.fastq.gz,ACR-343-TP1_S256_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4815,-149.84908,20200106,2
ACR_343_TP2,ACR-343-TP2_S49_L001_R1_001.fastq.gz,ACR-343-TP2_S49_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4815,-149.84908,20200304,2
ACR_343_TP3,ACR-343-TP3_S183_L001_R1_001.fastq.gz,ACR-343-TP3_S183_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4815,-149.84908,20200908,2
ACR_343_TP4,ACR-343-TP4_S99_L001_R1_001.fastq.gz,ACR-343-TP4_S99_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4815,-149.84908,20201031,2
ACR_345_TP1,ACR-345-TP1_S245_L001_R1_001.fastq.gz,ACR-345-TP1_S245_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4815,-149.84908,20200106,2
ACR_347_TP1,ACR-347-TP1_S247_L001_R1_001.fastq.gz,ACR-347-TP1_S247_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4815,-149.84908,20200106,2
ACR_347_TP2,ACR-347-TP2_S34_L001_R1_001.fastq.gz,ACR-347-TP2_S34_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4815,-149.84908,20200304,2
ACR_350_TP1,ACR-350-TP1_S269_L001_R1_001.fastq.gz,ACR-350-TP1_S269_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4815,-149.84908,20200106,2
ACR_350_TP2,ACR-350-TP2_S51_L001_R1_001.fastq.gz,ACR-350-TP2_S51_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4815,-149.84908,20200304,2
ACR_351_TP1,ACR-351-TP1_S278_L001_R1_001.fastq.gz,ACR-351-TP1_S278_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4815,-149.84908,20200106,2
ACR_351_TP2,ACR-351-TP2_S47_L001_R1_001.fastq.gz,ACR-351-TP2_S47_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4815,-149.84908,20200304,2
ACR_360_TP2,ACR-360-TP2_S37_L001_R1_001.fastq.gz,ACR-360-TP2_S37_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4815,-149.84908,20200304,2
ACR_363_TP1,ACR-363-TP1_S318_L001_R1_001.fastq.gz,ACR-363-TP1_S318_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4815,-149.84908,20200106,2
ACR_364_TP1,ACR-364-TP1_S243_L001_R1_001.fastq.gz,ACR-364-TP1_S243_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4815,-149.84908,20200106,2
ACR_364_TP2,ACR-364-TP2_S52_L001_R1_001.fastq.gz,ACR-364-TP2_S52_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4815,-149.84908,20200304,2
ACR_364_TP3,ACR-364-TP3_S139_L001_R1_001.fastq.gz,ACR-364-TP3_S139_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4815,-149.84908,20200908,2
ACR_364_TP4,ACR-364-TP4_S113_L001_R1_001.fastq.gz,ACR-364-TP4_S113_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4815,-149.84908,20201031,2
ACR_368_TP1,ACR-368-TP1_S32_L001_R1_001.fastq.gz,ACR-368-TP1_S32_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4815,-149.84908,20200106,2
ACR_368_TP4,ACR-368-TP4_S115_L001_R1_001.fastq.gz,ACR-368-TP4_S115_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4815,-149.84908,20201031,2
ACR_379_TP1,ACR-379-TP1_S273_L001_R1_001.fastq.gz,ACR-379-TP1_S273_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4815,-149.84908,20200106,2
ACR_389_TP1,ACR-389-TP1_S229_L001_R1_001.fastq.gz,ACR-389-TP1_S229_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4815,-149.84908,20200106,2
ACR_389_TP4,ACR-389-TP4_S120_L001_R1_001.fastq.gz,ACR-389-TP4_S120_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4815,-149.84908,20201031,2
ACR_390_TP1,ACR-390-TP1_S265_L001_R1_001.fastq.gz,ACR-390-TP1_S265_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidae,acropora,pulchra,-17.4815,-149.84908,20200106,2
