Date,Run.Number,Start.Time,Stop.Time,Chamber,Channel,Position,Species,Fragment.ID,Plug.ID,Site,Vol.ml,pH.mV,Temp.C,Salinity,Surface.Area,TA.Start.Time,TA.Stop.Time,Notes
20200306,5,19:08,20:38,4,4,6,,POR-355,355,3,0.595,-66.2,28.26,35.74,,18:59,20:51,
20200306,5,19:08,20:38,5,5,5,,POC-394,394,3,0.61,-65.3,28.2,35.75,,19:00,20:50,
20200306,5,19:08,20:38,6,6,8,,POR-367,367,3,0.6,-65.2,29.18,35.74,,18:59,20:43,
20200306,5,19:08,20:38,7,7,11,,BK-5,NA,NA,0.61,-63.6,29.03,35.67,,18:59,20:44,
20200306,5,19:08,20:38,8,8,9,,ACR-351,351,3,0.605,-62.3,28.6,36.03,,18:59,20:40,
20200306,5,19:08,20:38,9,9,12,,POR-353,353,3,0.605,-64.7,29.02,35.89,,18:59,20:42,
20200306,5,19:08,20:38,10,10,3,,POC-359,359,3,0.605,-65.4,28.33,35.68,,19:00,20:47,
20200307,6,11:05,12:35,1,1,1,,POR-383,383,3,0.595,-63.5,29,36.01,,10:58,12:46,
20200307,6,11:05,12:35,2,2,3,,POR-381,381,3,0.61,-62.7,28.97,36.07,,10:58,12:45,
20200307,6,11:05,12:35,3,3,12,,POR-341,341,3,0.615,-62.8,28.87,36.1,,10:59,12:41,
20200307,6,11:05,12:35,4,4,4,,ACR-343,343,3,0.615,-63.1,28.97,35.97,,10:59,12:48,
20200307,6,11:05,12:35,5,5,5,,ACR-396,396,3,0.615,-63.4,28.95,35.96,,10:59,12:49,
20200307,6,11:05,12:35,6,6,11,,ACR-350,350,3,0.61,-63.6,28.85,35.99,,10:58,12:44,
20200307,6,11:05,12:35,7,7,7,,BK-6,NA,NA,0.615,-63.8,28.83,35.97,,10:58,12:42,
20200307,6,11:05,12:35,8,8,6,,POC-378,378,3,0.605,-62.8,28.97,36.02,,11:00,12:50,
20200307,6,11:05,12:35,9,9,9,,POC-366,366,3,0.61,-61.7,28.33,36.4,,10:58,12:39,
20200307,6,11:05,12:35,10,10,10,,POC-238,238,2,0.595,-60.3,28.85,36.06,,10:58,12:43,
20203007,7,15:41,17:11,1,1,12,,POC-373,373,3,0.605,-64.2,29.43,36,,15:36,17:19,
20203007,7,15:41,17:11,2,2,3,,POC-391,391,3,0.61,-65,29.4,36,,15:36,17:25,
20203007,7,15:41,17:11,3,3,9,,ACR-347,347,3,0.61,-61.6,29.05,36.84,,15:37,17:17,
20203007,7,15:41,17:11,4,4,6,,POR-357,357,3,0.61,-64.8,29.3,35.97,,15:36,17:28,
20203007,7,15:41,17:11,5,5,1,,POR-384,384,3,0.575,-65.5,29.38,36.05,,15:36,17:23,
20203007,7,15:41,17:11,6,6,4,,POR-338,338,3,0.605,-65.8,29.34,35.94,,15:38,17:26,
20203007,7,15:41,17:11,7,7,10,,POC-377,377,3,0.605,-65.9,29.39,36.04,,15:36,17:21,
20203007,7,15:41,17:11,8,8,11,,BK-7,NA,NA,0.61,-64.3,29.46,36.02,,15:37,17:22,
20203007,7,15:41,17:11,9,9,7,,ACR-364,364,3,0.61,-64.7,29.55,36.12,,15:36,17:20,
20203007,7,15:41,17:11,10,10,5,,POC-371,371,3,0.6,-65.1,29.27,35.94,,15:37,17:27,
20200308,8,11:16,12:46,1,1,3,,ACR-393,393,3,0.6,-60.5,27.51,36.57,,11:07,12:47,
20200308,8,11:16,12:46,2,2,9,,POC-395,395,3,0.615,-64.1,27.64,35.9,,11:12,12:56,
20200308,8,11:16,12:46,3,3,7,,POR-365,365,3,0.61,-63.5,27.47,35.98,,11:10,12:58,
20200308,8,11:16,12:46,4,4,10,,POC-346,346,3,0.605,-63.4,27.64,35.88,,11:15,12:59,
20200308,8,11:16,12:46,5,5,6,,POC-369,369,3,0.605,-63.8,27.96,35.97,,11:10,12:55,
20200308,8,11:16,12:46,6,6,5,,POR-385,385,3,0.605,-62.3,27.9,35.95,,11:08,12:53,
20200308,8,11:16,12:46,7,7,12,,POC-372,372,3,0.615,-63,27.44,35.97,,11:13,13:03,
20200308,8,11:16,12:46,8,8,11,,BK-8,NA,NA,0.615,-65.3,27.47,35.98,,11:14,13:04,
20200308,8,11:16,12:46,9,9,1,,POR-340,340,3,0.6,-61.6,28,36.09,,11:07,12:49,
20200308,8,11:16,12:46,10,10,4,,POC-375,375,3,0.6,-62.7,27.99,35.99,,11:08,12:51,
20200308,9,16:07,17:37,1,1,11,,ACR-150,150,1,0.6,-64.4,28.89,36.03,,16:00,17:56,
20200308,9,16:07,17:37,2,2,6,,POR-73,73,1,0.59,-65.2,29.16,36.01,,16:03,17:45,
20200308,9,16:07,17:37,3,3,7,,ACR-186,186,1,0.605,-65,28.86,35.87,,15:58,17:50,
20200308,9,16:07,17:37,4,4,9,,POC-42,42,1,0.61,-65.1,28.97,36.29,,15:57,17:44,
20200308,9,16:07,17:37,5,5,10,,POC-386,386,3,0.61,-65.3,28.84,35.93,,15:58,17:53,
20200308,9,16:07,17:37,6,6,5,,BK-9,NA,NA,0.61,-65.1,29.12,36.11,,16:02,17:55,
20200308,9,16:07,17:37,7,7,1,,POR-354,354,3,0.595,-63.8,28.47,36.75,,16:00,17:42,
20200308,9,16:07,17:37,8,8,4,,POC-48,48,1,0.605,-65.3,29.02,35.99,,16:02,17:52,
20200308,9,16:07,17:37,9,9,12,,POC-50,50,1,0.61,-65.7,28.93,36,,15:58,17:47,
20200308,9,16:07,17:37,10,10,3,,ACR-173,173,1,0.6,-64.2,29.21,35.99,,16:02,17:48,
