Date,site,colony_id,Notes
20200106,site3,POR-353,
20200106,site3,POR-354,
20200106,site3,POR-354,
20200106,site3,POR-355,
20200106,site3,POR-355,
20200106,site3,POR-357,
20200106,site3,POR-357,
20200106,site3,POR-357,
20200106,site3,POR-357,
20200106,site3,POR-362,
20200106,site3,POR-362,
20200106,site3,POR-365,
20200106,site3,POR-365,
20200106,site3,POR-367,
20200106,site3,POR-367,
20200106,site3,POR-381,
20200106,site3,POR-381,
20200106,site3,POR-383,
20200106,site3,POR-383,
20200106,site3,POR-384,
20200106,site3,POR-384,
20200106,site3,POR-385,
20200106,site3,POR-385,
